sample_id,path,label,split,source_dataset,generator_id,official_split,project_split,real_source,model_name_raw,canonical_generator_id,architecture,generator_exposure,sha256,phash,selection_seed,source_revision,source_file,source_row_group,source_row_index,width,height,format,byte_size
cf_external_unseen_v3_aigi_commercial_0007c31a16c68f1c,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0007c31a16c68f1c_00000612.png.png,1,test_external_unseen_generator_v3_expanded,community-forensics-eval,flux-schnell,test,test_external_unseen_generator_v3_expanded,LAION,FLUX-schnell,flux-schnell,Commercial,family_unseen,96cbbb16549082a2f22f73c030a2424970bad1a50a231e956d08fd569f0eef42,c335acc138ce73d2,20260830,7d4a74a88d2cac93b513c0853bf92c260eaceea0,data/CompEval-00183-of-00413.parquet,3,18,512,512,PNG,316816
cf_external_unseen_v3_aigi_commercial_005f058d5b64881b,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_005f058d5b64881b_00000265_1.png.png,1,test_external_unseen_generator_v3_expanded,community-forensics-eval,imagen3,test,test_external_unseen_generator_v3_expanded,LAION,Imagen3,imagen3,Commercial,family_unseen,3db001d467e9bf0692683ded98696cb200da627db19cedb5a1dbca38819bc076,d4696cc321b8e5ce,20260830,7d4a74a88d2cac93b513c0853bf92c260eaceea0,data/CompEval-00308-of-00413.parquet,0,22,1024,1024,PNG,1300316
cf_external_unseen_v3_aigi_commercial_007ef86aef02c89f,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_007ef86aef02c89f_00000231_3.jpg.jpg,1,test_external_unseen_generator_v3_expanded,community-forensics-eval,firefly-image3,test,test_external_unseen_generator_v3_expanded,LAION,Firefly_Image3,firefly-image3,Commercial,family_unseen,a17d07fae0a35111da05686c863b2f7150a2c1c1235f20a15943323be3020377,eb94a45b85cc86ce,20260830,7d4a74a88d2cac93b513c0853bf92c260eaceea0,data/CompEval-00266-of-00413.parquet,1,14,2048,2048,JPEG,149149
cf_external_unseen_v3_aigi_commercial_00ce92895525c3e5,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_00ce92895525c3e5_00000752.png.png,1,test_external_unseen_generator_v3_expanded,community-forensics-eval,ideogramv2,test,test_external_unseen_generator_v3_expanded,LAION,IdeogramV2,ideogramv2,Commercial,family_unseen,f07bc959c72b3e8056d1623d02cdc621ab25a0456fa25027875e69f9ce79900f,87f878c361c361c7,20260830,7d4a74a88d2cac93b513c0853bf92c260eaceea0,data/CompEval-00147-of-00413.parquet,3,24,1024,1024,PNG,1130854
cf_external_unseen_v3_aigi_commercial_0109023e6e0ab5ba,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0109023e6e0ab5ba_00000106_0.png.png,1,test_external_unseen_generator_v3_expanded,community-forensics-eval,imagen3,test,test_external_unseen_generator_v3_expanded,LAION,Imagen3,imagen3,Commercial,family_unseen,2d03644c25478edf8b1b7843d587b120986e326ba11726205d6b1a8792d120e1,9b65c6926764b4ca,20260830,7d4a74a88d2cac93b513c0853bf92c260eaceea0,data/CompEval-00173-of-00413.parquet,4,0,1024,1024,PNG,1371611
cf_external_unseen_v3_aigi_commercial_0112a49d02e90e9b,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0112a49d02e90e9b_00000300.png.png,1,test_external_unseen_generator_v3_expanded,community-forensics-eval,ideogramv1,test,test_external_unseen_generator_v3_expanded,LAION,IdeogramV1,ideogramv1,Commercial,family_unseen,28586f34aed6a5b42d691659121dc60f4148123d642ec0208743124ddf08683e,969063b467e7186d,20260830,7d4a74a88d2cac93b513c0853bf92c260eaceea0,data/CompEval-00406-of-00413.parquet,3,4,1024,1024,PNG,1590608
cf_external_unseen_v3_aigi_commercial_0122bb6bcc677655,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0122bb6bcc677655_00000033.png.png,1,test_external_unseen_generator_v3_expanded,community-forensics-eval,ideogramv2,test,test_external_unseen_generator_v3_expanded,LAION,IdeogramV2,ideogramv2,Commercial,family_unseen,e3a11c8f09b715fd14dcb4b9c8f5075d707b31d0d5017e6106b7db09c6cd62a1,e9969d8f4a0d5923,20260830,7d4a74a88d2cac93b513c0853bf92c260eaceea0,data/CompEval-00144-of-00413.parquet,2,5,1024,1024,PNG,1423054
cf_external_unseen_v3_aigi_commercial_013303a0d1d5f4d7,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_013303a0d1d5f4d7_00000563.png.png,1,test_external_unseen_generator_v3_expanded,community-forensics-eval,ideogramv1,test,test_external_unseen_generator_v3_expanded,LAION,IdeogramV1,ideogramv1,Commercial,family_unseen,10fa60b77b7e40cc180b1c453076b6dc7a9579dddd948fe9a50b1e6fbf4fe64b,9bb95871258e6a59,20260830,7d4a74a88d2cac93b513c0853bf92c260eaceea0,data/CompEval-00407-of-00413.parquet,1,22,1024,1024,PNG,1825136
cf_external_unseen_v3_aigi_commercial_01337adcbd4ce1a3,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_01337adcbd4ce1a3_00000603.png.png,1,test_external_unseen_generator_v3_expanded,community-forensics-eval,dalle2,test,test_external_unseen_generator_v3_expanded,LAION,Dalle2,dalle2,Commercial,family_unseen,cc18475e3eb681a3f64604a8d01829612b5be32b7456107edc98f890ca9d6d89,a7cdc813167c29cb,20260830,7d4a74a88d2cac93b513c0853bf92c260eaceea0,data/CompEval-00252-of-00413.parquet,1,10,1024,1024,PNG,1349036
cf_external_unseen_v3_aigi_commercial_01e368007528ff06,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_01e368007528ff06_00000094.png.png,1,test_external_unseen_generator_v3_expanded,community-forensics-eval,ideogramv2,test,test_external_unseen_generator_v3_expanded,LAION,IdeogramV2,ideogramv2,Commercial,family_unseen,6ef9aaba92ec47fba65c7e140027e38df8fc34be658f5321dc55c4ecf7b6e34d,80d16622edf6363b,20260830,7d4a74a88d2cac93b513c0853bf92c260eaceea0,data/CompEval-00145-of-00413.parquet,0,12,1024,1024,PNG,1521328
