sample_id,addition_group,source_file,row_group,row_index,image_name,source_format,model_name_raw,canonical_generator_id,real_source,official_split,label,architecture,relative_path,status
cf_external_unseen_v3_aigi_commercial_0007c31a16c68f1c,aigi_commercial,data/CompEval-00183-of-00413.parquet,3,18,00000612.png,PNG,FLUX-schnell,flux-schnell,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0007c31a16c68f1c_00000612.png.png,complete
cf_external_unseen_v3_aigi_commercial_005f058d5b64881b,aigi_commercial,data/CompEval-00308-of-00413.parquet,0,22,00000265_1.png,PNG,Imagen3,imagen3,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_005f058d5b64881b_00000265_1.png.png,complete
cf_external_unseen_v3_aigi_commercial_007ef86aef02c89f,aigi_commercial,data/CompEval-00266-of-00413.parquet,1,14,00000231_3.jpg,JPEG,Firefly_Image3,firefly-image3,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_007ef86aef02c89f_00000231_3.jpg.jpg,complete
cf_external_unseen_v3_aigi_commercial_00ce92895525c3e5,aigi_commercial,data/CompEval-00147-of-00413.parquet,3,24,00000752.png,PNG,IdeogramV2,ideogramv2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_00ce92895525c3e5_00000752.png.png,complete
cf_external_unseen_v3_aigi_commercial_0109023e6e0ab5ba,aigi_commercial,data/CompEval-00173-of-00413.parquet,4,0,00000106_0.png,PNG,Imagen3,imagen3,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0109023e6e0ab5ba_00000106_0.png.png,complete
cf_external_unseen_v3_aigi_commercial_0112a49d02e90e9b,aigi_commercial,data/CompEval-00406-of-00413.parquet,3,4,00000300.png,PNG,IdeogramV1,ideogramv1,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0112a49d02e90e9b_00000300.png.png,complete
cf_external_unseen_v3_aigi_commercial_0122bb6bcc677655,aigi_commercial,data/CompEval-00144-of-00413.parquet,2,5,00000033.png,PNG,IdeogramV2,ideogramv2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0122bb6bcc677655_00000033.png.png,complete
cf_external_unseen_v3_aigi_commercial_013303a0d1d5f4d7,aigi_commercial,data/CompEval-00407-of-00413.parquet,1,22,00000563.png,PNG,IdeogramV1,ideogramv1,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_013303a0d1d5f4d7_00000563.png.png,complete
cf_external_unseen_v3_aigi_commercial_01337adcbd4ce1a3,aigi_commercial,data/CompEval-00252-of-00413.parquet,1,10,00000603.png,PNG,Dalle2,dalle2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_01337adcbd4ce1a3_00000603.png.png,complete
cf_external_unseen_v3_aigi_commercial_01e368007528ff06,aigi_commercial,data/CompEval-00145-of-00413.parquet,0,12,00000094.png,PNG,IdeogramV2,ideogramv2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_01e368007528ff06_00000094.png.png,complete
cf_external_unseen_v3_aigi_commercial_02429b87ddc4febb,aigi_commercial,data/CompEval-00228-of-00413.parquet,3,21,00000745.png,PNG,Dalle3,dalle3,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_02429b87ddc4febb_00000745.png.png,complete
cf_external_unseen_v3_aigi_commercial_02736c64a1dab2b6,aigi_commercial,data/CompEval-00141-of-00413.parquet,3,8,00000463.png,PNG,FLUX-schnell,flux-schnell,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_02736c64a1dab2b6_00000463.png.png,complete
cf_external_unseen_v3_aigi_commercial_02f21d430148db50,aigi_commercial,data/CompEval-00030-of-00413.parquet,4,6,00000340_3.png,PNG,MidjourneyV5_2,midjourneyv5-2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_02f21d430148db50_00000340_3.png.png,complete
cf_external_unseen_v3_aigi_commercial_03046ac645d433de,aigi_commercial,data/CompEval-00144-of-00413.parquet,2,18,00000375.png,PNG,IdeogramV2,ideogramv2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_03046ac645d433de_00000375.png.png,complete
cf_external_unseen_v3_aigi_commercial_0344638c1ffb4980,aigi_commercial,data/CompEval-00335-of-00413.parquet,1,1,00000307_2.jpg,JPEG,Firefly_Image3,firefly-image3,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0344638c1ffb4980_00000307_2.jpg.jpg,complete
cf_external_unseen_v3_aigi_commercial_03467fb2b3dc7257,aigi_commercial,data/CompEval-00224-of-00413.parquet,3,19,00000186.png,PNG,Dalle3,dalle3,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_03467fb2b3dc7257_00000186.png.png,complete
cf_external_unseen_v3_aigi_commercial_036d5943d0e0f973,aigi_commercial,data/CompEval-00147-of-00413.parquet,3,22,00000602.png,PNG,IdeogramV2,ideogramv2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_036d5943d0e0f973_00000602.png.png,complete
cf_external_unseen_v3_aigi_commercial_037dd54d0c3d2f35,aigi_commercial,data/CompEval-00147-of-00413.parquet,3,17,00000638.png,PNG,IdeogramV2,ideogramv2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_037dd54d0c3d2f35_00000638.png.png,complete
cf_external_unseen_v3_aigi_commercial_03d9a8b082e6a005,aigi_commercial,data/CompEval-00145-of-00413.parquet,2,6,00000592.png,PNG,IdeogramV2,ideogramv2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_03d9a8b082e6a005_00000592.png.png,complete
cf_external_unseen_v3_aigi_commercial_03fa3bc426a03509,aigi_commercial,data/CompEval-00069-of-00413.parquet,0,8,00000030_3.jpg,JPEG,Firefly_Image2,firefly-image2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_03fa3bc426a03509_00000030_3.jpg.jpg,complete
cf_external_unseen_v3_aigi_commercial_0404031422644915,aigi_commercial,data/CompEval-00407-of-00413.parquet,1,4,00000729.png,PNG,IdeogramV1,ideogramv1,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0404031422644915_00000729.png.png,complete
cf_external_unseen_v3_aigi_commercial_04ad58d22d7e5196,aigi_commercial,data/CompEval-00183-of-00413.parquet,3,11,00000962.png,PNG,FLUX-schnell,flux-schnell,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_04ad58d22d7e5196_00000962.png.png,complete
cf_external_unseen_v3_aigi_commercial_04d7d0b2cac4ab3a,aigi_commercial,data/CompEval-00048-of-00413.parquet,1,9,00000261_3.png,PNG,MidjourneyV5_2,midjourneyv5-2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_04d7d0b2cac4ab3a_00000261_3.png.png,complete
cf_external_unseen_v3_aigi_commercial_051385af11216e31,aigi_commercial,data/CompEval-00228-of-00413.parquet,3,13,00000497.png,PNG,Dalle3,dalle3,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_051385af11216e31_00000497.png.png,complete
cf_external_unseen_v3_aigi_commercial_053297e76998af5d,aigi_commercial,data/CompEval-00268-of-00413.parquet,2,7,00000176_1.jpg,JPEG,Firefly_Image3,firefly-image3,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_053297e76998af5d_00000176_1.jpg.jpg,complete
cf_external_unseen_v3_aigi_commercial_05b58d151b35a510,aigi_commercial,data/CompEval-00030-of-00413.parquet,4,14,00000002_0.png,PNG,MidjourneyV5_2,midjourneyv5-2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_05b58d151b35a510_00000002_0.png.png,complete
cf_external_unseen_v3_aigi_commercial_05d0a8b06ce498b2,aigi_commercial,data/CompEval-00253-of-00413.parquet,1,22,00000392.png,PNG,Dalle2,dalle2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_05d0a8b06ce498b2_00000392.png.png,complete
cf_external_unseen_v3_aigi_commercial_06032265d61354e5,aigi_commercial,data/CompEval-00390-of-00413.parquet,3,8,00000292_3.png,PNG,MidjourneyV6_1,midjourneyv6-1,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_06032265d61354e5_00000292_3.png.png,complete
cf_external_unseen_v3_aigi_commercial_06176a0780da62db,aigi_commercial,data/CompEval-00303-of-00413.parquet,2,19,00000076_2.png,PNG,Imagen3,imagen3,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_06176a0780da62db_00000076_2.png.png,complete
cf_external_unseen_v3_aigi_commercial_064aa88bf828a174,aigi_commercial,data/CompEval-00141-of-00413.parquet,3,17,00000201.png,PNG,FLUX-schnell,flux-schnell,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_064aa88bf828a174_00000201.png.png,complete
cf_external_unseen_v3_aigi_commercial_064e2f8b6fcc48ba,aigi_commercial,data/CompEval-00228-of-00413.parquet,2,9,00000115.png,PNG,Dalle3,dalle3,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_064e2f8b6fcc48ba_00000115.png.png,complete
cf_external_unseen_v3_aigi_commercial_0664ccc97d5e1a23,aigi_commercial,data/CompEval-00285-of-00413.parquet,2,7,00000255_1.png,PNG,MidjourneyV6_1,midjourneyv6-1,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0664ccc97d5e1a23_00000255_1.png.png,complete
cf_external_unseen_v3_aigi_commercial_0696b31585b68a0c,aigi_commercial,data/CompEval-00145-of-00413.parquet,2,22,00000952.png,PNG,IdeogramV2,ideogramv2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0696b31585b68a0c_00000952.png.png,complete
cf_external_unseen_v3_aigi_commercial_06ce7fa3fb7bcaab,aigi_commercial,data/CompEval-00144-of-00413.parquet,2,3,00000128.png,PNG,IdeogramV2,ideogramv2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_06ce7fa3fb7bcaab_00000128.png.png,complete
cf_external_unseen_v3_aigi_commercial_06fe69b853b27434,aigi_commercial,data/CompEval-00298-of-00413.parquet,3,6,00000563.png,PNG,FLUX-dev,flux-dev,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_06fe69b853b27434_00000563.png.png,complete
cf_external_unseen_v3_aigi_commercial_0812f5aa8793b0e7,aigi_commercial,data/CompEval-00308-of-00413.parquet,0,24,00000077_3.png,PNG,Imagen3,imagen3,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_0812f5aa8793b0e7_00000077_3.png.png,complete
cf_external_unseen_v3_aigi_commercial_083047d7dd46357d,aigi_commercial,data/CompEval-00300-of-00413.parquet,2,5,00000472.png,PNG,FLUX-dev,flux-dev,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_083047d7dd46357d_00000472.png.png,complete
cf_external_unseen_v3_aigi_commercial_083c3f1ab03ec28a,aigi_commercial,data/CompEval-00144-of-00413.parquet,2,8,00000910.png,PNG,IdeogramV2,ideogramv2,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_083c3f1ab03ec28a_00000910.png.png,complete
cf_external_unseen_v3_aigi_commercial_08453b6b44da8f26,aigi_commercial,data/CompEval-00284-of-00413.parquet,0,22,00000052_2.png,PNG,MidjourneyV6_1,midjourneyv6-1,LAION,test,1,Commercial,test_external_unseen_v3_additions/aigi/cf_external_unseen_v3_aigi_commercial_08453b6b44da8f26_00000052_2.png.png,complete
