sample_id,dataset_key,source_file,row_group,row_index,image_name,source_format,model_name_raw,canonical_generator_id,real_source,official_split,project_split,label,architecture,generator_exposure,relative_path
cf_test_external_seen_family_aigi_004808f0074cf1a0,eval,data/CompEval-00154-of-00413.parquet,4,14,000804.png,PNG,Hourglass,hourglass,,test,test_external_seen_family,1,PixDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_004808f0074cf1a0_000804.png.png
cf_test_external_seen_family_aigi_0067908e0484987d,eval,data/CompEval-00311-of-00413.parquet,1,19,000528.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0067908e0484987d_000528.png.png
cf_test_external_seen_family_aigi_008ea3b7afe25520,eval,data/CompEval-00245-of-00413.parquet,4,12,000054.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_008ea3b7afe25520_000054.png.png
cf_test_external_seen_family_aigi_009f75b3a0934aa7,eval,data/CompEval-00157-of-00413.parquet,3,21,000684.png,PNG,Hourglass,hourglass,,test,test_external_seen_family,1,PixDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_009f75b3a0934aa7_000684.png.png
cf_test_external_seen_family_aigi_00e6322cd4d09c1d,eval,data/CompEval-00317-of-00413.parquet,4,9,000641.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_00e6322cd4d09c1d_000641.png.png
cf_test_external_seen_family_aigi_017cef348a76f6f7,eval,data/CompEval-00000-of-00413.parquet,2,1,000800.png,PNG,DFGAN,dfgan,COCO,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_017cef348a76f6f7_000800.png.png
cf_test_external_seen_family_aigi_01c84f2a81b92d35,eval,data/CompEval-00242-of-00413.parquet,4,3,000957.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_01c84f2a81b92d35_000957.png.png
cf_test_external_seen_family_aigi_01cd129f92cf802e,eval,data/CompEval-00274-of-00413.parquet,3,11,000978.png,PNG,Hourglass,hourglass,FFHQ,test,test_external_seen_family,1,PixDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_01cd129f92cf802e_000978.png.png
cf_test_external_seen_family_aigi_01d4403e2e078a7e,eval,data/CompEval-00057-of-00413.parquet,3,7,000385.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_01d4403e2e078a7e_000385.png.png
cf_test_external_seen_family_aigi_01e00d485929f30e,eval,data/CompEval-00314-of-00413.parquet,3,6,000029.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_01e00d485929f30e_000029.png.png
cf_test_external_seen_family_aigi_01e3e86af48d1ebb,eval,data/CompEval-00087-of-00413.parquet,0,7,000214.png,PNG,Hourglass,hourglass,,test,test_external_seen_family,1,PixDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_01e3e86af48d1ebb_000214.png.png
cf_test_external_seen_family_aigi_0255ba780f6f99e2,eval,data/CompEval-00007-of-00413.parquet,3,24,000820.png,PNG,DFGAN,dfgan,COCO,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0255ba780f6f99e2_000820.png.png
cf_test_external_seen_family_aigi_027324a2ff2f655b,eval,data/CompEval-00120-of-00413.parquet,4,21,000476.png,PNG,GALIP,galip,RAISE,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_027324a2ff2f655b_000476.png.png
cf_test_external_seen_family_aigi_02ef92799274da1f,eval,data/CompEval-00057-of-00413.parquet,1,14,000808.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_02ef92799274da1f_000808.png.png
cf_test_external_seen_family_aigi_02f27bcc25aaff7f,eval,data/CompEval-00316-of-00413.parquet,4,24,000695.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_02f27bcc25aaff7f_000695.png.png
cf_test_external_seen_family_aigi_03159418f1ea66a3,eval,data/CompEval-00167-of-00413.parquet,1,6,000076.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_03159418f1ea66a3_000076.png.png
cf_test_external_seen_family_aigi_03e2191f4d801cd4,eval,data/CompEval-00058-of-00413.parquet,2,9,000169.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_03e2191f4d801cd4_000169.png.png
cf_test_external_seen_family_aigi_04200e7aa4b8cefb,eval,data/CompEval-00061-of-00413.parquet,1,9,000322.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_04200e7aa4b8cefb_000322.png.png
cf_test_external_seen_family_aigi_046a0e6bd2ee0ee2,eval,data/CompEval-00167-of-00413.parquet,1,0,000653.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_046a0e6bd2ee0ee2_000653.png.png
cf_test_external_seen_family_aigi_04cd207cf3148289,eval,data/CompEval-00317-of-00413.parquet,1,22,000100.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_04cd207cf3148289_000100.png.png
cf_test_external_seen_family_aigi_05019fa1dec5d0f4,eval,data/CompEval-00239-of-00413.parquet,0,20,000694.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_05019fa1dec5d0f4_000694.png.png
cf_test_external_seen_family_aigi_0521812200ef2ae2,eval,data/CompEval-00314-of-00413.parquet,2,1,000464.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0521812200ef2ae2_000464.png.png
cf_test_external_seen_family_aigi_052773aef16ebbc5,eval,data/CompEval-00007-of-00413.parquet,0,3,000823.png,PNG,DFGAN,dfgan,COCO,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_052773aef16ebbc5_000823.png.png
cf_test_external_seen_family_aigi_052b7b3139ae006e,eval,data/CompEval-00059-of-00413.parquet,4,8,000092.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_052b7b3139ae006e_000092.png.png
cf_test_external_seen_family_aigi_053b0763dbd71085,eval,data/CompEval-00193-of-00413.parquet,3,23,000210.png,PNG,LCM_lora_ssd1b,lcm-lora-ssd1b,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_053b0763dbd71085_000210.png.png
cf_test_external_seen_family_aigi_0543f9d99d0638c6,eval,data/CompEval-00001-of-00413.parquet,0,1,000901.png,PNG,DFGAN,dfgan,COCO,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0543f9d99d0638c6_000901.png.png
cf_test_external_seen_family_aigi_0547add4a4d7347c,eval,data/CompEval-00357-of-00413.parquet,4,10,000728.png,PNG,LCM_lora_sdv15,lcm-lora-sdv15,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0547add4a4d7347c_000728.png.png
cf_test_external_seen_family_aigi_0562ea94744526e6,eval,data/CompEval-00242-of-00413.parquet,4,20,000908.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0562ea94744526e6_000908.png.png
cf_test_external_seen_family_aigi_05c8345b45f13c9d,eval,data/CompEval-00218-of-00413.parquet,0,0,000963.png,PNG,kvikontent_midjourney_v6,kvikontent-midjourney-v6,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_05c8345b45f13c9d_000963.png.png
cf_test_external_seen_family_aigi_05c93787ca6c145b,eval,data/CompEval-00119-of-00413.parquet,2,9,000531.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_05c93787ca6c145b_000531.png.png
cf_test_external_seen_family_aigi_06844dec4d84dbdd,eval,data/CompEval-00317-of-00413.parquet,4,4,000852.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_06844dec4d84dbdd_000852.png.png
cf_test_external_seen_family_aigi_068f23f926b533e4,eval,data/CompEval-00063-of-00413.parquet,0,22,000144.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_068f23f926b533e4_000144.png.png
cf_test_external_seen_family_aigi_069c33ca41925acf,eval,data/CompEval-00193-of-00413.parquet,3,15,000996.png,PNG,LCM_lora_ssd1b,lcm-lora-ssd1b,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_069c33ca41925acf_000996.png.png
cf_test_external_seen_family_aigi_06c8053907be95a0,eval,data/CompEval-00363-of-00413.parquet,2,5,000317.png,PNG,LCM_lora_sdv15,lcm-lora-sdv15,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_06c8053907be95a0_000317.png.png
cf_test_external_seen_family_aigi_06ddf2c537eb0b24,eval,data/CompEval-00361-of-00413.parquet,0,2,000618.png,PNG,LCM_lora_sdv15,lcm-lora-sdv15,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_06ddf2c537eb0b24_000618.png.png
cf_test_external_seen_family_aigi_071209bf04b29b8c,eval,data/CompEval-00120-of-00413.parquet,1,10,000082.png,PNG,GALIP,galip,RAISE,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_071209bf04b29b8c_000082.png.png
