sample_id,path,label,split,source_dataset,generator_id,official_split,project_split,real_source,model_name_raw,canonical_generator_id,architecture,generator_exposure,sha256,phash,selection_seed,source_revision,source_file,source_row_group,source_row_index,width,height,format,byte_size
cf_train_v3_gan_aigi_006e4369b0d21660,train_v3_additions/aigi/cf_train_v3_gan_aigi_006e4369b0d21660_036683.png.png,1,train,community-forensics-small,gigagan,train,train,,GigaGAN,gigagan,GAN,train_seen,14528c9132fb62b7c6392261b70945e6129c1a57319b63839ddd9bf07414ea5b,b5298c2fa92d699a,20260830,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_92.parquet,0,178,512,512,PNG,507880
cf_train_v3_gan_aigi_00ecd438b3b5f9d5,train_v3_additions/aigi/cf_train_v3_gan_aigi_00ecd438b3b5f9d5_005855.png.png,1,train,community-forensics-small,cips,train,train,,CIPS,cips,GAN,train_seen,eee23d86ad3c07ea16a20fc5861a8af6688ec92cc6ec5f250f92d9b95e9d9b37,c0dc5c803dfd3497,20260830,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_74.parquet,0,2226,256,256,PNG,89079
cf_train_v3_gan_aigi_01218b1c32c01bad,train_v3_additions/aigi/cf_train_v3_gan_aigi_01218b1c32c01bad_000665.png.png,1,train,community-forensics-small,cips,train,train,,CIPS,cips,GAN,train_seen,ae9dffdf4bf81a09d67681229dbda1b1fb1eb1faf115f262c9eb44721d0277cd,c0dcef321082ee7d,20260830,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_74.parquet,0,2911,256,256,PNG,72352
cf_train_v3_gan_aigi_0138edd17b34b6a0,train_v3_additions/aigi/cf_train_v3_gan_aigi_0138edd17b34b6a0_019431.png.png,1,train,community-forensics-small,progan,train,train,,ProGAN,progan,GAN,train_seen,d45cb32be773c66f2812c165825f2e48a4298571717cc584ac0ca9db35104166,9a6469d724d34a97,20260830,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_76.parquet,0,2649,512,512,PNG,211601
cf_train_v3_gan_aigi_017bcb8b2f69602a,train_v3_additions/aigi/cf_train_v3_gan_aigi_017bcb8b2f69602a_057755.png.png,1,train,community-forensics-small,styleganxl,train,train,,StyleGANXL,styleganxl,GAN,train_seen,a58fba45c358c8568face3ca43113af71cd3f3ba4b6ec82b375b78183c9659fb,b333ccccdc333168,20260830,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_80.parquet,0,165,512,512,PNG,146938
cf_train_v3_gan_aigi_017ed47d7b8a74a5,train_v3_additions/aigi/cf_train_v3_gan_aigi_017ed47d7b8a74a5_061736.png.png,1,train,community-forensics-small,biggan,train,train,,BigGAN,biggan,GAN,train_seen,d67524815de985dbeb8c5b75c4c50ec37077de7980ed895ac54e800002ff6bc0,e6c0d95aa039f4ba,20260830,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_84.parquet,0,628,512,512,PNG,429391
cf_train_v3_gan_aigi_018f1e0efb6348c0,train_v3_additions/aigi/cf_train_v3_gan_aigi_018f1e0efb6348c0_006823.png.png,1,train,community-forensics-small,styleganxl,train,train,,StyleGANXL,styleganxl,GAN,train_seen,aaefb084d347d3ba6155bb04429f26d01f4cebd8433a4c37d91b261f10851f8d,e10f07f13e817f44,20260830,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_80.parquet,0,75,512,512,PNG,357747
cf_train_v3_gan_aigi_01c43ba6ebfdc713,train_v3_additions/aigi/cf_train_v3_gan_aigi_01c43ba6ebfdc713_008821.png.png,1,train,community-forensics-small,stylesanxl,train,train,,StyleSANXL,stylesanxl,GAN,train_seen,26daac02e50bff0d78bd567b8e358a2bcd0d48dbb3dc32e503ab6bcd1b1e02d2,8c9cfdb38253d342,20260830,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_73.parquet,0,1068,256,256,PNG,137911
cf_train_v3_gan_aigi_01e71e5636bc5ba3,train_v3_additions/aigi/cf_train_v3_gan_aigi_01e71e5636bc5ba3_002476.png.png,1,train,community-forensics-small,stylegan2,train,train,,StyleGAN2,stylegan2,GAN,train_seen,098c9a60c499b7a08daac8db78c0b1b5ba52e22f38c45b84feac380c118683a5,ca793461a566a6d6,20260830,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_69.parquet,0,2007,512,512,PNG,386979
cf_train_v3_gan_aigi_01ecc14116353d9a,train_v3_additions/aigi/cf_train_v3_gan_aigi_01ecc14116353d9a_010057.png.png,1,train,community-forensics-small,styleswin,train,train,,StyleSwin,styleswin,GAN,train_seen,d2bc6cdaa770c0b4cf921653633e751c502726a8fd85347a7b6e1b2b5aeb6b33,cae12567340e979e,20260830,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_75.parquet,0,2122,1024,1024,PNG,956354
cf_train_v3_gan_aigi_01fdbc9752a72b3f,train_v3_additions/aigi/cf_train_v3_gan_aigi_01fdbc9752a72b3f_003664.png.png,1,train,community-forensics-small,gansformer,train,train,,Gansformer,gansformer,GAN,train_seen,af8834c8c566863cb94fc9c42819c820d5a728b7bc1ae567706ada2b339d4cd7,d2312e978df6b098,20260830,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_66.parquet,0,862,256,256,PNG,115501
