sample_id,addition_group,source_file,row_group,row_index,image_name,source_format,model_name_raw,canonical_generator_id,official_split,label,architecture,relative_path,status
cf_train_v3_gan_aigi_006e4369b0d21660,gan_aigi,data/HFCF_small_92.parquet,0,178,036683.png,PNG,GigaGAN,gigagan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_006e4369b0d21660_036683.png.png,complete
cf_train_v3_gan_aigi_00ecd438b3b5f9d5,gan_aigi,data/HFCF_small_74.parquet,0,2226,005855.png,PNG,CIPS,cips,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_00ecd438b3b5f9d5_005855.png.png,complete
cf_train_v3_gan_aigi_01218b1c32c01bad,gan_aigi,data/HFCF_small_74.parquet,0,2911,000665.png,PNG,CIPS,cips,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_01218b1c32c01bad_000665.png.png,complete
cf_train_v3_gan_aigi_0138edd17b34b6a0,gan_aigi,data/HFCF_small_76.parquet,0,2649,019431.png,PNG,ProGAN,progan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0138edd17b34b6a0_019431.png.png,complete
cf_train_v3_gan_aigi_017bcb8b2f69602a,gan_aigi,data/HFCF_small_80.parquet,0,165,057755.png,PNG,StyleGANXL,styleganxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_017bcb8b2f69602a_057755.png.png,complete
cf_train_v3_gan_aigi_017ed47d7b8a74a5,gan_aigi,data/HFCF_small_84.parquet,0,628,061736.png,PNG,BigGAN,biggan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_017ed47d7b8a74a5_061736.png.png,complete
cf_train_v3_gan_aigi_018f1e0efb6348c0,gan_aigi,data/HFCF_small_80.parquet,0,75,006823.png,PNG,StyleGANXL,styleganxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_018f1e0efb6348c0_006823.png.png,complete
cf_train_v3_gan_aigi_01c43ba6ebfdc713,gan_aigi,data/HFCF_small_73.parquet,0,1068,008821.png,PNG,StyleSANXL,stylesanxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_01c43ba6ebfdc713_008821.png.png,complete
cf_train_v3_gan_aigi_01e71e5636bc5ba3,gan_aigi,data/HFCF_small_69.parquet,0,2007,002476.png,PNG,StyleGAN2,stylegan2,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_01e71e5636bc5ba3_002476.png.png,complete
cf_train_v3_gan_aigi_01ecc14116353d9a,gan_aigi,data/HFCF_small_75.parquet,0,2122,010057.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_01ecc14116353d9a_010057.png.png,complete
cf_train_v3_gan_aigi_01fdbc9752a72b3f,gan_aigi,data/HFCF_small_66.parquet,0,862,003664.png,PNG,Gansformer,gansformer,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_01fdbc9752a72b3f_003664.png.png,complete
cf_train_v3_gan_aigi_021d863c244e0de2,gan_aigi,data/HFCF_small_74.parquet,0,1709,006958.png,PNG,StyleGAN2-ADA,stylegan2-ada,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_021d863c244e0de2_006958.png.png,complete
cf_train_v3_gan_aigi_02311f682fb834be,gan_aigi,data/HFCF_small_76.parquet,0,1502,010881.png,PNG,ProGAN,progan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_02311f682fb834be_010881.png.png,complete
cf_train_v3_gan_aigi_02a7b928f528d44a,gan_aigi,data/HFCF_small_76.parquet,0,2646,003796.png,PNG,ProGAN,progan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_02a7b928f528d44a_003796.png.png,complete
cf_train_v3_gan_aigi_02e12eb03dde60b9,gan_aigi,data/HFCF_small_75.parquet,0,2289,012834.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_02e12eb03dde60b9_012834.png.png,complete
cf_train_v3_gan_aigi_02f2ab076726c7aa,gan_aigi,data/HFCF_small_73.parquet,0,730,031646.png,PNG,StyleSANXL,stylesanxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_02f2ab076726c7aa_031646.png.png,complete
cf_train_v3_gan_aigi_03222aa3126541ba,gan_aigi,data/HFCF_small_66.parquet,0,2482,005932.png,PNG,StyleGAN3,stylegan3,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_03222aa3126541ba_005932.png.png,complete
cf_train_v3_gan_aigi_035d74a2b19a9927,gan_aigi,data/HFCF_small_92.parquet,0,2329,168657.png,PNG,GigaGAN,gigagan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_035d74a2b19a9927_168657.png.png,complete
cf_train_v3_gan_aigi_037ca276f5cc2b91,gan_aigi,data/HFCF_small_69.parquet,0,2323,001661.png,PNG,StyleGAN2,stylegan2,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_037ca276f5cc2b91_001661.png.png,complete
cf_train_v3_gan_aigi_03f5e9d364a02366,gan_aigi,data/HFCF_small_69.parquet,0,200,008288.png,PNG,StyleGAN2,stylegan2,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_03f5e9d364a02366_008288.png.png,complete
cf_train_v3_gan_aigi_0409bdd3f9dd7d9c,gan_aigi,data/HFCF_small_76.parquet,0,2977,007204.png,PNG,ProGAN,progan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0409bdd3f9dd7d9c_007204.png.png,complete
cf_train_v3_gan_aigi_04303e63ed686af8,gan_aigi,data/HFCF_small_67.parquet,0,2231,009278.png,PNG,ProjectedGAN,projectedgan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_04303e63ed686af8_009278.png.png,complete
cf_train_v3_gan_aigi_0454ea42d222f50b,gan_aigi,data/HFCF_small_76.parquet,0,1647,001619.png,PNG,ProGAN,progan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0454ea42d222f50b_001619.png.png,complete
