n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
2000,0.9990234375,0.9488755,0.9396277875041925,0.8905000000000001,0.8904901167330352,0.881,0.9,0.1,0.448,0.806,0.476602703332901,0.4874033288359642,900,100,119,881,clean,clean,{}
2000,0.9990234375,0.9493185,0.9403171981692922,0.8905000000000001,0.8904938402785156,0.883,0.898,0.102,0.441,0.8,0.4764876961708069,0.4873378657996655,898,102,117,883,jpeg__quality=90,jpeg,"{""quality"":90}"
2000,0.9990234375,0.9447365,0.9351436391292778,0.884,0.8839153743078705,0.857,0.911,0.089,0.38,0.747,0.4731582701206207,0.48546019750833513,911,89,143,857,jpeg__quality=70,jpeg,"{""quality"":70}"
2000,0.9990234375,0.9388475,0.9260528844860096,0.877,0.8768892002802522,0.847,0.907,0.093,0.35,0.729,0.47559526562690735,0.4867351163327694,907,93,153,847,jpeg__quality=50,jpeg,"{""quality"":50}"
2000,0.9990234375,0.940366,0.9281258645871385,0.8745,0.8744472364511187,0.854,0.895,0.105,0.364,0.742,0.4777681529521942,0.487952134758234,895,105,146,854,jpeg__quality=30,jpeg,"{""quality"":30}"
2000,0.9990234375,0.9557405,0.9504934731241128,0.896,0.8958999598614268,0.865,0.927,0.073,0.391,0.777,0.4762125015258789,0.4871794676482677,927,73,135,865,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
2000,0.9990234375,0.9480669999999999,0.9368883888731079,0.8835,0.8834894849260145,0.874,0.893,0.107,0.35,0.773,0.4859459102153778,0.49239722475409514,893,107,126,874,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
2000,0.9990234375,0.9256034999999999,0.9027250272346066,0.852,0.8517971102439239,0.889,0.815,0.185,0.355,0.355,0.4895925521850586,0.4943703751266003,815,185,111,889,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
2000,0.9990234375,0.944109,0.9345474748752718,0.88,0.8798442781845272,0.844,0.916,0.084,0.306,0.735,0.4822631776332855,0.4903798809051514,916,84,156,844,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
2000,0.9990234375,0.9223545,0.9013923610449275,0.855,0.854975490857955,0.842,0.868,0.132,0.248,0.248,0.486905038356781,0.4928598765730858,868,132,158,842,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
2000,0.9990234375,0.9450464999999999,0.9377611777383383,0.8795,0.8793392497154333,0.843,0.916,0.084,0.316,0.729,0.4799431562423706,0.4891113051772117,916,84,157,843,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
2000,0.9990234375,0.9389230000000001,0.9281295750625811,0.8765000000000001,0.8763260835549993,0.839,0.914,0.086,0.295,0.705,0.48360660672187805,0.49110350385308266,914,86,161,839,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
2000,0.9990234375,0.9263935,0.9105330170358763,0.8565,0.8564999641249911,0.857,0.856,0.144,0.273,0.273,0.490342915058136,0.4947067753970623,856,144,143,857,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
2000,0.9990234375,0.946084,0.9400474371493128,0.8815,0.8813504719322526,0.846,0.917,0.083,0.38,0.757,0.4790723919868469,0.48862816128134723,917,83,154,846,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
2000,0.9990234375,0.9389449999999998,0.9270811888901787,0.877,0.876987698769877,0.867,0.887,0.113,0.394,0.394,0.48120400309562683,0.4898242263793945,887,113,133,867,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
2000,0.9990234375,0.9383805,0.9257865000414478,0.8665,0.8663914764767682,0.838,0.895,0.105,0.321,0.738,0.4794793426990509,0.48881641983985896,895,105,162,838,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
2000,0.9990234375,0.9458074999999999,0.9377377580710254,0.867,0.8661858748626645,0.789,0.945,0.055,0.241,0.672,0.4755775034427643,0.48669408741593356,945,55,211,789,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
2000,0.9990234375,0.9346975000000002,0.9230736709941576,0.8654999999999999,0.8652790239189831,0.825,0.906,0.094,0.301,0.703,0.47529423236846924,0.48643189108371737,906,94,175,825,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
