n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
2000,0.9990234375,0.9509615,0.9404431257451611,0.8865000000000001,0.8864849876396154,0.898,0.875,0.125,0.515,0.515,0.4730883538722992,0.48550343012809755,875,125,102,898,clean,clean,{},0.5197125584930181,0.4802874440699816
2000,0.9990234375,0.9515815,0.9418117539710388,0.8855,0.8854724847644646,0.901,0.87,0.13,0.513,0.513,0.47291240096092224,0.48540235316753394,870,130,99,901,jpeg__quality=90,jpeg,"{""quality"":90}",0.5197171013057232,0.4802829002737999
2000,0.9990234375,0.9473499999999999,0.937284491716254,0.8855,0.8854917267772596,0.877,0.894,0.106,0.431,0.431,0.4688825309276581,0.4831015651226044,894,106,123,877,jpeg__quality=70,jpeg,"{""quality"":70}",0.5189131520092487,0.4810868515074253
2000,0.9990234375,0.941185,0.9285796424142428,0.8755,0.8754805438349742,0.863,0.888,0.112,0.409,0.409,0.4715212285518646,0.4845029148757458,888,112,137,863,jpeg__quality=50,jpeg,"{""quality"":50}",0.518241679430008,0.4817583260536194
2000,0.9990234375,0.9407139999999999,0.9266524065558676,0.8705,0.8704984136055667,0.867,0.874,0.126,0.422,0.422,0.4744564890861511,0.48615062353014943,874,126,133,867,jpeg__quality=30,jpeg,"{""quality"":30}",0.5172432791590691,0.4827567268610001
2000,0.9990234375,0.9572039999999999,0.9501244614929323,0.8975,0.8974979243329677,0.893,0.902,0.098,0.478,0.819,0.4739556312561035,0.48599216526746747,902,98,107,893,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5187746996432543,0.4812253033220768
2000,0.9990234375,0.9502559999999999,0.939279028868552,0.8845000000000001,0.884478946287961,0.898,0.871,0.129,0.441,0.441,0.4862939119338989,0.4926206225454808,871,129,102,898,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.511392741560936,0.4886072592288256
2000,0.9990234375,0.9270189999999999,0.9030516218261088,0.8480000000000001,0.8475045422577956,0.905,0.791,0.209,0.424,0.424,0.49044016003608704,0.49485642305016525,791,209,95,905,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.5013406753242016,0.49865932719409467
2000,0.9990234375,0.94486,0.9338683031487944,0.8815,0.8814933340000375,0.874,0.889,0.111,0.375,0.773,0.48175933957099915,0.49014648497104646,889,111,126,874,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.5125394111722708,0.48746059070527553
2000,0.9990234375,0.9239655,0.9025477526448256,0.8574999999999999,0.8574777308954524,0.87,0.845,0.155,0.318,0.318,0.4876508116722107,0.4933046858906746,845,155,130,870,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.5003688704520464,0.49963113163411615
2000,0.9990234375,0.9478709999999999,0.9393920832287951,0.883,0.8829433445787762,0.861,0.905,0.095,0.371,0.766,0.4752843976020813,0.486598890632391,905,95,139,861,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",0.5210044939517975,0.47899550534784796
2000,0.9990234375,0.940418,0.9287305452350898,0.871,0.8709534141825199,0.852,0.89,0.11,0.346,0.744,0.4793192148208618,0.488820574015379,890,110,148,852,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",0.5208547205924988,0.4791452796459198
2000,0.9990234375,0.928479,0.9131855027164005,0.8574999999999999,0.8574982543536158,0.854,0.861,0.139,0.316,0.316,0.48637887835502625,0.4926198444962502,861,139,146,854,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",0.5201715715825558,0.479828433483839
2000,0.9990234375,0.946966,0.9390321182900279,0.8825000000000001,0.8824294282643157,0.858,0.907,0.093,0.409,0.767,0.47658485174179077,0.4872997910380364,907,93,142,858,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",0.5196593437045812,0.4803406560868025
2000,0.9990234375,0.937735,0.9212844080006991,0.876,0.8759399549381901,0.898,0.854,0.146,0.459,0.459,0.4784865379333496,0.48835715538263325,854,146,102,898,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",0.5194559797346592,0.48054402193427087
2000,0.9990234375,0.9432254999999999,0.9314502746562386,0.8725,0.8724800750117205,0.86,0.885,0.115,0.396,0.396,0.47642695903778076,0.48715405389666555,885,115,140,860,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",0.5181832357645034,0.4818167683929205
2000,0.9990234375,0.947281,0.939144843504794,0.874,0.8735447611401044,0.814,0.934,0.066,0.315,0.717,0.47364917397499084,0.485679955303669,934,66,186,814,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}",0.5124029866904021,0.4875970139056444
