n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.998046875,0.41799200000000003,0.4413166876769961,0.428,0.4041666666666667,0.228,0.628,0.372,0.0,0.012,0.4939252436161041,0.4932753782272339,157,93,193,57,clean,clean,{}
500,0.998046875,0.419824,0.4410166158930368,0.422,0.3963849935878959,0.216,0.628,0.372,0.0,0.012,0.49392402172088623,0.49326563596725465,157,93,196,54,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.998046875,0.433784,0.4483090485028501,0.432,0.40527047628620727,0.22,0.644,0.356,0.0,0.008,0.49403753876686096,0.493399441242218,161,89,195,55,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.998046875,0.430808,0.4456809998840601,0.42600000000000005,0.3951043497687907,0.2,0.652,0.348,0.0,0.008,0.4940890371799469,0.4940507574081421,163,87,200,50,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.998046875,0.430992,0.44518032150398934,0.412,0.39045628700801116,0.224,0.6,0.4,0.0,0.008,0.49426642060279846,0.4941034988164902,150,100,194,56,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.998046875,0.42019999999999996,0.4395645261082426,0.41000000000000003,0.3782431469748895,0.184,0.636,0.364,0.0,0.012,0.4938940107822418,0.4934492180347443,159,91,204,46,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.998046875,0.43360799999999994,0.4504642810061295,0.44799999999999995,0.43563821956127,0.3,0.596,0.404,0.0,0.008,0.4952317774295807,0.49505954873561864,149,101,175,75,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.998046875,0.44176,0.4545473800484494,0.448,0.4444444444444444,0.368,0.528,0.472,0.0,0.008,0.4957873821258545,0.49598731338977814,132,118,158,92,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.998046875,0.43244800000000005,0.44876239894398023,0.45199999999999996,0.4383312287836796,0.296,0.608,0.392,0.0,0.004,0.4952623248100281,0.4951747760772705,152,98,176,74,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.998046875,0.44404800000000005,0.4610794463944993,0.468,0.46522774060730826,0.396,0.54,0.46,0.0,0.012,0.4959717392921448,0.49576956033706665,135,115,151,99,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
500,0.998046875,0.41306400000000004,0.4321996893836194,0.39599999999999996,0.37577511368334027,0.216,0.576,0.424,0.0,0.008,0.4942150413990021,0.4936943238973618,144,106,196,54,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
500,0.998046875,0.459552,0.4628546933419044,0.44599999999999995,0.4376296801594939,0.324,0.568,0.432,0.0,0.02,0.4950532615184784,0.4952490047216416,142,108,169,81,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
