n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
2000,0.9970703125,0.6419815000000001,0.6127115544312236,0.609,0.6042109525255592,0.719,0.499,0.501,0.0,0.017,0.4949726164340973,0.4957741466760635,499,501,281,719,clean,clean,{}
2000,0.9970703125,0.6407765,0.6118539618732634,0.607,0.6022746248174562,0.716,0.498,0.502,0.0,0.018,0.49494093656539917,0.495749482512474,498,502,284,716,jpeg__quality=90,jpeg,"{""quality"":90}"
2000,0.9970703125,0.642949,0.6120678113431892,0.613,0.6085179216853759,0.72,0.506,0.494,0.0,0.02,0.49479371309280396,0.4956987485587596,506,494,280,720,jpeg__quality=70,jpeg,"{""quality"":70}"
2000,0.9970703125,0.6419575,0.6099433061518715,0.6125,0.6070751817277285,0.73,0.495,0.505,0.0,0.021,0.4949139356613159,0.49577953886985776,495,505,270,730,jpeg__quality=50,jpeg,"{""quality"":50}"
2000,0.9970703125,0.6309079999999999,0.5986662008519591,0.594,0.5872372958552932,0.722,0.466,0.534,0.0,0.021,0.49514394998550415,0.4959313684105873,466,534,278,722,jpeg__quality=30,jpeg,"{""quality"":30}"
2000,0.9970703125,0.6398539999999999,0.6090671936366208,0.619,0.6149146293022678,0.722,0.516,0.484,0.0,0.02,0.49481847882270813,0.4956135321855545,516,484,278,722,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
2000,0.9970703125,0.6326055,0.5967413803646778,0.6035,0.594311043717973,0.754,0.453,0.547,0.0,0.018,0.495421826839447,0.4962561132907867,453,547,246,754,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
2000,0.9970703125,0.6372669999999998,0.5977695699784061,0.591,0.5695964624828076,0.814,0.368,0.632,0.0,0.029,0.4961053133010864,0.4969311574399471,368,632,186,814,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
2000,0.9970703125,0.6406215000000001,0.605045776623119,0.6125,0.6038819568231333,0.76,0.465,0.535,0.0,0.022,0.4953990578651428,0.4961235094666481,465,535,240,760,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
2000,0.9970703125,0.6364335,0.5955842013958521,0.5975,0.5804659746179309,0.799,0.396,0.604,0.0,0.031,0.49600985646247864,0.4967678189277649,396,604,201,799,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
