n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
2000,0.9970703125,0.7594545,0.707299772606551,0.704,0.7030688238315357,0.76,0.648,0.352,0.0,0.056,0.4797551929950714,0.48781419968605044,648,352,240,760,clean,clean,{}
2000,0.9970703125,0.759617,0.7078207843035419,0.7030000000000001,0.7021314152067428,0.757,0.649,0.351,0.0,0.058,0.47986307740211487,0.48786891922354697,649,351,243,757,jpeg__quality=90,jpeg,"{""quality"":90}"
2000,0.9970703125,0.7411544999999999,0.6876873453452518,0.6819999999999999,0.6818011257035648,0.707,0.657,0.343,0.0,0.048,0.4822719097137451,0.48904104265570647,657,343,293,707,jpeg__quality=70,jpeg,"{""quality"":70}"
2000,0.9970703125,0.7378939999999998,0.6836846536936753,0.6799999999999999,0.6797835336687601,0.706,0.654,0.346,0.0,0.045,0.483109712600708,0.48950733575224875,654,346,294,706,jpeg__quality=50,jpeg,"{""quality"":50}"
2000,0.9970703125,0.7218465000000001,0.6674870380575405,0.6695,0.6693173805233941,0.693,0.646,0.354,0.0,0.037,0.48447707295417786,0.4902192388772965,646,354,307,693,jpeg__quality=30,jpeg,"{""quality"":30}"
2000,0.9970703125,0.7485645,0.6947398794269202,0.6930000000000001,0.6924830640306354,0.734,0.652,0.348,0.0,0.051,0.48006027936935425,0.4878723402619362,652,348,266,734,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
2000,0.9970703125,0.7119794999999999,0.6577782256707059,0.6565,0.6555865293725283,0.708,0.605,0.395,0.0,0.05,0.4844176173210144,0.49029221454262734,605,395,292,708,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
2000,0.9970703125,0.6514289999999999,0.6030123208331278,0.611,0.6082357111780725,0.695,0.527,0.473,0.0,0.029,0.4904835820198059,0.49355786067247387,527,473,305,695,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
2000,0.9970703125,0.7170245,0.6652372919234747,0.6645,0.6637413163450034,0.712,0.617,0.383,0.0,0.049,0.4847886860370636,0.4905317494273186,617,383,288,712,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
2000,0.9970703125,0.618818,0.5749250173119937,0.5860000000000001,0.5845538318888049,0.645,0.527,0.473,0.0,0.02,0.4910197854042053,0.49364646801352496,527,473,355,645,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
2000,0.9970703125,0.7285085,0.6772616032481914,0.6725,0.6723190381888398,0.696,0.649,0.351,0.0,0.049,0.4831050634384155,0.4894714180827141,649,351,304,696,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
2000,0.9970703125,0.6601055,0.6166653424298673,0.6234999999999999,0.6229698012830542,0.661,0.586,0.414,0.0,0.036,0.49088966846466064,0.49351830047369005,586,414,339,661,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
2000,0.9970703125,0.5446440000000001,0.5319865050154825,0.5305,0.524040153979853,0.647,0.414,0.586,0.0,0.032,0.4959139823913574,0.49619436264038086,414,586,353,647,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
2000,0.9970703125,0.745008,0.695356301673487,0.6845,0.6842062328481069,0.654,0.715,0.285,0.0,0.041,0.47813016176223755,0.48643382862210266,715,285,346,654,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
2000,0.9970703125,0.7544744999999999,0.6986586289171751,0.704,0.7010701889216209,0.803,0.605,0.395,0.0,0.064,0.48016080260276794,0.4881694163382053,605,395,197,803,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
2000,0.9970703125,0.7344634999999999,0.6834036537561625,0.6890000000000001,0.6885262484238527,0.728,0.65,0.35,0.0,0.047,0.48328858613967896,0.48942408633232115,650,350,272,728,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
2000,0.9970703125,0.7089924999999999,0.657230908169469,0.6495,0.6492150749446237,0.678,0.621,0.379,0.0,0.042,0.4850426912307739,0.49049142971634874,621,379,322,678,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
2000,0.9970703125,0.7272789999999999,0.6729815597554569,0.6775,0.6773063031084409,0.702,0.653,0.347,0.0,0.033,0.48362264037132263,0.4895234202444553,653,347,298,702,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
2000,0.9970703125,0.6774375,0.6240045595306539,0.6395,0.6392834799088153,0.664,0.615,0.385,0.0,0.032,0.4874972403049469,0.4916467325389386,615,385,336,664,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
2000,0.9970703125,0.6109834999999999,0.5758260940940692,0.5760000000000001,0.573268921095008,0.656,0.496,0.504,0.0,0.034,0.4925043284893036,0.4944475156068802,496,504,344,656,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
2000,0.9970703125,0.5584045000000001,0.5361996298997205,0.5505,0.5438769797147024,0.671,0.43,0.57,0.0,0.048,0.49492210149765015,0.4956471928954124,430,570,329,671,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
