n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.99267578125,0.686392,0.6300505230671105,0.554,0.49647532729103727,0.216,0.892,0.108,0.012,0.108,0.4523082375526428,0.4651084022521973,223,27,196,54,clean,clean,{}
500,0.99267578125,0.69084,0.634345329033652,0.56,0.5054935174695654,0.228,0.892,0.108,0.012,0.104,0.45363649725914,0.4664257818460464,223,27,193,57,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.99267578125,0.75948,0.7084079847948218,0.646,0.6303119164880886,0.44,0.852,0.148,0.044,0.156,0.4616265892982483,0.47416310811042783,213,37,140,110,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.99267578125,0.7569199999999999,0.7000339279480016,0.5599999999999999,0.48574100046750823,0.18,0.94,0.06,0.024,0.116,0.4569600224494934,0.4695253652334213,235,15,205,45,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.99267578125,0.6906959999999999,0.6235702697203496,0.53,0.4677453693847136,0.188,0.872,0.128,0.024,0.06,0.46169188618659973,0.47226757895946503,218,32,203,47,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.99267578125,0.774544,0.7201826951078837,0.546,0.45639419323629854,0.14,0.952,0.048,0.024,0.14,0.43990853428840637,0.45806932330131533,238,12,215,35,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.99267578125,0.766056,0.7270475255962806,0.51,0.3551783129359126,0.02,1.0,0.0,0.048,0.152,0.3989846706390381,0.4224521436691284,250,0,245,5,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.99267578125,0.6169840000000001,0.592614627479324,0.5,0.3333333333333333,0.0,1.0,0.0,0.004,0.124,0.4050648510456085,0.40728369688987737,250,0,250,0,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.99267578125,0.614024,0.5716280814330484,0.5,0.3333333333333333,0.0,1.0,0.0,0.008,0.068,0.3965962529182434,0.3982128903865815,250,0,250,0,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.99267578125,0.61012,0.5887372791605225,0.5,0.3333333333333333,0.0,1.0,0.0,0.012,0.076,0.4015324115753174,0.4010839891433715,250,0,250,0,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
