n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.99267578125,0.7270639999999999,0.65520324379627,0.562,0.5084726742228707,0.232,0.892,0.108,0.012,0.084,0.4521945118904114,0.4667451006174087,223,27,192,58,clean,clean,{}
500,0.99267578125,0.721992,0.6503616755748421,0.558,0.5025010017513766,0.224,0.892,0.108,0.016,0.092,0.45353925228118896,0.46774708616733546,223,27,194,56,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.99267578125,0.714352,0.6470729850070697,0.572,0.5355902777777778,0.292,0.852,0.148,0.016,0.104,0.4616374373435974,0.47354392337799067,213,37,177,73,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.99267578125,0.732816,0.6615077172139905,0.538,0.44894775261332354,0.136,0.94,0.06,0.012,0.1,0.45698073506355286,0.46895994162559507,235,15,216,34,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.99267578125,0.62792,0.5517482157822273,0.488,0.3994444861496884,0.104,0.872,0.128,0.008,0.028,0.4617193937301636,0.471028341293335,218,32,224,26,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.99267578125,0.794344,0.731428796317663,0.5559999999999999,0.47342454316021176,0.16,0.952,0.048,0.036,0.16,0.4398385286331177,0.4589609361886978,238,12,210,40,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.99267578125,0.769504,0.7124192515805197,0.5,0.3333333333333333,0.0,1.0,0.0,0.02,0.136,0.3988783061504364,0.4229521689414978,250,0,250,0,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.99267578125,0.550608,0.5563076954877867,0.5,0.3333333333333333,0.0,1.0,0.0,0.012,0.104,0.4071522057056427,0.39950438880920414,250,0,250,0,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.99267578125,0.6276879999999999,0.5624088418680588,0.5,0.3333333333333333,0.0,1.0,0.0,0.004,0.056,0.395595908164978,0.4011679441928863,250,0,250,0,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.99267578125,0.587168,0.5765351928499443,0.5,0.3333333333333333,0.0,1.0,0.0,0.028,0.068,0.40174344182014465,0.3995166025161743,250,0,250,0,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
500,0.99267578125,0.826976,0.8203729384747402,0.5,0.3333333333333333,0.0,1.0,0.0,0.152,0.32,0.3298378884792328,0.3478901480436325,250,0,250,0,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
500,0.99267578125,0.836376,0.8329666527738251,0.5,0.3333333333333333,0.0,1.0,0.0,0.208,0.388,0.3366035521030426,0.35440088081359866,250,0,250,0,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
500,0.99267578125,0.781384,0.7624729364945408,0.5,0.3333333333333333,0.0,1.0,0.0,0.12,0.24,0.36595797538757324,0.3784111435413361,250,0,250,0,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
500,0.99267578125,0.791048,0.730342184563775,0.578,0.51435976044817,0.216,0.94,0.06,0.008,0.136,0.4462372958660126,0.46247946727275846,235,15,196,54,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
500,0.99267578125,0.729656,0.6688981035954488,0.506,0.36593505326658965,0.036,0.976,0.024,0.012,0.108,0.4045340418815613,0.42214160740375517,244,6,241,9,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
500,0.99267578125,0.5933280000000001,0.5386202722566013,0.5,0.3333333333333333,0.0,1.0,0.0,0.0,0.032,0.3806686997413635,0.3778515434265137,250,0,250,0,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
500,0.99267578125,0.791944,0.7399776233196216,0.518,0.3783244166309827,0.044,0.992,0.008,0.044,0.148,0.4230588674545288,0.4442812458276749,248,2,239,11,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
500,0.99267578125,0.747696,0.7144234914511469,0.546,0.44301312722365355,0.116,0.976,0.024,0.048,0.18,0.45441555976867676,0.4669306528568268,244,6,221,29,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99267578125,0.7067599999999999,0.654915932784838,0.518,0.3928584024870132,0.064,0.972,0.028,0.004,0.132,0.44566914439201355,0.45940332221984864,243,7,234,16,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99267578125,0.6886800000000001,0.6338322440352724,0.508,0.37301198923415707,0.044,0.972,0.028,0.02,0.084,0.4520380198955536,0.46167284560203553,243,7,239,11,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99267578125,0.5568,0.5498940814456738,0.516,0.3944671310753463,0.068,0.964,0.036,0.02,0.08,0.4698863625526428,0.4729960794448852,241,9,233,17,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
