n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.9990234375,0.40532799999999997,0.4280370040946102,0.404,0.37704863201551947,0.196,0.612,0.388,0.0,0.0,0.4877927601337433,0.49066110718250266,153,97,201,49,clean,clean,{}
500,0.9990234375,0.406552,0.427577747904941,0.4,0.37063641245972073,0.184,0.616,0.384,0.0,0.004,0.48787006735801697,0.4907695372104644,154,96,204,46,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.9990234375,0.402,0.42290222127430416,0.404,0.3607893607893608,0.144,0.664,0.336,0.0,0.004,0.48711392283439636,0.48989451396465306,166,84,214,36,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.9990234375,0.423176,0.4360821782643718,0.41600000000000004,0.3750428052873091,0.16,0.672,0.328,0.0,0.0,0.48763900995254517,0.4905869331359863,168,82,210,40,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.9990234375,0.41968,0.4349992010826489,0.414,0.3869651637200544,0.204,0.624,0.376,0.0,0.004,0.48965445160865784,0.4920283401012421,156,94,199,51,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.9990234375,0.429976,0.4391453824618617,0.42999999999999994,0.3893528854683128,0.172,0.688,0.312,0.0,0.0,0.487447589635849,0.49057717490196234,172,78,207,43,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.9990234375,0.458088,0.45996543149165814,0.436,0.4115093741130904,0.232,0.64,0.36,0.0,0.0,0.49163389205932617,0.4938672052621841,160,90,192,58,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.9990234375,0.472008,0.4707651594258555,0.45399999999999996,0.4532104358693954,0.416,0.492,0.508,0.0,0.012,0.4940650463104248,0.49567480802536007,123,127,146,104,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.9990234375,0.448424,0.4514080941771519,0.43,0.3993196504672661,0.204,0.656,0.344,0.0,0.0,0.48950818181037903,0.49205273044109343,164,86,199,51,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.9990234375,0.451392,0.4604530026139137,0.43000000000000005,0.4224947416626478,0.316,0.544,0.456,0.0,0.0,0.49335458874702454,0.4949091763496399,136,114,171,79,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
500,0.9990234375,0.413824,0.4296046868913214,0.394,0.36015204307887233,0.164,0.624,0.376,0.0,0.0,0.4890943467617035,0.4917431519031525,156,94,209,41,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
500,0.9990234375,0.41408,0.4298023273187801,0.398,0.3691076541284673,0.184,0.612,0.388,0.0,0.008,0.49101173877716064,0.49318263626098635,153,97,204,46,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
500,0.9990234375,0.44765600000000005,0.45206445314760396,0.412,0.39655172413793105,0.252,0.572,0.428,0.0,0.0,0.4945194125175476,0.49584275484085083,143,107,187,63,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
500,0.9990234375,0.464792,0.4585985120565407,0.438,0.41207239250967675,0.228,0.648,0.352,0.0,0.008,0.4881466031074524,0.49150586891174314,162,88,193,57,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
500,0.9990234375,0.416736,0.4343956771609836,0.416,0.3926687632073745,0.22,0.612,0.388,0.0,0.0,0.4917011559009552,0.4933046820163727,153,97,195,55,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
500,0.9990234375,0.418272,0.434142372523329,0.402,0.3660929702042495,0.164,0.64,0.36,0.0,0.0,0.4895132780075073,0.4919511765241623,160,90,209,41,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
500,0.9990234375,0.452464,0.4478244188288886,0.426,0.3683951073728317,0.124,0.728,0.272,0.0,0.0,0.4870810806751251,0.4903525557518006,182,68,219,31,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
500,0.9990234375,0.438608,0.44389385857952707,0.43199999999999994,0.39216492021094446,0.176,0.688,0.312,0.0,0.004,0.48872485756874084,0.4912089632749558,172,78,206,44,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.9990234375,0.45128,0.44971732927966324,0.408,0.3528187367721397,0.116,0.7,0.3,0.0,0.0,0.4903024733066559,0.49237208485603323,175,75,221,29,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.9990234375,0.414888,0.42947745765546746,0.40599999999999997,0.33917470262861615,0.088,0.724,0.276,0.0,0.004,0.49100351333618164,0.49274025344848627,181,69,228,22,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.9990234375,0.435208,0.4419179144467434,0.398,0.34599055271403056,0.116,0.68,0.32,0.0,0.0,0.49389341473579407,0.4945185346603394,170,80,221,29,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
