n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.9990234375,0.40004000000000006,0.4262768820982942,0.416,0.3926687632073745,0.22,0.612,0.388,0.0,0.0,0.4878978133201599,0.48940725326538087,153,97,195,55,clean,clean,{}
500,0.9990234375,0.402288,0.4280820542672388,0.418,0.394252265829583,0.22,0.616,0.384,0.0,0.012,0.4879757761955261,0.48949123561382296,154,96,195,55,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.9990234375,0.394504,0.4235322539909095,0.42200000000000004,0.386044298284748,0.18,0.664,0.336,0.0,0.008,0.4872525632381439,0.4881728579998016,166,84,205,45,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.9990234375,0.4058,0.430269295395519,0.42000000000000004,0.3806700722693957,0.168,0.672,0.328,0.0,0.012,0.48774659633636475,0.48890626919269553,168,82,208,42,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.9990234375,0.396328,0.4252906178217697,0.41000000000000003,0.38168358128869717,0.196,0.624,0.376,0.0,0.008,0.4897165298461914,0.4907509477138519,156,94,201,49,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.9990234375,0.429152,0.444367439984666,0.45599999999999996,0.4250541125541125,0.224,0.688,0.312,0.0,0.004,0.4875195622444153,0.48960937142372135,172,78,194,56,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.9990234375,0.424232,0.44892656130281433,0.44,0.41666666666666663,0.24,0.64,0.36,0.0,0.016,0.4916689693927765,0.49293264400959014,160,90,190,60,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.9990234375,0.42616800000000005,0.45076286900094137,0.41600000000000004,0.41260721929866906,0.34,0.492,0.508,0.0,0.032,0.4940861463546753,0.49487111091613767,123,127,165,85,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.9990234375,0.44389600000000007,0.46060609416110754,0.444,0.4178351845336818,0.232,0.656,0.344,0.0,0.012,0.4895399510860443,0.4913887001276016,164,86,192,58,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.9990234375,0.42846400000000007,0.4491279242564123,0.41200000000000003,0.40157300809301266,0.28,0.544,0.456,0.0,0.016,0.49338075518608093,0.4942021503448486,136,114,180,70,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
500,0.9990234375,0.40996,0.4308142261478223,0.416,0.38959127700849555,0.208,0.624,0.376,0.0,0.004,0.48914021253585815,0.4907978276014328,156,94,198,52,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
500,0.9990234375,0.396312,0.42543901556123453,0.41,0.38490152169108294,0.208,0.612,0.388,0.0,0.004,0.49105238914489746,0.4921249723434449,153,97,198,52,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
500,0.9990234375,0.41271199999999997,0.4379315055575978,0.416,0.4014332803096148,0.26,0.572,0.428,0.0,0.0,0.49453407526016235,0.4951454997062683,143,107,185,65,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
500,0.9990234375,0.418744,0.4415496600803505,0.434,0.4068354356091569,0.22,0.648,0.352,0.0,0.024,0.4882538318634033,0.489573219537735,162,88,195,55,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
500,0.9990234375,0.39128799999999997,0.4249120181017143,0.42,0.39780051830686425,0.228,0.612,0.388,0.0,0.0,0.49177104234695435,0.4919072017669678,153,97,193,57,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
500,0.9990234375,0.36408799999999997,0.4077779195054049,0.382,0.3379299705603812,0.124,0.64,0.36,0.0,0.0,0.48961886763572693,0.4900927511453628,160,90,219,31,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
500,0.9990234375,0.449296,0.45750695577362144,0.45199999999999996,0.4068134190062176,0.176,0.728,0.272,0.0,0.008,0.48714107275009155,0.48940626573562623,182,68,206,44,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
500,0.9990234375,0.40638399999999997,0.4284821138632329,0.422,0.37798898889850246,0.156,0.688,0.312,0.0,0.008,0.48880735039711,0.4898329998254776,172,78,211,39,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.9990234375,0.42772,0.4385594475508569,0.432,0.3880470945165572,0.164,0.7,0.3,0.0,0.008,0.4903442859649658,0.4915058337450028,175,75,209,41,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
