n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.9990234375,0.36326400000000003,0.4278547718241711,0.43,0.41047249078475423,0.248,0.612,0.388,0.0,0.0,0.4887966811656952,0.4812363252639771,153,97,188,62,clean,clean,{}
500,0.9990234375,0.36388800000000004,0.4293356097219998,0.436,0.41711451012815215,0.256,0.616,0.384,0.0,0.024,0.48887428641319275,0.481292005777359,154,96,186,64,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.9990234375,0.35572799999999993,0.42343761537629987,0.444,0.4157208911307272,0.224,0.664,0.336,0.0,0.012,0.4887470602989197,0.4762226420640945,166,84,194,56,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.9990234375,0.354816,0.42222403882149795,0.446,0.4161808532611674,0.22,0.672,0.328,0.0,0.02,0.48893532156944275,0.47910744023323054,168,82,195,55,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.9990234375,0.34644800000000003,0.41686221015238334,0.43,0.40770851777497913,0.236,0.624,0.376,0.0,0.024,0.4908287823200226,0.482081038236618,156,94,191,59,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.9990234375,0.3620399999999999,0.42828505041743026,0.44999999999999996,0.4169751398199619,0.212,0.688,0.312,0.0,0.02,0.48843178153038025,0.4809248007535934,172,78,197,53,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.9990234375,0.364536,0.42994813711658936,0.448,0.42687221742308457,0.256,0.64,0.36,0.0,0.02,0.4920116662979126,0.48734275972843166,160,90,186,64,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.9990234375,0.355408,0.42001518953223416,0.406,0.4015740416117606,0.32,0.492,0.508,0.0,0.02,0.4942830204963684,0.49090719819068906,123,127,170,80,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.9990234375,0.355672,0.42150703047940585,0.434,0.40465922525759535,0.212,0.656,0.344,0.0,0.016,0.49009793996810913,0.4839707223176956,164,86,197,53,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.9990234375,0.33035200000000003,0.4060925768815274,0.392,0.3776205450733753,0.24,0.544,0.456,0.0,0.016,0.49369680881500244,0.48870798408985133,136,114,190,60,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
500,0.9990234375,0.35233600000000004,0.4141282393126155,0.424,0.4,0.224,0.624,0.376,0.0,0.012,0.48983725905418396,0.4830918000936509,156,94,194,56,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
500,0.9990234375,0.346272,0.4131220759895944,0.418,0.3952392234123471,0.224,0.612,0.388,0.0,0.004,0.49151527881622314,0.4866835719347,153,97,194,56,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
500,0.9990234375,0.34475999999999996,0.41188011259101925,0.412,0.39655172413793105,0.252,0.572,0.428,0.0,0.0,0.49466797709465027,0.4926181769371033,143,107,187,63,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
