n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
500,0.9990234375,0.393024,0.420951442789864,0.386,0.3619877717786617,0.192,0.58,0.42,0.0,0.0,0.4863765835762024,0.4893183345794677,145,105,202,48,clean,clean,{},0.5199424716234207,0.4800575271844864
500,0.9990234375,0.392088,0.42111424448115603,0.382,0.3567833338190417,0.184,0.58,0.42,0.0,0.0,0.4863835573196411,0.4894013689756393,145,105,204,46,jpeg__quality=90,jpeg,"{""quality"":90}",0.5199453890323639,0.48005460846424103
500,0.9990234375,0.38168,0.41591872988068723,0.382,0.3448920661977027,0.144,0.62,0.38,0.0,0.0,0.48562803864479065,0.4884130871295928,155,95,214,36,jpeg__quality=70,jpeg,"{""quality"":70}",0.5191294522285461,0.4808705477118492
500,0.9990234375,0.40548,0.42575411154025805,0.396,0.36037547230552874,0.16,0.632,0.368,0.0,0.004,0.48609787225723267,0.4892265870571136,158,92,210,40,jpeg__quality=50,jpeg,"{""quality"":50}",0.518440816283226,0.4815591884255409
500,0.9990234375,0.3990560000000001,0.4245245876098285,0.398,0.3713213947057325,0.192,0.604,0.396,0.0,0.0,0.48870179057121277,0.49107421696186065,151,99,202,48,jpeg__quality=30,jpeg,"{""quality"":30}",0.5173993819952011,0.4826006237268448
500,0.9990234375,0.417936,0.43388364390358114,0.408,0.3822935274378537,0.204,0.612,0.388,0.0,0.0,0.4863033890724182,0.48959959101676936,153,97,199,51,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5190686841011047,0.48093131762742997
500,0.9990234375,0.42796,0.44163710585674,0.40599999999999997,0.3907917246132451,0.248,0.564,0.436,0.0,0.0,0.4920923113822937,0.4940497988462448,141,109,188,62,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.5114090272188186,0.4885909759402275
500,0.9990234375,0.44419999999999993,0.455081565090002,0.438,0.437997751991008,0.436,0.44,0.56,0.0,0.0,0.4948959946632385,0.49613181114196775,110,140,141,109,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.5006094833016396,0.49939051961898806
500,0.9990234375,0.412208,0.43075222881151826,0.404,0.37811983505567703,0.2,0.608,0.392,0.0,0.008,0.48949167132377625,0.491821266412735,152,98,200,50,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.5125471966266633,0.487452807366848
500,0.9990234375,0.41684799999999994,0.4388044473186481,0.41200000000000003,0.4074109907120743,0.324,0.5,0.5,0.0,0.0,0.49418386816978455,0.4953222370147705,125,125,169,81,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.49974421435594557,0.5002557897567749
500,0.9990234375,0.397304,0.4200606284289904,0.388,0.35318587662337664,0.156,0.62,0.38,0.0,0.0,0.4867693781852722,0.48978713512420646,155,95,211,39,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",0.5211003611087799,0.4788996356129646
500,0.9990234375,0.39383999999999997,0.4196204028657995,0.392,0.3610760823875578,0.172,0.612,0.388,0.0,0.0,0.4888381361961365,0.491416010260582,153,97,207,43,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",0.5209343852996826,0.4790656117796898
500,0.9990234375,0.412752,0.43226398681386147,0.416,0.39460284287870495,0.228,0.604,0.396,0.0,0.0,0.49286314845085144,0.49443163204193114,151,99,193,57,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",0.5202379846572875,0.47976201808452607
500,0.9990234375,0.45991199999999993,0.4570016734296698,0.432,0.4120959194488606,0.248,0.616,0.384,0.0,0.012,0.4863070845603943,0.49010549390316005,154,96,188,62,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",0.5196557365655899,0.4803442620635033
500,0.9990234375,0.39747200000000005,0.42911195387799844,0.416,0.39903846153846156,0.248,0.584,0.416,0.0,0.0,0.49160006642341614,0.4928281536102295,146,104,188,62,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",0.5197698841094971,0.48023012006282806
500,0.9990234375,0.38576,0.41787096015059283,0.376,0.3489039883804404,0.172,0.58,0.42,0.0,0.004,0.48845401406288147,0.49090724515914924,145,105,207,43,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",0.5186019670963288,0.4813980369567871
500,0.9990234375,0.431712,0.43746172871038763,0.42,0.3691153692197915,0.136,0.704,0.296,0.0,0.0,0.4863665997982025,0.48959667026996606,176,74,216,34,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}",0.5121812911629677,0.487818708717823
