n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
500,0.9990234375,0.408256,0.43407311484291955,0.412,0.39492228661749207,0.244,0.58,0.42,0.0,0.0,0.48650747537612915,0.4882246376276016,145,105,189,61,clean,clean,{},0.5199104708433151,0.4800895282626152
500,0.9990234375,0.410664,0.43622098698102174,0.412,0.39492228661749207,0.244,0.58,0.42,0.0,0.0,0.48651501536369324,0.4882939511537551,145,105,189,61,jpeg__quality=90,jpeg,"{""quality"":90}",0.5199148962497712,0.48008510065078736
500,0.9990234375,0.39918400000000004,0.42961018065338397,0.418,0.39324184004103435,0.216,0.62,0.38,0.0,0.0,0.4857831299304962,0.4869491983652115,155,95,196,54,jpeg__quality=70,jpeg,"{""quality"":70}",0.5193122600317002,0.4806877415776253
500,0.9990234375,0.40982399999999997,0.4333913124684492,0.41600000000000004,0.3874194414607949,0.2,0.632,0.368,0.0,0.012,0.4862220883369446,0.48771093726158143,158,92,200,50,jpeg__quality=50,jpeg,"{""quality"":50}",0.5187812353372574,0.4812187700271606
500,0.9990234375,0.401608,0.4289103307762331,0.42,0.3996754107048225,0.236,0.604,0.396,0.0,0.0,0.48876065015792847,0.49009081280231476,151,99,191,59,jpeg__quality=30,jpeg,"{""quality"":30}",0.5179236248731613,0.4820763796567917
500,0.9990234375,0.439832,0.4530852831089873,0.434,0.41548007055547986,0.256,0.612,0.388,0.0,0.0,0.4863818883895874,0.4889238265752792,153,97,186,64,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5191520006656647,0.4808480030298233
500,0.9990234375,0.4298,0.45079616810076373,0.42999999999999994,0.4195779415178953,0.296,0.564,0.436,0.0,0.0,0.49212101101875305,0.4934355285167694,141,109,176,74,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.5120684707164764,0.48793153059482575
500,0.9990234375,0.43755199999999994,0.4599024257889469,0.40800000000000003,0.4073931706067012,0.376,0.44,0.56,0.0,0.0,0.4949077069759369,0.49566405105590816,110,140,156,94,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.501011615216732,0.4989883871078491
500,0.9990234375,0.43997600000000003,0.45453822820951634,0.44,0.4237355110642782,0.272,0.608,0.392,0.0,0.024,0.4895208775997162,0.49148825311660765,152,98,182,68,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.513184164404869,0.48681583887338636
500,0.9990234375,0.43538400000000005,0.4532883609699329,0.41800000000000004,0.4140601403839416,0.336,0.5,0.5,0.0,0.0,0.4941976070404053,0.4950156002044678,125,125,166,84,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.5000933769345284,0.4999066264629364
500,0.9990234375,0.418968,0.43757162496653584,0.422,0.3984154804974209,0.224,0.62,0.38,0.0,0.0,0.4868239164352417,0.48899509489536275,155,95,194,56,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",0.5209652278423309,0.47903477209806444
500,0.9990234375,0.406912,0.43340058563645845,0.426,0.4054302654639923,0.24,0.612,0.388,0.0,0.0,0.4888908863067627,0.4904267489910125,153,97,190,60,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",0.5208191075325013,0.4791808938384056
500,0.9990234375,0.41431199999999996,0.4369900940900915,0.43,0.4122038848167107,0.256,0.604,0.396,0.0,0.0,0.49288642406463623,0.4937636501789093,151,99,186,64,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",0.5201904839277267,0.4798095192909241
500,0.9990234375,0.429568,0.4487091173856347,0.418,0.394252265829583,0.22,0.616,0.384,0.0,0.028,0.486424058675766,0.4883720889091491,154,96,195,55,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",0.5200339171886444,0.47996608090400694
