n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
500,0.9990234375,0.370592,0.435943144040538,0.43999999999999995,0.4288045695634435,0.3,0.58,0.42,0.0,0.0,0.48799240589141846,0.4758974833488464,145,105,175,75,clean,clean,{},0.5195646498203278,0.4804353501200676
500,0.9990234375,0.369288,0.4357724033238467,0.43799999999999994,0.4264346278356786,0.296,0.58,0.42,0.0,0.0,0.48799774050712585,0.47591211092472074,145,105,176,74,jpeg__quality=90,jpeg,"{""quality"":90}",0.5195689004659653,0.48043109810352325
500,0.9990234375,0.357864,0.42891030589848866,0.434,0.4137169516596161,0.248,0.62,0.38,0.0,0.0,0.48833203315734863,0.4722089912891388,155,95,188,62,jpeg__quality=70,jpeg,"{""quality"":70}",0.5187430155277252,0.4812569854259491
500,0.9990234375,0.35675200000000007,0.4279667144221167,0.434,0.41090512450093464,0.236,0.632,0.368,0.0,0.032,0.4882465898990631,0.4746474525928498,158,92,191,59,jpeg__quality=50,jpeg,"{""quality"":50}",0.5180419846773148,0.48195802175998687
500,0.9990234375,0.346088,0.41841297198946187,0.428,0.40971534244765867,0.252,0.604,0.396,0.0,0.0,0.4906077980995178,0.4800507618188858,151,99,187,63,jpeg__quality=30,jpeg,"{""quality"":30}",0.5170261229276657,0.4829738821387291
500,0.9990234375,0.366072,0.4359848974181235,0.43,0.41047249078475423,0.248,0.612,0.388,0.0,0.0,0.4877714514732361,0.4764775359630584,153,97,188,62,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5184111859798431,0.481588818192482
500,0.9990234375,0.360224,0.4253543084736206,0.42599999999999993,0.41485652771378123,0.288,0.564,0.436,0.0,0.0,0.4925388693809509,0.48700487875938414,141,109,178,72,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.5104803742170334,0.4895196263790131
500,0.9990234375,0.360656,0.4290706653873102,0.4,0.39903846153846156,0.36,0.44,0.56,0.0,0.0,0.4951435327529907,0.49114255988597866,110,140,160,90,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.5006247546672821,0.49937524676322936
500,0.9990234375,0.346368,0.4150943184411621,0.428,0.4088466308391897,0.248,0.608,0.392,0.0,0.02,0.49030354619026184,0.4822802840471268,152,98,188,62,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.5118142939805984,0.48818570697307584
500,0.9990234375,0.334024,0.41049301813314554,0.40800000000000003,0.40294653951041615,0.316,0.5,0.5,0.0,0.0,0.49456918239593506,0.4888632798194885,125,125,171,79,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.4998211612701416,0.5001788417696953
500,0.9990234375,0.35988000000000003,0.4229963626799204,0.426,0.40355208632076844,0.232,0.62,0.38,0.0,0.0,0.4880572259426117,0.4780839681625366,155,95,192,58,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",0.5210038245916366,0.4789961727261543
500,0.9990234375,0.35004799999999997,0.4191812879286921,0.428,0.4079557498675146,0.244,0.612,0.388,0.0,0.0,0.48973339796066284,0.4817294752597809,153,97,189,61,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",0.5209791350364685,0.47902086180448533
500,0.9990234375,0.342112,0.4109745483805999,0.434,0.41715580269797137,0.264,0.604,0.396,0.0,0.0,0.4932178854942322,0.48900586760044096,151,99,184,66,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",0.520308883190155,0.47969112092256544
500,0.9990234375,0.39150399999999996,0.44568797537807026,0.448,0.4319678609062171,0.28,0.616,0.384,0.0,0.032,0.4872431755065918,0.4804277105331421,154,96,180,70,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",0.5193570474386215,0.48064295250177386
500,0.9990234375,0.371664,0.43882804080657467,0.46399999999999997,0.4561688311688312,0.344,0.584,0.416,0.0,0.0,0.49244681000709534,0.48347850680351256,146,104,164,86,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",0.5193475459814072,0.4806524582505226
500,0.9990234375,0.344032,0.4163726632655764,0.424,0.4096328244149625,0.268,0.58,0.42,0.0,0.028,0.48975443840026855,0.4786152455806732,145,105,183,67,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",0.5176704747676849,0.482329529941082
500,0.9990234375,0.355648,0.42534028856986317,0.45199999999999996,0.4148399993166014,0.2,0.704,0.296,0.0,0.012,0.488078773021698,0.4781191164255142,176,74,200,50,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}",0.5117552690505981,0.4882447302341461
500,0.9990234375,0.34463199999999994,0.4181223798359831,0.438,0.41602138068340044,0.244,0.632,0.368,0.0,0.0,0.49011462926864624,0.4793720690011978,158,92,189,61,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.5160733510255814,0.48392665457725526
