n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
2000,0.9990234375,0.6840474999999999,0.6355481456636584,0.622,0.6163834703899798,0.501,0.743,0.257,0.0,0.106,0.4786265194416046,0.48498218855261804,743,257,499,501,clean,clean,{},0.5199458154141903,0.4800541854202747
2000,0.9990234375,0.6833535,0.6350761668977553,0.621,0.6158306167793834,0.505,0.737,0.263,0.0,0.109,0.4785412847995758,0.4849477428793907,737,263,495,505,jpeg__quality=90,jpeg,"{""quality"":90}",0.5199493660628796,0.48005063489079475
2000,0.9990234375,0.668818,0.6169188121727142,0.5965,0.5863692523201379,0.44,0.753,0.247,0.0,0.058,0.47403645515441895,0.481473378866911,753,247,560,440,jpeg__quality=70,jpeg,"{""quality"":70}",0.5191232721507549,0.4808767314404249
2000,0.9990234375,0.6639879999999999,0.6105629533856245,0.5895,0.5783662333493821,0.427,0.752,0.248,0.0,0.061,0.47575244307518005,0.4827641797065735,752,248,573,427,jpeg__quality=50,jpeg,"{""quality"":50}",0.5184084110856056,0.48159159326553347
2000,0.9990234375,0.6667015,0.6147347494899089,0.5955,0.5888156849789389,0.468,0.723,0.277,0.0,0.076,0.4782245457172394,0.48478786545991903,723,277,532,468,jpeg__quality=30,jpeg,"{""quality"":30}",0.5173494331538677,0.48265057238936426
2000,0.9990234375,0.7017194999999999,0.6537064674111177,0.6275,0.62094529121196,0.496,0.759,0.241,0.0,0.098,0.4787508249282837,0.4853557180762291,759,241,504,496,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5189252240359783,0.48107477693259715
2000,0.9990234375,0.703163,0.6541033939248442,0.6475,0.6457392354349205,0.577,0.718,0.282,0.0,0.094,0.48820412158966064,0.49229078537225723,718,282,423,577,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.5110384358763694,0.48896156512200833
2000,0.9990234375,0.6487354999999999,0.5952776257002449,0.6065,0.6064833739225481,0.6,0.613,0.387,0.0,0.0,0.49227455258369446,0.49457057172060015,613,387,400,600,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.5007062459886074,0.4992937567681074
2000,0.9990234375,0.685226,0.637564856690551,0.619,0.6132435164995798,0.497,0.741,0.259,0.0,0.07,0.4847680926322937,0.489444309592247,741,259,503,497,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.5122756126672029,0.48772438979148863
2000,0.9990234375,0.644138,0.5923604471537343,0.5880000000000001,0.5854125597856221,0.509,0.667,0.333,0.0,0.053,0.4901329278945923,0.49298949602246295,667,333,491,509,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.4998661210387945,0.5001338819563389
2000,0.9990234375,0.6682524999999999,0.6114067593824074,0.588,0.5749838813668601,0.413,0.763,0.237,0.0,0.051,0.47957843542099,0.48587693047523495,763,237,587,413,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",0.5211153394281864,0.4788846587985754
2000,0.9990234375,0.653691,0.5945050740448948,0.5700000000000001,0.5576636824395568,0.403,0.737,0.263,0.0,0.039,0.48240378499031067,0.48777367144823064,737,263,597,403,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",0.5209474842548371,0.479052514180541
2000,0.9990234375,0.6414340000000001,0.5828972095773436,0.5735,0.5647860372340086,0.432,0.715,0.285,0.0,0.03,0.48835861682891846,0.49184522283077237,715,285,568,432,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",0.520236142039299,0.4797638621777296
2000,0.9990234375,0.68051,0.6278827103655747,0.5955,0.584667185704337,0.434,0.757,0.243,0.0,0.059,0.48095861077308655,0.48691745758056637,757,243,566,434,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",0.5197029702961445,0.4802970293313265
2000,0.9990234375,0.6626045,0.615537506852525,0.6065,0.6036022332254363,0.521,0.692,0.308,0.0,0.0,0.4838048219680786,0.4885925549268723,692,308,479,521,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",0.5196271251142025,0.48037287859618666
2000,0.9990234375,0.670769,0.6192277857671162,0.5975,0.5897435897435898,0.46,0.735,0.265,0.0,0.066,0.480040967464447,0.4862534104883671,735,265,540,460,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",0.5183555696308613,0.48164443342387675
2000,0.9990234375,0.6810649999999999,0.6264763505339602,0.595,0.5789911380233373,0.4,0.79,0.21,0.0,0.043,0.4774808883666992,0.4842024119496346,790,210,600,400,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}",0.5121229130923748,0.4878770878314972
2000,0.9990234375,0.6613550000000001,0.6049552987204712,0.5835,0.57132906772306,0.415,0.752,0.248,0.0,0.041,0.47567421197891235,0.4828776694536209,752,248,585,415,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.5166713677346706,0.4833286359459162
2000,0.9990234375,0.657959,0.6002384688293274,0.5700000000000001,0.5540709690867478,0.381,0.759,0.241,0.0,0.031,0.4796929657459259,0.48584546127915385,759,241,619,381,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.5072217310667038,0.49277827039361
2000,0.9990234375,0.6326930000000001,0.576754959334489,0.5385,0.512604558335505,0.308,0.769,0.231,0.0,0.022,0.4821087419986725,0.4868156934976578,769,231,692,308,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.516366985052824,0.48363301932811736
2000,0.9990234375,0.61832,0.5645964638135959,0.5375,0.5136379852414104,0.316,0.759,0.241,0.0,0.021,0.483328253030777,0.48768382906913754,759,241,684,316,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}",0.5162333425879478,0.48376665972173216
