n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
2000,0.9990234375,0.8630659999999999,0.8205731070740675,0.7929999999999999,0.7926514470825458,0.834,0.752,0.248,0.0,0.0,0.47949787974357605,0.48872656831145284,752,248,166,834,clean,clean,{},0.5200708416104317,0.4799291594028473
2000,0.9990234375,0.8636214999999999,0.8217499388357083,0.7935,0.7931437418093311,0.835,0.752,0.248,0.0,0.0,0.4794744849205017,0.4887138652205467,752,248,165,835,jpeg__quality=90,jpeg,"{""quality"":90}",0.5200752332508564,0.47992476740479467
2000,0.9990234375,0.8515705,0.8082496655004364,0.777,0.7769428973817296,0.793,0.761,0.239,0.0,0.356,0.47449520230293274,0.4858134851157666,761,239,207,793,jpeg__quality=70,jpeg,"{""quality"":70}",0.519374346345663,0.480625655695796
2000,0.9990234375,0.8465010000000001,0.803130611379388,0.771,0.7709917557032053,0.777,0.765,0.235,0.0,0.338,0.4766542613506317,0.4870002609193326,765,235,223,777,jpeg__quality=50,jpeg,"{""quality"":50}",0.5187203906327486,0.4812796135097742
2000,0.9990234375,0.844941,0.7965933140391792,0.774,0.7737964167750977,0.804,0.744,0.256,0.0,0.0,0.4796154797077179,0.4887290151119231,744,256,196,804,jpeg__quality=30,jpeg,"{""quality"":30}",0.5176775552779436,0.4823224494755268
2000,0.9990234375,0.8723935,0.8319420149712617,0.8,0.7998540936342594,0.827,0.773,0.227,0.0,0.41,0.4799651503562927,0.489051538258791,773,227,173,827,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5189547213017941,0.4810452805310488
2000,0.9990234375,0.8700085,0.8251506097707997,0.7949999999999999,0.794400471775698,0.849,0.741,0.259,0.0,0.386,0.48889389634132385,0.4939521422088146,741,259,151,849,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.5110477464795112,0.48895225405693055
2000,0.9990234375,0.8237065,0.7695674606374585,0.752,0.7487923292522216,0.865,0.639,0.361,0.0,0.0,0.4924083352088928,0.4957849031686783,639,361,135,865,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.5008087490946055,0.4991912532150745
2000,0.9990234375,0.8506075,0.8035139459446037,0.7809999999999999,0.7807612490001612,0.814,0.748,0.252,0.0,0.304,0.4850861132144928,0.49177636301517486,748,252,186,814,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.5123873181641102,0.4876126829087734
2000,0.9990234375,0.809555,0.7524917444811903,0.7395,0.7388072515328781,0.791,0.688,0.312,0.0,0.226,0.4904746115207672,0.4946364832818508,688,312,209,791,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.4999385342597961,0.5000614679604769
2000,0.9990234375,0.8543140000000001,0.8089614950805056,0.7885,0.7884999471249867,0.788,0.789,0.211,0.0,0.319,0.48038727045059204,0.48910496801137926,789,211,212,788,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",0.5211421175897122,0.47885788083076475
2000,0.9990234375,0.8420989999999999,0.7917306083790603,0.774,0.7739773977397739,0.784,0.764,0.236,0.0,0.292,0.4833666682243347,0.4907265594899654,764,236,216,784,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",0.520946525990963,0.4790534739047289
2000,0.9990234375,0.8185355,0.7656694540683402,0.7565,0.756416633592847,0.775,0.738,0.262,0.0,0.242,0.48886361718177795,0.4936355068683624,738,262,225,775,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",0.5202547660171986,0.4797452391833067
2000,0.9990234375,0.8552985,0.8129190215002176,0.782,0.7819921517174618,0.788,0.776,0.224,0.0,0.326,0.48210829496383667,0.4900432272553443,776,224,212,788,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",0.5198535013496876,0.48014649663865566
2000,0.9990234375,0.8508269999999999,0.8060706297759312,0.7665,0.7655546577687882,0.83,0.703,0.297,0.0,0.0,0.48476719856262207,0.49160157138109206,703,297,170,830,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",0.5197905101776124,0.4802094924002886
2000,0.9990234375,0.8521059999999998,0.8070176331595996,0.7815,0.7811756476036605,0.82,0.743,0.257,0.0,0.337,0.48106512427330017,0.4895381014943123,743,257,180,820,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",0.5185909279882908,0.481409075692296
