n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
2000,0.99462890625,0.9168959999999999,0.9130076817302653,0.837,0.836999836999837,0.838,0.836,0.164,0.356,0.647,0.45889997482299805,0.47629465419054035,836,164,162,838,clean,clean,{}
2000,0.99462890625,0.9163435,0.9124975854187737,0.8334999999999999,0.8334996253741571,0.832,0.835,0.165,0.355,0.644,0.45902031660079956,0.4763547561466694,835,165,168,832,jpeg__quality=90,jpeg,"{""quality"":90}"
2000,0.99462890625,0.911876,0.9097522683874827,0.829,0.828999315997264,0.831,0.827,0.173,0.331,0.626,0.4642707407474518,0.4793378902673721,827,173,169,831,jpeg__quality=70,jpeg,"{""quality"":70}"
2000,0.99462890625,0.9056525,0.9030880843112281,0.8205,0.8204988781179883,0.818,0.823,0.177,0.296,0.598,0.46658822894096375,0.4805376064479351,823,177,182,818,jpeg__quality=50,jpeg,"{""quality"":50}"
2000,0.99462890625,0.899215,0.8945398583485237,0.817,0.816953140003841,0.801,0.833,0.167,0.266,0.499,0.4689798653125763,0.4818029880225658,833,167,199,801,jpeg__quality=30,jpeg,"{""quality"":30}"
2000,0.99462890625,0.914312,0.9112899041453555,0.831,0.8309863098911012,0.822,0.84,0.16,0.306,0.616,0.46003106236457825,0.47680227231979366,840,160,178,822,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
2000,0.99462890625,0.8783295,0.8681817897531249,0.792,0.7915779453393121,0.837,0.747,0.253,0.072,0.412,0.47275498509407043,0.4839384554028511,747,253,163,837,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
2000,0.99462890625,0.8199005,0.8041242186204536,0.7425,0.7412860494656051,0.811,0.674,0.326,0.042,0.36,0.4832104742527008,0.48925193351507185,674,326,189,811,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
2000,0.99462890625,0.8874969999999999,0.8793249714798755,0.8049999999999999,0.8048577412934028,0.832,0.778,0.222,0.267,0.525,0.47195953130722046,0.483512921333313,778,222,168,832,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
2000,0.99462890625,0.8100615000000001,0.7956889221198302,0.7315,0.7311218901580347,0.769,0.694,0.306,0.029,0.298,0.4834577143192291,0.48892992800474167,694,306,231,769,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
2000,0.99462890625,0.91229,0.9091229410042498,0.8305,0.8304904650886613,0.838,0.823,0.177,0.322,0.549,0.4610671103000641,0.4773766988515854,823,177,162,838,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
2000,0.99462890625,0.8556259999999999,0.8424760949133814,0.7545,0.7503781821380083,0.883,0.626,0.374,0.114,0.349,0.4797767698764801,0.4880310223996639,626,374,117,883,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
2000,0.99462890625,0.6712480000000002,0.6477064157936068,0.562,0.5012519941380029,0.911,0.213,0.787,0.0,0.0,0.4962678849697113,0.49708032608032227,213,787,89,911,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
2000,0.99462890625,0.907707,0.9043952000389737,0.8160000000000001,0.815981598159816,0.806,0.826,0.174,0.275,0.596,0.4574832320213318,0.47518039888143543,826,174,194,806,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
2000,0.99462890625,0.9170740000000001,0.9134874687433162,0.8334999999999999,0.8334546580306488,0.817,0.85,0.15,0.348,0.628,0.4573904871940613,0.4753596058785916,850,150,183,817,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
2000,0.99462890625,0.8922699999999999,0.8890320885007902,0.8115,0.81147054227223,0.824,0.799,0.201,0.121,0.576,0.4671773612499237,0.48066014480590824,799,201,176,824,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
2000,0.99462890625,0.8894915000000001,0.883052658353159,0.808,0.8079905915389853,0.815,0.801,0.199,0.248,0.49,0.4713455140590668,0.4830996150374412,801,199,185,815,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
2000,0.99462890625,0.8878245,0.8833534186083297,0.8069999999999999,0.806993051749863,0.801,0.813,0.187,0.102,0.531,0.469925194978714,0.4821062100231648,813,187,199,801,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
