n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
2000,0.99755859375,0.9645385,0.9615865462099012,0.9055,0.9054994093713086,0.908,0.903,0.097,0.377,0.852,0.4538376033306122,0.4745493249595165,903,97,92,908,clean,clean,{}
2000,0.99755859375,0.9646385000000001,0.961779575740357,0.9045000000000001,0.9044999761249941,0.905,0.904,0.096,0.368,0.845,0.4534900188446045,0.47435303354263303,904,96,95,905,jpeg__quality=90,jpeg,"{""quality"":90}"
2000,0.99755859375,0.9561504999999999,0.9492289075876895,0.8885000000000001,0.8884899362167435,0.898,0.879,0.121,0.339,0.791,0.45737871527671814,0.4765173500776291,879,121,102,898,jpeg__quality=70,jpeg,"{""quality"":70}"
2000,0.99755859375,0.9527010000000001,0.9467788269783551,0.8795,0.8793646169413625,0.913,0.846,0.154,0.36,0.729,0.4677596092224121,0.4824055298566819,846,154,87,913,jpeg__quality=50,jpeg,"{""quality"":50}"
2000,0.99755859375,0.9488175,0.9409516928976188,0.8815,0.8814399789893634,0.904,0.859,0.141,0.33,0.692,0.466007798910141,0.48133668667078017,859,141,96,904,jpeg__quality=30,jpeg,"{""quality"":30}"
2000,0.99755859375,0.9675374999999999,0.9656675538396797,0.9105000000000001,0.9104881620594324,0.899,0.922,0.078,0.333,0.851,0.45153671503067017,0.47326174494624135,922,78,101,899,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
2000,0.99755859375,0.951954,0.9411726601802667,0.8915,0.8914294019686301,0.917,0.866,0.134,0.301,0.686,0.47369247674942017,0.48571067699789994,866,134,83,917,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
2000,0.99755859375,0.9414859999999999,0.9271607130801854,0.8665,0.8660571514570048,0.924,0.809,0.191,0.254,0.66,0.4810539782047272,0.48969577348232274,809,191,76,924,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
2000,0.99755859375,0.9534170000000002,0.9470920031612947,0.8875,0.8874693635342221,0.904,0.871,0.129,0.295,0.805,0.4708479046821594,0.484064191877842,871,129,96,904,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
2000,0.99755859375,0.9449044999999999,0.9382882406612452,0.8694999999999999,0.8694600221317779,0.887,0.852,0.148,0.183,0.748,0.47829100489616394,0.4881186246871948,852,148,113,887,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
2000,0.99755859375,0.960563,0.9595181998370516,0.9025,0.9023626975434205,0.865,0.94,0.06,0.587,0.838,0.4592141807079315,0.4775349083244801,940,60,135,865,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
2000,0.99755859375,0.9534245,0.9506472206592829,0.8845000000000001,0.8844604565912684,0.866,0.903,0.097,0.575,0.788,0.4659966826438904,0.4813134818077087,903,97,134,866,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
2000,0.99755859375,0.9373509999999999,0.9271957994407223,0.8614999999999999,0.8614417709042225,0.882,0.841,0.159,0.222,0.582,0.4770798683166504,0.48741257557272916,841,159,118,882,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
2000,0.99755859375,0.9646175,0.964754664021205,0.9015,0.9014082850571744,0.871,0.932,0.068,0.592,0.847,0.45935845375061035,0.47765480855107306,932,68,129,871,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
2000,0.99755859375,0.9577595,0.9540798745738441,0.8945000000000001,0.8944999736249934,0.894,0.895,0.105,0.325,0.792,0.46387457847595215,0.480201879531145,895,105,106,894,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
2000,0.99755859375,0.9549044999999999,0.9494947048239111,0.896,0.8959915753176007,0.905,0.887,0.113,0.286,0.789,0.46333733201026917,0.47971266767382625,887,113,95,905,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
2000,0.99755859375,0.9556215000000001,0.9523152359223013,0.888,0.8878114109818604,0.847,0.929,0.071,0.179,0.779,0.45519953966140747,0.47513156434893605,929,71,153,847,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
2000,0.99755859375,0.949052,0.9421427662662726,0.8825000000000001,0.8824350747700418,0.906,0.859,0.141,0.317,0.686,0.4688150882720947,0.4828395932614804,859,141,94,906,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
