n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
2000,0.99462890625,0.8198964999999999,0.7965915400413628,0.7444999999999999,0.7441591560356284,0.708,0.781,0.219,0.055,0.188,0.45930829644203186,0.4746901857852936,781,219,292,708,clean,clean,{}
2000,0.99462890625,0.8190864999999999,0.7944996835519462,0.7435,0.7431192384912537,0.705,0.782,0.218,0.056,0.185,0.45951688289642334,0.4747914823591709,782,218,295,705,jpeg__quality=90,jpeg,"{""quality"":90}"
2000,0.99462890625,0.8010199999999998,0.7737574093054451,0.726,0.7251380328710837,0.67,0.782,0.218,0.049,0.271,0.46455052495002747,0.4774204384982586,782,218,330,670,jpeg__quality=70,jpeg,"{""quality"":70}"
2000,0.99462890625,0.7900119999999999,0.7616047670571229,0.7190000000000001,0.7178802667788453,0.656,0.782,0.218,0.045,0.247,0.46642306447029114,0.4784086971580982,782,218,344,656,jpeg__quality=50,jpeg,"{""quality"":50}"
2000,0.99462890625,0.768942,0.7370013269492405,0.685,0.6824276640790402,0.595,0.775,0.225,0.037,0.197,0.4682055711746216,0.47888059768080715,775,225,405,595,jpeg__quality=30,jpeg,"{""quality"":30}"
2000,0.99462890625,0.8040305000000001,0.7753004413996893,0.7225,0.7214464408007185,0.661,0.784,0.216,0.043,0.25,0.4606205224990845,0.4750847065448761,784,216,339,661,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
2000,0.99462890625,0.7432424999999999,0.7117761821466587,0.6705,0.6695183869889539,0.616,0.725,0.275,0.035,0.201,0.4720354378223419,0.4813310588300228,725,275,384,616,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
2000,0.99462890625,0.6669025,0.6402782950021355,0.6140000000000001,0.612206844448731,0.546,0.682,0.318,0.014,0.087,0.481863796710968,0.48631862249970437,682,318,454,546,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
2000,0.99462890625,0.7555405,0.7221212900146875,0.6825,0.6815886270477675,0.629,0.736,0.264,0.029,0.122,0.47115474939346313,0.48091138941049577,736,264,371,629,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
2000,0.99462890625,0.6654724999999999,0.6369064402270072,0.6145,0.610645291042645,0.515,0.714,0.286,0.007,0.12,0.4819854497909546,0.48614425817132,714,286,485,515,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
