n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
2000,0.9921875,0.794748,0.7873701808735236,0.7255,0.7254697330380675,0.715,0.736,0.264,0.139,0.279,0.47696685791015625,0.4839252910315991,736,264,285,715,clean,clean,{}
2000,0.9921875,0.799875,0.789563358267241,0.7395,0.7394921196366191,0.745,0.734,0.266,0.144,0.291,0.4769666790962219,0.4840959307253361,734,266,255,745,jpeg__quality=90,jpeg,"{""quality"":90}"
2000,0.9921875,0.811515,0.7979168404215482,0.7444999999999999,0.7444892046688972,0.751,0.738,0.262,0.085,0.291,0.48028165102005005,0.4863261957764625,738,262,249,751,jpeg__quality=70,jpeg,"{""quality"":70}"
2000,0.9921875,0.806551,0.7943874288205278,0.725,0.7224420257089335,0.629,0.821,0.179,0.125,0.308,0.47724393010139465,0.48386255145072943,821,179,371,629,jpeg__quality=50,jpeg,"{""quality"":50}"
2000,0.9921875,0.7909594999999999,0.7755542211381459,0.7105,0.708516087621373,0.628,0.793,0.207,0.113,0.295,0.4783131182193756,0.4843684177696705,793,207,372,628,jpeg__quality=30,jpeg,"{""quality"":30}"
2000,0.9921875,0.8084730000000001,0.7968699348636411,0.7215,0.7171152151130562,0.597,0.846,0.154,0.077,0.291,0.47068315744400024,0.4795524982511997,846,154,403,597,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
2000,0.9921875,0.7896305000000001,0.7712516663100456,0.534,0.41233960717551,0.079,0.989,0.011,0.067,0.265,0.43268704414367676,0.44838403484225275,989,11,921,79,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
2000,0.9921875,0.8017475000000001,0.7868959690684801,0.509,0.35386235030925123,0.019,0.999,0.001,0.109,0.283,0.4291937053203583,0.4446081700026989,999,1,981,19,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
2000,0.9921875,0.81361,0.8022047472750468,0.5015,0.3366580272529093,0.003,1.0,0.0,0.112,0.301,0.41999995708465576,0.43681860789656635,1000,0,997,3,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
2000,0.9921875,0.7671525,0.7493843218933343,0.5005,0.3344434824928323,0.001,1.0,0.0,0.076,0.222,0.4192224442958832,0.43257641193270685,1000,0,999,1,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
2000,0.9921875,0.8115955000000001,0.809539953054084,0.5,0.33422015209074846,0.001,0.999,0.001,0.151,0.385,0.3633415997028351,0.3842141840457916,999,1,999,1,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
2000,0.9921875,0.8043804999999999,0.8078126021478687,0.5,0.3333333333333333,0.0,1.0,0.0,0.135,0.371,0.36936020851135254,0.38806214490532875,1000,0,1000,0,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
2000,0.9921875,0.7910284999999999,0.7859444373226704,0.5,0.3333333333333333,0.0,1.0,0.0,0.094,0.298,0.38637682795524597,0.4026789590120315,1000,0,1000,0,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
2000,0.9921875,0.7412230000000001,0.7290361717104903,0.6795,0.6733237776716038,0.542,0.817,0.183,0.036,0.224,0.472925066947937,0.4793530162274838,817,183,458,542,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
2000,0.9921875,0.7720055,0.7394074362574391,0.5954999999999999,0.5413872497152095,0.252,0.939,0.061,0.065,0.208,0.4375007450580597,0.4544799976944923,939,61,748,252,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
2000,0.9921875,0.7571705,0.718506421233964,0.5005,0.3344434824928323,0.001,1.0,0.0,0.029,0.189,0.39917778968811035,0.4142188684642315,1000,0,999,1,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
2000,0.9921875,0.7500445,0.7323375155285125,0.584,0.5180164523230217,0.214,0.954,0.046,0.058,0.214,0.45592665672302246,0.46625147917866716,954,46,786,214,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
2000,0.9921875,0.7639024999999999,0.7464483102704624,0.6659999999999999,0.6529379735734089,0.472,0.86,0.14,0.045,0.214,0.47610732913017273,0.4819038021564484,860,140,528,472,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
2000,0.9921875,0.7862945,0.7786670884217008,0.668,0.6456773166246709,0.417,0.919,0.081,0.051,0.304,0.46977630257606506,0.4772021488845348,919,81,583,417,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
2000,0.9921875,0.7614715000000001,0.7548753443628838,0.5945,0.5299802748195481,0.224,0.965,0.035,0.085,0.249,0.46591195464134216,0.47336500692367556,965,35,776,224,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
2000,0.9921875,0.7320220000000002,0.7103350679818027,0.617,0.584165274217487,0.336,0.898,0.102,0.043,0.189,0.4740919768810272,0.4796980107426643,898,102,664,336,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
