n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.99755859375,0.434952,0.42870818624928303,0.418,0.3525247086361189,0.1,0.736,0.264,0.0,0.004,0.4454483985900879,0.4485127133131027,184,66,225,25,clean,clean,{}
500,0.99755859375,0.43604,0.4284513914064092,0.408,0.34232744983024943,0.092,0.724,0.276,0.0,0.004,0.44530758261680603,0.448410144329071,181,69,227,23,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.99755859375,0.43990399999999996,0.4353652302806132,0.424,0.36868686868686873,0.128,0.72,0.28,0.0,0.012,0.4530503451824188,0.45671874570846566,180,70,218,32,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.99755859375,0.44828000000000007,0.43955358637086844,0.41400000000000003,0.36792147556897853,0.144,0.684,0.316,0.0,0.008,0.4613366723060608,0.4657871319055557,171,79,214,36,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.99755859375,0.43836,0.43345153086243127,0.398,0.3521615420707586,0.132,0.664,0.336,0.0,0.0,0.46325385570526123,0.4655400177240371,166,84,217,33,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.99755859375,0.43188800000000005,0.4266504887744149,0.414,0.34621271962120503,0.092,0.736,0.264,0.0,0.0,0.4445773959159851,0.4471186722517013,184,66,227,23,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.99755859375,0.438176,0.43230326087187065,0.402,0.3534603924214314,0.128,0.676,0.324,0.0,0.0,0.4684629440307617,0.47131053054332733,169,81,218,32,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.99755859375,0.46557600000000005,0.46470165596534607,0.444,0.42863249971226103,0.28,0.608,0.392,0.0,0.0,0.48127076029777527,0.48269238936901093,152,98,180,70,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.99755859375,0.44755999999999996,0.44077031516387266,0.42600000000000005,0.38506764255931847,0.168,0.684,0.316,0.0,0.0,0.4660150110721588,0.4689159961938858,171,79,208,42,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.99755859375,0.424208,0.43263106627658654,0.41000000000000003,0.37199569125179355,0.164,0.656,0.344,0.0,0.0,0.480451762676239,0.48070997238159174,164,86,209,41,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
500,0.99755859375,0.42347199999999996,0.4207921588766289,0.40199999999999997,0.33472470062611526,0.084,0.72,0.28,0.0,0.0,0.45041486620903015,0.45393945407867436,180,70,229,21,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
500,0.99755859375,0.41786399999999996,0.42069822776117705,0.38799999999999996,0.32385851407965216,0.08,0.696,0.304,0.0,0.0,0.46027764678001404,0.4627568579912186,174,76,230,20,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
500,0.99755859375,0.44059200000000004,0.4325236552885872,0.396,0.3507498624105669,0.132,0.66,0.34,0.0,0.0,0.47460463643074036,0.47731934022903444,165,85,217,33,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
500,0.99755859375,0.48632,0.45647496853689845,0.426,0.3558523173605656,0.096,0.756,0.244,0.0,0.0,0.4528553783893585,0.45945213651657096,189,61,226,24,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
500,0.99755859375,0.460768,0.4499712086302999,0.44,0.3923611111111111,0.16,0.72,0.28,0.008,0.008,0.45812496542930603,0.46213085734844206,180,70,210,40,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
500,0.99755859375,0.42704800000000004,0.4252975004186046,0.388,0.33430794131467656,0.104,0.672,0.328,0.0,0.0,0.45784205198287964,0.46206153976917264,168,82,224,26,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
500,0.99755859375,0.426944,0.42307729300246927,0.406,0.31867920113415826,0.048,0.764,0.236,0.0,0.004,0.453774094581604,0.45551756215095524,191,59,238,12,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
500,0.99755859375,0.426568,0.4253907056621414,0.38,0.3320232369722984,0.112,0.648,0.352,0.0,0.0,0.46653154492378235,0.469542961359024,162,88,222,28,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99755859375,0.427736,0.42585863588034434,0.40399999999999997,0.34505494505494505,0.104,0.704,0.296,0.0,0.0,0.47011640667915344,0.4712949208021164,176,74,224,26,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99755859375,0.430064,0.42567515343818046,0.41800000000000004,0.33461684448326484,0.064,0.772,0.228,0.0,0.0,0.46714460849761963,0.468139663696289,193,57,234,16,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99755859375,0.417392,0.4217033032934739,0.40800000000000003,0.3285423925667828,0.064,0.752,0.248,0.0,0.0,0.4748540222644806,0.4752949339151383,188,62,234,16,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
