n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.99755859375,0.48427200000000004,0.4655466181274739,0.452,0.4039227971249064,0.168,0.736,0.264,0.0,0.012,0.44476962089538574,0.4528447251319886,184,66,208,42,clean,clean,{}
500,0.99755859375,0.48242399999999996,0.4640545499734061,0.44,0.3908700116604883,0.156,0.724,0.276,0.0,0.012,0.4446348249912262,0.4526445436477662,181,69,211,39,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.99755859375,0.488,0.4707695366377492,0.45199999999999996,0.4095947320335799,0.184,0.72,0.28,0.0,0.012,0.45266616344451904,0.4597412340641021,180,70,204,46,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.99755859375,0.48612,0.47678894850886977,0.446,0.41273495901865254,0.208,0.684,0.316,0.0,0.02,0.46115875244140625,0.4670566544532776,171,79,198,52,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.99755859375,0.47117600000000004,0.46398048371168166,0.42600000000000005,0.3915340550121057,0.188,0.664,0.336,0.0,0.02,0.4628576338291168,0.46738573563098906,166,84,203,47,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.99755859375,0.47650400000000004,0.4620240725208369,0.442,0.3892053539762951,0.148,0.736,0.264,0.0,0.016,0.4441274404525757,0.45062939786911016,184,66,213,37,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.99755859375,0.49080799999999997,0.4809488031636434,0.448,0.41773134630639147,0.22,0.676,0.324,0.0,0.02,0.46823135018348694,0.4732538911104202,169,81,195,55,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.99755859375,0.492616,0.5035999180236278,0.46799999999999997,0.45736434108527135,0.328,0.608,0.392,0.0,0.044,0.48114386200904846,0.4830361505746841,152,98,168,82,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.99755859375,0.522408,0.5038116823247466,0.46,0.43147362037598547,0.236,0.684,0.316,0.024,0.024,0.4655822515487671,0.4726679631471633,171,79,191,59,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.99755859375,0.49487200000000003,0.48781955746082223,0.486,0.47070332612501287,0.316,0.656,0.344,0.0,0.012,0.4802653193473816,0.4823632791042328,164,86,171,79,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
500,0.99755859375,0.45300799999999997,0.44566217731034374,0.43,0.3776613167376351,0.14,0.72,0.28,0.0,0.008,0.4502400755882263,0.45497360849380497,180,70,215,35,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
500,0.99755859375,0.45368800000000004,0.45309464341374867,0.43599999999999994,0.39510939510939513,0.176,0.696,0.304,0.016,0.016,0.4599485397338867,0.46418751835823063,174,76,206,44,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
500,0.99755859375,0.49220800000000003,0.47942589625812104,0.45,0.42462600690448793,0.24,0.66,0.34,0.0,0.024,0.4744669198989868,0.4786650176048279,165,85,190,60,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
500,0.99755859375,0.46266399999999996,0.4602872044570415,0.454,0.39920510213513266,0.152,0.756,0.244,0.008,0.008,0.4536423087120056,0.4553144499063492,189,61,212,38,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
500,0.99755859375,0.438632,0.4459914955430447,0.438,0.3894463299423342,0.156,0.72,0.28,0.0,0.0,0.4588293433189392,0.45767087984085086,180,70,211,39,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
500,0.99755859375,0.468792,0.4548611505569799,0.42600000000000005,0.3890263165737788,0.18,0.672,0.328,0.0,0.012,0.4576829671859741,0.4638027267456055,168,82,205,45,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
500,0.99755859375,0.5070239999999999,0.48477628017269486,0.472,0.42278427874271923,0.18,0.764,0.236,0.004,0.048,0.45311444997787476,0.46048048818111414,191,59,205,45,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
500,0.99755859375,0.469272,0.4568138950403149,0.428,0.3989071038251366,0.208,0.648,0.352,0.0,0.016,0.4663759768009186,0.47067677295207977,162,88,198,52,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99755859375,0.49173599999999995,0.4700830683218112,0.44399999999999995,0.4036894036894037,0.184,0.704,0.296,0.0,0.004,0.4697003960609436,0.4743066513538361,176,74,204,46,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99755859375,0.480408,0.47081100050492003,0.456,0.3956522511953643,0.14,0.772,0.228,0.008,0.008,0.46703797578811646,0.46955470383167264,193,57,215,35,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99755859375,0.481768,0.483507101557749,0.484,0.44407095206081604,0.216,0.752,0.248,0.012,0.012,0.47487378120422363,0.4758154084682464,188,62,196,54,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
