n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.99755859375,0.441496,0.4477165892869792,0.46599999999999997,0.4240103548700248,0.196,0.736,0.264,0.0,0.004,0.4475216567516327,0.4412304518222809,184,66,201,49,clean,clean,{}
500,0.99755859375,0.440928,0.44708927322876,0.45999999999999996,0.4195445789763347,0.196,0.724,0.276,0.0,0.004,0.4473457634449005,0.4411464909315109,181,69,201,49,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.99755859375,0.428416,0.4470228399630179,0.45999999999999996,0.42084942084942084,0.2,0.72,0.28,0.0,0.0,0.4558860957622528,0.44511326670646667,180,70,200,50,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.99755859375,0.433504,0.45061722703383417,0.444,0.41001697792869274,0.204,0.684,0.316,0.0,0.0,0.46285510063171387,0.45772655522823336,171,79,199,51,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.99755859375,0.420464,0.43788650513089894,0.43200000000000005,0.3996888528138528,0.2,0.664,0.336,0.0,0.004,0.4653358459472656,0.45654294776916515,166,84,200,50,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.99755859375,0.449736,0.4501740083563789,0.45799999999999996,0.412603661364927,0.18,0.736,0.264,0.0,0.008,0.44621381163597107,0.44176121258735657,184,66,205,45,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.99755859375,0.449016,0.4518636987155126,0.43800000000000006,0.40425459741603387,0.2,0.676,0.324,0.0,0.004,0.46879905462265015,0.46916502428054807,169,81,200,50,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.99755859375,0.430104,0.4589184182568091,0.436,0.41880595538408266,0.264,0.608,0.392,0.0,0.016,0.4815879166126251,0.479256830573082,152,98,184,66,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.99755859375,0.42972,0.44226032812046207,0.42600000000000005,0.38506764255931847,0.168,0.684,0.316,0.008,0.008,0.4669511616230011,0.4637685431241989,171,79,208,42,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.99755859375,0.406568,0.43555068503934835,0.44,0.412593984962406,0.224,0.656,0.344,0.0,0.004,0.4808250367641449,0.47725095999240874,164,86,194,56,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
500,0.99755859375,0.430232,0.4331454589134073,0.428,0.3746829686379458,0.136,0.72,0.28,0.0,0.0,0.45130208134651184,0.4497060527801513,180,70,216,34,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
500,0.99755859375,0.423064,0.4293585742689227,0.424,0.37798051005598177,0.152,0.696,0.304,0.0,0.0,0.4607281982898712,0.4595322245359421,174,76,212,38,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
500,0.99755859375,0.41835999999999995,0.4293300747517449,0.41800000000000004,0.38179546989917534,0.176,0.66,0.34,0.0,0.004,0.4749715328216553,0.4738710997104645,165,85,206,44,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
500,0.99755859375,0.464952,0.4599456244577036,0.46799999999999997,0.4198827552515877,0.18,0.756,0.244,0.004,0.004,0.4541715979576111,0.45293845260143284,189,61,205,45,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
500,0.99755859375,0.46327199999999996,0.4644302757856048,0.45599999999999996,0.4152449091909741,0.192,0.72,0.28,0.008,0.008,0.45876020193099976,0.4588837684392929,180,70,202,48,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
500,0.99755859375,0.42100000000000004,0.433126073523781,0.42400000000000004,0.3862520458265139,0.176,0.672,0.328,0.0,0.004,0.4591262936592102,0.45549608623981475,168,82,206,44,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
500,0.99755859375,0.419632,0.4343668521598843,0.44,0.37431845403028297,0.116,0.764,0.236,0.004,0.024,0.45585301518440247,0.4469120908975601,191,59,221,29,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
500,0.99755859375,0.41115199999999996,0.4309284162654669,0.41800000000000004,0.38549255622426354,0.188,0.648,0.352,0.0,0.004,0.467796266078949,0.4618925849199295,162,88,203,47,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99755859375,0.38994399999999996,0.419814535131186,0.408,0.35115039281705945,0.112,0.704,0.296,0.0,0.004,0.47166669368743896,0.46230763196945185,176,74,222,28,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99755859375,0.392456,0.42259044646645905,0.438,0.3674334004169087,0.104,0.772,0.228,0.0,0.0,0.4686414897441864,0.4605742126703263,193,57,224,26,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.99755859375,0.362296,0.4088214111673385,0.428,0.36091099233093193,0.104,0.752,0.248,0.0,0.0,0.4762831926345825,0.4655429724454879,188,62,224,26,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
