n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
2000,0.99755859375,0.919127,0.8948352703058662,0.8400000000000001,0.8398653267397882,0.869,0.811,0.189,0.0,0.312,0.4391014277935028,0.46519946134090423,811,189,131,869,clean,clean,{}
2000,0.99755859375,0.9208075,0.897967365809795,0.843,0.8429018136335209,0.868,0.818,0.182,0.0,0.312,0.4387723207473755,0.46497717469930655,818,182,132,868,jpeg__quality=90,jpeg,"{""quality"":90}"
2000,0.99755859375,0.9105774999999999,0.8829689120481139,0.8355,0.8353662762578905,0.864,0.807,0.193,0.0,0.266,0.44546809792518616,0.46912111601233486,807,193,136,864,jpeg__quality=70,jpeg,"{""quality"":70}"
2000,0.99755859375,0.9072900000000002,0.8786285763894517,0.8325,0.8319635857566317,0.889,0.776,0.224,0.0,0.288,0.4575989246368408,0.4763606232702732,776,224,111,889,jpeg__quality=50,jpeg,"{""quality"":50}"
2000,0.99755859375,0.9020624999999999,0.8710082406501495,0.8325,0.8321212235105457,0.88,0.785,0.215,0.0,0.268,0.4560850262641907,0.47543750661611556,785,215,120,880,jpeg__quality=30,jpeg,"{""quality"":30}"
2000,0.99755859375,0.9223585000000001,0.8967892767184692,0.8494999999999999,0.8494168404501385,0.873,0.826,0.174,0.0,0.289,0.4388944208621979,0.46526792073249823,826,174,127,873,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
2000,0.99755859375,0.9233665000000001,0.8967421742376035,0.8460000000000001,0.8454620534079129,0.905,0.787,0.213,0.0,0.26,0.46717387437820435,0.48206298336386677,787,213,95,905,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
2000,0.99755859375,0.895572,0.8619578318846262,0.813,0.8115405701754386,0.901,0.725,0.275,0.0,0.191,0.4788462221622467,0.48840794748067856,725,275,99,901,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
2000,0.99755859375,0.915666,0.8876572384624511,0.837,0.8365408432286292,0.89,0.784,0.216,0.23,0.23,0.4632650315761566,0.4797697689831257,784,216,110,890,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
2000,0.99755859375,0.8874315,0.8495473791391501,0.815,0.8145727756751555,0.863,0.767,0.233,0.122,0.122,0.4764851927757263,0.48699118745326997,767,233,137,863,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
2000,0.99755859375,0.9053779999999998,0.8787817785459621,0.8254999999999999,0.8254964663034426,0.821,0.83,0.17,0.212,0.522,0.44675493240356445,0.46972756278514866,830,170,179,821,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
2000,0.99755859375,0.8945365000000001,0.8677303528306246,0.817,0.8169992679970719,0.815,0.819,0.181,0.2,0.2,0.4564449191093445,0.47536473357677456,819,181,185,815,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
2000,0.99755859375,0.876394,0.8451309433049192,0.7929999999999999,0.792899763485527,0.815,0.771,0.229,0.0,0.191,0.4711446762084961,0.483709469974041,771,229,185,815,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
2000,0.99755859375,0.9191644999999999,0.8978926691949579,0.842,0.8419943117952247,0.836,0.848,0.152,0.194,0.516,0.44866421818733215,0.47098535940051073,848,152,164,836,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
2000,0.99755859375,0.9079805000000001,0.8859396638991834,0.8275,0.8274530240858073,0.844,0.811,0.189,0.0,0.283,0.4558623135089874,0.47507884553074836,811,189,156,844,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
2000,0.99755859375,0.9041765000000002,0.8768356786689689,0.8295,0.8293514931369024,0.859,0.8,0.2,0.239,0.239,0.45189031958580017,0.47280517053604126,800,200,141,859,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
2000,0.99755859375,0.915084,0.8895959009103199,0.8374999999999999,0.8374443653340355,0.819,0.856,0.144,0.153,0.478,0.44623619318008423,0.469765146702528,856,144,181,819,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
2000,0.99755859375,0.893453,0.8592316136356218,0.823,0.8227303728971767,0.862,0.784,0.216,0.0,0.26,0.4592617154121399,0.4772639243900776,784,216,138,862,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
2000,0.99755859375,0.896791,0.8653745920237288,0.8185,0.8184897900506903,0.811,0.826,0.174,0.167,0.167,0.4603249430656433,0.47777588039636615,826,174,189,811,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
2000,0.99755859375,0.8631424999999999,0.8307752399371793,0.746,0.7431684319623852,0.641,0.851,0.149,0.059,0.287,0.45787757635116577,0.47556177929043775,851,149,359,641,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
2000,0.99755859375,0.8275925000000001,0.7917185682232809,0.7115,0.7065792608492573,0.582,0.841,0.159,0.054,0.243,0.4634503126144409,0.4782172859013081,841,159,418,582,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
