n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
500,0.9970703125,0.5004000000000001,0.4770740383892743,0.442,0.4096762317454541,0.208,0.676,0.324,0.0,0.024,0.42149439454078674,0.4285283298492431,169,81,198,52,clean,clean,{},0.5454033970832824,0.4545966014266014
500,0.9970703125,0.498032,0.4742413446069199,0.43600000000000005,0.40152801358234297,0.196,0.676,0.324,0.0,0.024,0.42174988985061646,0.4284941299557685,169,81,201,49,jpeg__quality=90,jpeg,"{""quality"":90}",0.5454119329452515,0.45458806574344635
500,0.9970703125,0.50012,0.478413940196855,0.46199999999999997,0.4308347897474091,0.228,0.696,0.304,0.0,0.02,0.43315011262893677,0.4396987447738648,174,76,193,57,jpeg__quality=70,jpeg,"{""quality"":70}",0.5438809369206429,0.4561190630197525
500,0.9970703125,0.50016,0.484671308485969,0.46799999999999997,0.4493574456809751,0.284,0.652,0.348,0.0,0.04,0.44533422589302063,0.451617170214653,163,87,179,71,jpeg__quality=50,jpeg,"{""quality"":50}",0.5425041207671165,0.4574958773255348
500,0.9970703125,0.48272000000000004,0.4723624416996972,0.436,0.4144129178018473,0.244,0.628,0.372,0.0,0.036,0.4486897587776184,0.4523896423578262,157,93,189,61,jpeg__quality=30,jpeg,"{""quality"":30}",0.5403202846050262,0.45967971527576446
500,0.9970703125,0.488344,0.46626089654501063,0.44,0.4104170877973182,0.216,0.664,0.336,0.0,0.02,0.424992173910141,0.4296093560457229,166,84,196,54,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5434677518606186,0.4565322484970093
500,0.9970703125,0.50256,0.4845450970845686,0.45399999999999996,0.44210797356450093,0.308,0.6,0.4,0.0,0.0,0.4602798819541931,0.4667627011537552,150,100,173,77,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.5310876694917679,0.46891232883930206
500,0.9970703125,0.49504000000000004,0.49836461752698413,0.472,0.4705684169995668,0.42,0.524,0.476,0.0,0.0,0.4793909192085266,0.4812929946184158,131,119,145,105,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.5120685796737671,0.48793141889572145
500,0.9970703125,0.534832,0.5168664672424818,0.48,0.46960424316605465,0.34,0.62,0.38,0.0,0.056,0.4561479389667511,0.4645585920810699,155,95,165,85,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.5322258659005165,0.46777413749694824
500,0.9970703125,0.499584,0.49407301112450175,0.458,0.45433092111356765,0.376,0.54,0.46,0.0,0.044,0.477777898311615,0.48030272972583776,135,115,156,94,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.5093283818364144,0.49067161786556246
500,0.9970703125,0.45964,0.4529747923848382,0.42600000000000005,0.38506764255931847,0.168,0.684,0.316,0.0,0.024,0.42521238327026367,0.423501450240612,171,79,208,42,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",0.548275660276413,0.45172433906793596
500,0.9970703125,0.45975200000000005,0.45429802563018085,0.42800000000000005,0.39426286450126224,0.192,0.664,0.336,0.0,0.028,0.43703266978263855,0.43626076328754426,166,84,202,48,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",0.5491536642313004,0.45084633404016494
500,0.9970703125,0.490008,0.4733077330441642,0.446,0.4224329542658643,0.244,0.648,0.352,0.0,0.032,0.45499691367149353,0.4591963094472885,162,88,189,61,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",0.5489051150083541,0.45109488362073896
500,0.9970703125,0.47975199999999996,0.46669132533567037,0.444,0.4112065605991291,0.208,0.68,0.32,0.0,0.032,0.4374522864818573,0.437338886976242,170,80,198,52,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",0.5426430994272232,0.45735689902305604
500,0.9970703125,0.439408,0.4475517192649673,0.43799999999999994,0.4005333333333333,0.188,0.688,0.312,0.0,0.016,0.43700742721557617,0.42508006465435033,172,78,203,47,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",0.5455236846804619,0.4544763139486313
500,0.9970703125,0.47855200000000003,0.4585359417346597,0.426,0.39845148416900367,0.212,0.64,0.36,0.0,0.0,0.43857043981552124,0.4437900184392929,160,90,197,53,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",0.5433992788791656,0.4566007206439972
500,0.9970703125,0.520168,0.4939857141756746,0.446,0.417281291153194,0.224,0.668,0.332,0.0,0.028,0.43990635871887207,0.44855958712100985,167,83,194,56,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}",0.5303004830479622,0.4696995179057121
500,0.9970703125,0.48055200000000003,0.4627315579535962,0.426,0.4105299479541076,0.264,0.588,0.412,0.0,0.0,0.4553271532058716,0.4600029227733612,147,103,184,66,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.5394245907068252,0.4605754109621048
500,0.9970703125,0.5025040000000001,0.477722547591219,0.428,0.40971534244765867,0.252,0.604,0.396,0.0,0.032,0.4653190076351166,0.470766614317894,151,99,187,63,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.520599271774292,0.4794007291793823
500,0.9970703125,0.48606399999999994,0.47380782884379313,0.45399999999999996,0.4200349253693294,0.212,0.696,0.304,0.0,0.028,0.45696917176246643,0.4592978522777557,174,76,197,53,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.5368391726016998,0.46316082739830017
500,0.9970703125,0.484368,0.48141136575215904,0.466,0.44037124136976996,0.252,0.68,0.32,0.0,0.024,0.46502336859703064,0.46501758849620817,170,80,187,63,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}",0.5371392511129379,0.46286074817180634
