n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
2000,0.9970703125,0.9278605,0.9052206638395086,0.8525,0.8520107104112974,0.91,0.795,0.205,0.0,0.504,0.404408723115921,0.4425798269063234,795,205,90,910,clean,clean,{},0.5450423789322376,0.45495762045681476
2000,0.9970703125,0.9283665,0.9060365316956136,0.8525,0.8519934847030249,0.911,0.794,0.206,0.0,0.5,0.40423697233200073,0.44243433354794987,794,206,89,911,jpeg__quality=90,jpeg,"{""quality"":90}",0.5450503530800342,0.4549496462494135
2000,0.9970703125,0.922365,0.8984960580191784,0.8480000000000001,0.8473748473748474,0.912,0.784,0.216,0.0,0.451,0.4153873026371002,0.4501563850939274,784,216,88,912,jpeg__quality=70,jpeg,"{""quality"":70}",0.5433374825567007,0.4566625172793865
2000,0.9970703125,0.918023,0.8900451004064625,0.8335,0.8324939165864976,0.911,0.756,0.244,0.0,0.485,0.4356025755405426,0.4631583245694637,756,244,89,911,jpeg__quality=50,jpeg,"{""quality"":50}",0.5417064402848483,0.4582935593277216
2000,0.9970703125,0.912666,0.8825873934099234,0.833,0.8319512074859197,0.912,0.754,0.246,0.0,0.466,0.4339664876461029,0.4620704098939896,754,246,88,912,jpeg__quality=30,jpeg,"{""quality"":30}",0.5391116141229868,0.46088838681578637
2000,0.9970703125,0.9303365,0.9064125470803502,0.855,0.8545105735694878,0.913,0.797,0.203,0.0,0.491,0.40808427333831787,0.4455245589315891,797,203,87,913,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5425181569010019,0.4574818435907364
2000,0.9970703125,0.9321405,0.9057844545581379,0.841,0.8391931745087806,0.947,0.735,0.265,0.0,0.542,0.45648393034935,0.4760234245359898,735,265,53,947,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.5292216513752938,0.47077834996581075
2000,0.9970703125,0.9056565000000001,0.8712342127100874,0.8009999999999999,0.7969047881482207,0.943,0.659,0.341,0.0,0.442,0.4732017517089844,0.48545753929018975,659,341,57,943,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.5119052182734013,0.4880947815775871
2000,0.9970703125,0.9245355,0.8965057772561056,0.8365,0.8348981404835061,0.935,0.738,0.262,0.0,0.481,0.44837361574172974,0.47114428007602693,738,262,65,935,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.5307548765987158,0.46924512450397016
2000,0.9970703125,0.900451,0.8649237829415048,0.81,0.8077154674689991,0.919,0.701,0.299,0.0,0.318,0.4701524078845978,0.4836496625542641,701,299,81,919,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.5093432627022266,0.4906567380875349
2000,0.9970703125,0.9144705,0.8888486020580019,0.838,0.8378986866791744,0.863,0.813,0.187,0.0,0.379,0.4098864495754242,0.4463508133590221,813,187,137,863,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",0.5482421481013298,0.45175785121321677
2000,0.9970703125,0.901319,0.8715393343152595,0.8315,0.8313724754345474,0.859,0.804,0.196,0.0,0.351,0.4226963222026825,0.45460938888788227,804,196,141,859,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",0.5492021962106228,0.4507978005260229
2000,0.9970703125,0.881605,0.8491875831600499,0.8015,0.8013386373081536,0.83,0.773,0.227,0.0,0.323,0.44401416182518005,0.46757751035690304,773,227,170,830,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",0.5489480846524238,0.45105191494524477
2000,0.9970703125,0.9260245,0.9016432225157796,0.854,0.8537660256410257,0.894,0.814,0.186,0.0,0.419,0.42332085967063904,0.4553059040307999,814,186,106,894,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",0.5412777377665043,0.45872226129472254
