n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
2000,0.9970703125,0.9782205,0.9785360130683134,0.9319999999999999,0.9319956477214542,0.924,0.94,0.06,0.764,0.888,0.3945673108100891,0.4379839984327555,940,60,76,924,clean,clean,{},0.5872814229428768,0.4127185824364424
2000,0.9970703125,0.9783599999999999,0.9787734774038872,0.9325,0.9324979580632314,0.927,0.938,0.062,0.772,0.894,0.3952403664588928,0.43837977574765674,938,62,73,927,jpeg__quality=90,jpeg,"{""quality"":90}",0.5872874977141619,0.4127125066965818
2000,0.9970703125,0.972924,0.9705021464448269,0.915,0.9149550112009253,0.938,0.892,0.108,0.573,0.853,0.4180273115634918,0.45262889680266377,892,108,62,938,jpeg__quality=70,jpeg,"{""quality"":70}",0.5865456218123436,0.41345438192784784
2000,0.9970703125,0.970226,0.9689342979385336,0.9135,0.9134194584512243,0.944,0.883,0.117,0.558,0.848,0.43479040265083313,0.46309314866364004,883,117,56,944,jpeg__quality=50,jpeg,"{""quality"":50}",0.5858195617944002,0.41418044252693653
2000,0.9970703125,0.9673105,0.9647588912651356,0.903,0.9029611844737895,0.923,0.883,0.117,0.504,0.837,0.4303091764450073,0.46030881217122077,883,117,77,923,jpeg__quality=30,jpeg,"{""quality"":30}",0.5845435418635607,0.4154564623087645
2000,0.9970703125,0.9800695,0.9813863109112848,0.9355,0.9354864360231738,0.921,0.95,0.05,0.843,0.921,0.3946332037448883,0.4382119237184525,950,50,79,921,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5862376171946525,0.41376238694787026
2000,0.9970703125,0.9709500000000001,0.9683558771724475,0.8985,0.8982300807316204,0.95,0.847,0.153,0.559,0.87,0.45312264561653137,0.4741865411996842,847,153,50,950,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.5715221757888794,0.4284778242707252
2000,0.9970703125,0.9580660000000001,0.9527857231221114,0.889,0.8888130948123796,0.93,0.848,0.152,0.388,0.816,0.4641788601875305,0.48042087543010703,848,152,70,930,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.5407665892094373,0.4592334108501673
2000,0.9970703125,0.9668635,0.9639394159143815,0.901,0.9009223231013115,0.929,0.873,0.127,0.487,0.842,0.4391157925128937,0.4657089764475823,873,127,71,929,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.5750917533636093,0.4249082487821579
2000,0.9970703125,0.958467,0.9574726604363992,0.89,0.88999955999824,0.892,0.888,0.112,0.652,0.82,0.4572603106498718,0.4763198452591896,888,112,108,892,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.5370177816748619,0.4629822179526091
