mode,condition_index,transform,transform_name,transform_params,n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,semantic_gate_mean,semantic_gate_std,semantic_gate_min,semantic_gate_max,gate_entropy_mean,mean_abs_probability_delta_from_learned,max_abs_probability_delta_from_learned,threshold_flip_rate_from_learned
learned,0,clean,clean,{},4000,0.9970703125,0.93053275,0.9125125056414035,0.8534999999999999,0.853438407490748,0.874,0.833,0.167,0.0,0.453,0.39706841111183167,0.43739198555052283,1666,334,252,1748,0.588310182094574,0.006472177337855101,0.503410279750824,0.5930202007293701,0.6773818135261536,0.0,0.0,0.0
fixed_equal,0,clean,clean,{},4000,0.9970703125,0.9295018749999999,0.9161905090941888,0.8540000000000001,0.8539868223107135,0.8445,0.8635,0.1365,0.255,0.548,0.43569621443748474,0.46314832259714606,1727,273,311,1689,0.5,0.0,0.5,0.5,0.6931473612785339,0.026420166715979576,0.244873046875,0.03
fixed_clean_mean,0,clean,clean,{},4000,0.9970703125,0.930264,0.9119869599944175,0.85425,0.8541872184842586,0.875,0.8335,0.1665,0.0,0.4535,0.39765074849128723,0.43778913874179126,1667,333,250,1750,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.001008239691145718,0.08056640625,0.00125
shuffled,0,clean,clean,{},4000,0.9970703125,0.930452125,0.9123388066865432,0.85425,0.8541872184842586,0.875,0.8335,0.1665,0.0,0.452,0.3976804316043854,0.43779834161698816,1667,333,250,1750,0.588310182094574,0.006472177803516388,0.503410279750824,0.5930202007293701,0.6773817539215088,0.0014815673930570483,0.09765625,0.00075
learned,1,jpeg__quality=90,jpeg,"{""quality"":90}",4000,0.9970703125,0.9317212499999998,0.913651307640887,0.85425,0.8541841550325069,0.8755,0.833,0.167,0.0,0.458,0.3977130651473999,0.43788169189542525,1666,334,249,1751,0.5883170366287231,0.0064639863558113575,0.5033969283103943,0.5930790901184082,0.6773794889450073,0.0,0.0,0.0
fixed_equal,1,jpeg__quality=90,jpeg,"{""quality"":90}",4000,0.9970703125,0.9311865,0.9176602586051671,0.85625,0.8562363334664502,0.8465,0.866,0.134,0.2575,0.554,0.43606674671173096,0.46341785964369775,1732,268,307,1693,0.5,0.0,0.5,0.5,0.6931473612785339,0.0261989738792181,0.23828125,0.031
fixed_clean_mean,1,jpeg__quality=90,jpeg,"{""quality"":90}",4000,0.9970703125,0.9315415,0.9133119946400141,0.8545,0.8544295438992473,0.8765,0.8325,0.1675,0.0,0.4575,0.39829206466674805,0.43827937024831765,1665,335,247,1753,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.0009989624377340078,0.0830078125,0.00075
shuffled,1,jpeg__quality=90,jpeg,"{""quality"":90}",4000,0.9970703125,0.9314785000000001,0.9131930277553193,0.855,0.8549329427527874,0.8765,0.8335,0.1665,0.0,0.4625,0.3983525335788727,0.438302594460547,1667,333,247,1753,0.5883170366287231,0.0064639863558113575,0.5033969283103943,0.5930790901184082,0.6773795485496521,0.001503906212747097,0.1455078125,0.00125
learned,2,jpeg__quality=70,jpeg,"{""quality"":70}",4000,0.9970703125,0.928131875,0.9063413623508739,0.85175,0.8514458260441896,0.897,0.8065,0.1935,0.0,0.4595,0.41560399532318115,0.44970566879957913,1613,387,206,1794,0.5879079699516296,0.007351013831794262,0.49922892451286316,0.5931380391120911,0.6775002479553223,0.0,0.0,0.0
fixed_equal,2,jpeg__quality=70,jpeg,"{""quality"":70}",4000,0.9970703125,0.9292208750000001,0.9156223110687819,0.8525,0.8524837363319306,0.863,0.842,0.158,0.261,0.566,0.44697344303131104,0.4699778218567372,1684,316,274,1726,0.5,0.0,0.5,0.5,0.6931473612785339,0.020965270698070526,0.2421875,0.03475
fixed_clean_mean,2,jpeg__quality=70,jpeg,"{""quality"":70}",4000,0.9970703125,0.9282252499999999,0.9065217325825086,0.8512500000000001,0.8509241854901504,0.898,0.8045,0.1955,0.0,0.462,0.4158717691898346,0.4498761468306184,1609,391,204,1796,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.0009484252659603953,0.11474609375,0.0015
shuffled,2,jpeg__quality=70,jpeg,"{""quality"":70}",4000,0.9970703125,0.9281312500000001,0.9064614373205553,0.85025,0.8499289887274498,0.8965,0.804,0.196,0.0,0.462,0.4159345030784607,0.4499045458957553,1608,392,207,1793,0.5879079699516296,0.007351013831794262,0.49922892451286316,0.5931380391120911,0.6775002479553223,0.001393188489601016,0.115234375,0.0015
learned,3,jpeg__quality=50,jpeg,"{""quality"":50}",4000,0.9970703125,0.926717125,0.9060813806915474,0.84875,0.8483822416510146,0.898,0.7995,0.2005,0.0,0.448,0.4282902479171753,0.4579366434663534,1599,401,204,1796,0.5873351097106934,0.008256080560386181,0.49775126576423645,0.5931380391120911,0.6776742339134216,0.0,0.0,0.0
fixed_equal,3,jpeg__quality=50,jpeg,"{""quality"":50}",4000,0.9970703125,0.925485875,0.9104632670403757,0.845,0.8449696140443527,0.859,0.831,0.169,0.246,0.5575,0.4545533359050751,0.4744178503453731,1662,338,282,1718,0.5,0.0,0.5,0.5,0.6931473612785339,0.017198486253619194,0.234619140625,0.03525
fixed_clean_mean,3,jpeg__quality=50,jpeg,"{""quality"":50}",4000,0.9970703125,0.9266174999999999,0.9060037144965728,0.849,0.8485984452263515,0.9005,0.7975,0.2025,0.0,0.4535,0.42826172709465027,0.4579222483485937,1595,405,199,1801,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.0008796386537142098,0.10595703125,0.00325
shuffled,3,jpeg__quality=50,jpeg,"{""quality"":50}",4000,0.9970703125,0.92600525,0.9047088461940946,0.84875,0.8483516862258526,0.9,0.7975,0.2025,0.0,0.447,0.4286373257637024,0.45814928489178414,1595,405,200,1800,0.5873350501060486,0.008256081491708755,0.49775126576423645,0.5931380391120911,0.6776742339134216,0.001421630848199129,0.13330078125,0.003
learned,4,jpeg__quality=30,jpeg,"{""quality"":30}",4000,0.9970703125,0.923369625,0.8999662441208061,0.8472500000000001,0.8469570662596375,0.891,0.8035,0.1965,0.0,0.411,0.4248961806297302,0.4557396706044674,1607,393,218,1782,0.5861421823501587,0.009670705534517765,0.4963722825050354,0.5931969285011292,0.6780405044555664,0.0,0.0,0.0
fixed_equal,4,jpeg__quality=30,jpeg,"{""quality"":30}",4000,0.9970703125,0.92401075,0.908506377038604,0.847,0.846992502632629,0.854,0.84,0.16,0.2165,0.536,0.4523536264896393,0.4730735508650542,1680,320,292,1708,0.5,0.0,0.5,0.5,0.6931473612785339,0.018048949539661407,0.233154296875,0.03675
fixed_clean_mean,4,jpeg__quality=30,jpeg,"{""quality"":30}",4000,0.9970703125,0.92279925,0.8989253737244723,0.8465,0.846188531776848,0.8915,0.8015,0.1985,0.0,0.413,0.42437517642974854,0.45538974664360277,1603,397,217,1783,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.001084533636458218,0.07763671875,0.00275
shuffled,4,jpeg__quality=30,jpeg,"{""quality"":30}",4000,0.9970703125,0.9232527500000001,0.8999574240100203,0.847,0.8467099368780575,0.8905,0.8035,0.1965,0.0,0.408,0.42518046498298645,0.4558979946225882,1607,393,219,1781,0.5861421823501587,0.009670705534517765,0.4963722825050354,0.5931969285011292,0.6780405044555664,0.001764038112014532,0.09228515625,0.00425
learned,5,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",4000,0.9970703125,0.9345157500000001,0.9134413017077015,0.8634999999999999,0.8634426117575911,0.884,0.843,0.157,0.0,0.432,0.39958423376083374,0.4397119926512241,1686,314,232,1768,0.5868553519248962,0.008175676688551903,0.5033759474754333,0.592961311340332,0.6778456568717957,0.0,0.0,0.0
fixed_equal,5,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",4000,0.9970703125,0.9354208749999999,0.9213386882125025,0.86275,0.8627355786567326,0.8525,0.873,0.127,0.2505,0.5445,0.43655925989151,0.46394340294599534,1746,254,295,1705,0.5,0.0,0.5,0.5,0.6931473612785339,0.024907715618610382,0.24560546875,0.03075
fixed_clean_mean,5,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",4000,0.9970703125,0.93438975,0.9131978569174691,0.86375,0.8636794455930598,0.8865,0.841,0.159,0.0,0.4385,0.39949706196784973,0.4396337981373071,1682,318,227,1773,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.001247497508302331,0.09619140625,0.00275
shuffled,5,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",4000,0.9970703125,0.934907625,0.9144375185507108,0.864,0.8639280179214804,0.887,0.841,0.159,0.0,0.4355,0.4001576602458954,0.44008124710619456,1682,318,226,1774,0.5868553519248962,0.008175676688551903,0.5033759474754333,0.592961311340332,0.6778455972671509,0.0020751953125,0.1025390625,0.003
learned,6,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",4000,0.9970703125,0.935129125,0.9140355515632911,0.85575,0.8549611244911778,0.9295,0.782,0.218,0.0,0.4885,0.45127832889556885,0.47269741224497563,1564,436,141,1859,0.5708173513412476,0.013467610813677311,0.5010795593261719,0.5916053056716919,0.6827136278152466,0.0,0.0,0.0
fixed_equal,6,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",4000,0.9970703125,0.9349773750000001,0.9189323260738076,0.85975,0.8594871619543833,0.903,0.8165,0.1835,0.3085,0.621,0.46485215425491333,0.48065089465677735,1633,367,194,1806,0.5,0.0,0.5,0.5,0.6931473612785339,0.008638305589556694,0.20751953125,0.0305
fixed_clean_mean,6,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",4000,0.9970703125,0.934873,0.9119939815647296,0.855,0.8540893717692117,0.934,0.776,0.224,0.0,0.522,0.4469752609729767,0.47006233742833137,1552,448,132,1868,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.0028743285220116377,0.10791015625,0.00525
shuffled,6,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",4000,0.9970703125,0.9360517500000001,0.916230710470757,0.85425,0.8534529212796476,0.928,0.7805,0.2195,0.0,0.4915,0.45120152831077576,0.47266707748174674,1561,439,144,1856,0.5708174109458923,0.013467610813677311,0.5010795593261719,0.5916053056716919,0.6827136278152466,0.0022267457097768784,0.12353515625,0.004
learned,7,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",4000,0.9970703125,0.90275225,0.8799044620100095,0.826,0.8254816368317996,0.8805,0.7715,0.2285,0.0,0.2915,0.46620333194732666,0.48101796548068515,1543,457,239,1761,0.5392754077911377,0.008739255368709564,0.497226744890213,0.5766611695289612,0.6899051666259766,0.0,0.0,0.0
fixed_equal,7,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",4000,0.9970703125,0.900698875,0.8803379728994135,0.825,0.8248475736009262,0.8545,0.7955,0.2045,0.1865,0.516,0.47066730260849,0.48346642978489396,1591,409,291,1709,0.5,0.0,0.5,0.5,0.6931473612785339,0.003068847581744194,0.09326171875,0.025
fixed_clean_mean,7,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",4000,0.9970703125,0.904539,0.8782616539033175,0.8205,0.8193145225826648,0.9015,0.7395,0.2605,0.0,0.421,0.4576319456100464,0.4759656464606524,1479,521,197,1803,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.005824035499244928,0.15869140625,0.0265
shuffled,7,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",4000,0.9970703125,0.9030325,0.8808890691108762,0.825,0.8244690187818149,0.88,0.77,0.23,0.0,0.2955,0.46581006050109863,0.4807704819589854,1540,460,240,1760,0.5392754077911377,0.008739255368709564,0.497226744890213,0.5766611695289612,0.6899051666259766,0.0008641357417218387,0.05810546875,0.007
learned,8,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",4000,0.9970703125,0.9290775,0.9074073460449361,0.85275,0.8524274710146194,0.8995,0.806,0.194,0.0,0.427,0.43799927830696106,0.4645789714083076,1612,388,201,1799,0.5749480128288269,0.013299020007252693,0.5002156496047974,0.5918412208557129,0.6815094947814941,0.0,0.0,0.0
fixed_equal,8,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",4000,0.9970703125,0.92800175,0.9119563336152441,0.854,0.8539753218293891,0.867,0.841,0.159,0.24,0.5475,0.45713210105895996,0.4761332929730415,1682,318,266,1734,0.5,0.0,0.5,0.5,0.6931473612785339,0.01228649914264679,0.224365234375,0.03375
fixed_clean_mean,8,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",4000,0.9970703125,0.929397875,0.9071228114214714,0.8525,0.8521077527873302,0.904,0.801,0.199,0.0,0.452,0.43347790837287903,0.46169930230081085,1602,398,192,1808,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.0031143189407885075,0.11279296875,0.00475
shuffled,8,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",4000,0.9970703125,0.92854375,0.9064074574979656,0.85225,0.8519194008072648,0.8995,0.805,0.195,0.0,0.419,0.4375759959220886,0.46429316721856595,1610,390,201,1799,0.5749480128288269,0.013299020007252693,0.5002156496047974,0.5918412208557129,0.6815094947814941,0.0028322143480181694,0.0966796875,0.006
learned,9,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",4000,0.9970703125,0.903506625,0.882468865285047,0.8255,0.8254956373909348,0.8305,0.8205,0.1795,0.197,0.5265,0.4611625373363495,0.4780184150785208,1641,359,339,1661,0.535780131816864,0.008243457414209843,0.49704745411872864,0.5694336891174316,0.6904479265213013,0.0,0.0,0.0
fixed_equal,9,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",4000,0.9970703125,0.90322025,0.8876113358911936,0.821,0.8209283713485394,0.801,0.841,0.159,0.127,0.4395,0.4662395119667053,0.48081460128724574,1682,318,398,1602,0.5,0.0,0.5,0.5,0.6931473612785339,0.0033666992094367743,0.099609375,0.025
fixed_clean_mean,9,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",4000,0.9970703125,0.90674275,0.8852666952792027,0.825,0.8248370546701069,0.8555,0.7945,0.2055,0.0,0.314,0.4499951899051666,0.4714289772659541,1589,411,289,1711,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.007439331151545048,0.16064453125,0.0255
shuffled,9,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",4000,0.9970703125,0.903481625,0.8823752339845722,0.8260000000000001,0.8259964764286477,0.8305,0.8215,0.1785,0.1945,0.528,0.46092677116394043,0.4778689082711935,1643,357,339,1661,0.5357800722122192,0.008243457414209843,0.49704745411872864,0.5694336891174316,0.6904479265213013,0.0008973388466984034,0.05615234375,0.0055
learned,10,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",4000,0.9970703125,0.9215633750000001,0.9038021664399964,0.8465,0.8464556256758203,0.8295,0.8635,0.1365,0.0,0.6015,0.39378857612609863,0.43464918303489686,1727,273,341,1659,0.590150773525238,0.0021640299819409847,0.5585076212882996,0.5928433537483215,0.6767939329147339,0.0,0.0,0.0
fixed_equal,10,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",4000,0.9970703125,0.91990375,0.906172219744932,0.8365,0.8360306788104251,0.783,0.89,0.11,0.168,0.5785,0.4349345862865448,0.4622210241854191,1780,220,434,1566,0.5,0.0,0.5,0.5,0.6931473612785339,0.02831231616437435,0.25146484375,0.0365
fixed_clean_mean,10,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",4000,0.9970703125,0.9214585,0.903731156694853,0.8465,0.846447446638612,0.828,0.865,0.135,0.0,0.6,0.39487987756729126,0.43541517319530243,1730,270,344,1656,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.0009288330329582095,0.020263671875,0.0015
shuffled,10,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",4000,0.9970703125,0.9213508750000001,0.903363894387985,0.84575,0.8457013862930189,0.828,0.8635,0.1365,0.0,0.601,0.3938297927379608,0.43466363937407726,1727,273,344,1656,0.590150773525238,0.0021640299819409847,0.5585076212882996,0.5928433537483215,0.6767939329147339,0.0008214721456170082,0.019287109375,0.00075
learned,11,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",4000,0.9970703125,0.9151385,0.8916916301087385,0.8405,0.8404942577932806,0.8465,0.8345,0.1655,0.0,0.3505,0.4142986536026001,0.44848388961702584,1669,331,307,1693,0.5890853404998779,0.0016142893582582474,0.5758265852928162,0.5921949744224548,0.6771843433380127,0.0,0.0,0.0
fixed_equal,11,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",4000,0.9970703125,0.9158182500000001,0.8972806271359982,0.8395,0.8394222803837057,0.8175,0.8615,0.1385,0.179,0.481,0.44922760128974915,0.47101990886032574,1723,277,365,1635,0.5,0.0,0.5,0.5,0.6931473612785339,0.02311071753501892,0.2646484375,0.028
fixed_clean_mean,11,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",4000,0.9970703125,0.9150057500000001,0.8914076044873028,0.8405,0.8404942577932806,0.8465,0.8345,0.1655,0.0,0.35,0.4146994948387146,0.448752502001822,1669,331,307,1693,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.000506530748680234,0.01025390625,0.0
shuffled,11,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",4000,0.9970703125,0.91512225,0.891681254221062,0.8405,0.8404942577932806,0.8465,0.8345,0.1655,0.0,0.3505,0.4142840504646301,0.4484629997611045,1669,331,307,1693,0.5890852808952332,0.0016142893582582474,0.5758265852928162,0.5921949744224548,0.6771843433380127,0.0005855712806805968,0.016845703125,0.0
learned,12,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",4000,0.9970703125,0.89247125,0.8573295974267714,0.81975,0.8193719341689616,0.8655,0.774,0.226,0.0,0.3795,0.44603270292282104,0.4686101486310362,1548,452,269,1731,0.5869458913803101,0.0011157904518768191,0.5813624858856201,0.5903069972991943,0.6779482960700989,0.0,0.0,0.0
fixed_equal,12,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",4000,0.9970703125,0.894773,0.864114138805016,0.8187500000000001,0.8186000616134274,0.8475,0.79,0.21,0.0,0.196,0.4695582985877991,0.48287976285815243,1580,420,305,1695,0.5,0.0,0.5,0.5,0.6931473612785339,0.014669738709926605,0.25439453125,0.017
fixed_clean_mean,12,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",4000,0.9970703125,0.892289125,0.8568730328777701,0.81975,0.8193719341689616,0.8655,0.774,0.226,0.0,0.3805,0.4455820918083191,0.46832199824601417,1548,452,269,1731,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.00030682372744195163,0.009765625,0.0
shuffled,12,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",4000,0.9970703125,0.892506625,0.8573320298974222,0.81975,0.8193719341689616,0.8655,0.774,0.226,0.0,0.379,0.4460544288158417,0.46862407471984624,1548,452,269,1731,0.5869458913803101,0.001115790568292141,0.5813624858856201,0.5903069972991943,0.6779482364654541,0.0002755126915872097,0.01171875,0.0
learned,13,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",4000,0.9970703125,0.925437625,0.9031115969268596,0.85125,0.8511474312768642,0.8775,0.825,0.175,0.0,0.4,0.4051635265350342,0.4428436938300729,1650,350,245,1755,0.5847709774971008,0.010436587035655975,0.5014028549194336,0.5930202007293701,0.6784822940826416,0.0,0.0,0.0
fixed_equal,13,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",4000,0.9970703125,0.926458875,0.906633325053229,0.8495,0.8495,0.8495,0.8495,0.1505,0.1985,0.5205,0.44189319014549255,0.4670441762059927,1699,301,301,1699,0.5,0.0,0.5,0.5,0.6931473612785339,0.024694886058568954,0.253173828125,0.02625
fixed_clean_mean,13,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",4000,0.9970703125,0.9249691250000001,0.9020256800722111,0.85,0.8498693488007938,0.8795,0.8205,0.1795,0.0,0.406,0.4042513370513916,0.4422182013988495,1641,359,241,1759,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.001579956035129726,0.123046875,0.00325
shuffled,13,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",4000,0.9970703125,0.9252796249999999,0.9027483031678302,0.85,0.849878063457043,0.8785,0.8215,0.1785,0.0,0.401,0.4061274528503418,0.44350658110529184,1643,357,243,1757,0.5847709774971008,0.010436587035655975,0.5014028549194336,0.5930202007293701,0.6784822940826416,0.0028696898370981216,0.14013671875,0.00325
learned,14,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",4000,0.9970703125,0.920004125,0.9064361134765946,0.8422499999999999,0.8422497535152399,0.841,0.8435,0.1565,0.0,0.624,0.4156719446182251,0.449037377409637,1687,313,318,1682,0.5876143574714661,0.0061720432713627815,0.512143611907959,0.5929023027420044,0.6776370406150818,0.0,0.0,0.0
fixed_equal,14,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",4000,0.9970703125,0.917098,0.9080500932031621,0.8385,0.8382213767661355,0.797,0.88,0.12,0.216,0.6045,0.4464610517024994,0.4690413066595792,1760,240,406,1594,0.5,0.0,0.5,0.5,0.6931473612785339,0.020806457847356796,0.2421875,0.04025
fixed_clean_mean,14,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",4000,0.9970703125,0.919799375,0.9061972945796576,0.8422499999999999,0.8422499112655751,0.8415,0.843,0.157,0.0,0.628,0.415872186422348,0.44914377916604276,1686,314,317,1683,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.0006453857640735805,0.06298828125,0.0015
shuffled,14,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",4000,0.9970703125,0.919830375,0.9062981956412389,0.8420000000000001,0.8419996444992002,0.8405,0.8435,0.1565,0.0,0.629,0.41617125272750854,0.4493322694152594,1687,313,319,1681,0.5876143574714661,0.006172042805701494,0.512143611907959,0.5929023027420044,0.6776370406150818,0.001159423845820129,0.135986328125,0.00175
learned,15,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",4000,0.9970703125,0.920915375,0.8977476240669678,0.84375,0.8435770646685576,0.877,0.8105,0.1895,0.0,0.3955,0.4152103364467621,0.4498528932631015,1621,379,246,1754,0.5864526629447937,0.00777862686663866,0.5061261057853699,0.5931380391120911,0.6779996156692505,0.0,0.0,0.0
fixed_equal,15,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",4000,0.9970703125,0.92057275,0.9036273432268831,0.83975,0.8397499899843743,0.84,0.8395,0.1605,0.2145,0.513,0.446742981672287,0.4698664651513099,1679,321,320,1680,0.5,0.0,0.5,0.5,0.6931473612785339,0.020734984427690506,0.23486328125,0.033
fixed_clean_mean,15,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",4000,0.9970703125,0.9213396249999999,0.898302402894369,0.84375,0.8435664937200394,0.878,0.8095,0.1905,0.0,0.401,0.4144233167171478,0.4493161671757698,1619,381,244,1756,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.0012813720386475325,0.10400390625,0.001
shuffled,15,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",4000,0.9970703125,0.921070875,0.8981321103423816,0.84425,0.8440776180616183,0.8775,0.811,0.189,0.0,0.397,0.4151405692100525,0.44978559675067664,1622,378,245,1755,0.5864527225494385,0.00777862686663866,0.5061261057853699,0.5931380391120911,0.6779996156692505,0.0018596801673993468,0.10546875,0.002
learned,16,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}",4000,0.9970703125,0.9302112500000002,0.9115776066562958,0.857,0.8569536529835666,0.875,0.839,0.161,0.0,0.3975,0.4238274395465851,0.4556333107128739,1678,322,250,1750,0.5755624771118164,0.013618744909763336,0.49734312295913696,0.5921949744224548,0.6813056468963623,0.0,0.0,0.0
fixed_equal,16,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}",4000,0.9970703125,0.9286877499999999,0.914159675336071,0.8535,0.8534822713548339,0.8425,0.8645,0.1355,0.23,0.5255,0.4481963515281677,0.4707805178016424,1729,271,315,1685,0.5,0.0,0.5,0.5,0.6931473612785339,0.015822753310203552,0.248779296875,0.029
fixed_clean_mean,16,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}",4000,0.9970703125,0.9292849999999999,0.9090049729999536,0.85575,0.8556719816856,0.879,0.8325,0.1675,0.0,0.4225,0.41861259937286377,0.45216822209209206,1665,335,242,1758,0.588310182094574,0.0,0.588310182094574,0.588310182094574,0.6774676442146301,0.0036850585602223873,0.1748046875,0.00575
