condition_index,transform,comparison,auroc_delta,accuracy_delta,replicates,seed,auroc_delta_ci_low,auroc_delta_ci_high,accuracy_delta_ci_low,accuracy_delta_ci_high
0,clean,learned_minus_fixed_equal,0.0010308750000000977,-0.0004999999999999449,1000,20260830,-0.0004631968750000048,0.0025291031249999535,-0.005250000000000088,0.00450625000000005
0,clean,learned_minus_fixed_clean_mean,0.0002687500000000398,-0.0007499999999999174,1000,20260830,-0.00015614999999995216,0.0007968656249999038,-0.0020000000000000018,0.00024999999999997247
0,clean,learned_minus_shuffled,8.062500000005635e-05,-0.0007499999999999174,1000,20260830,-0.0004858062500001703,0.000707331250000026,-0.0017500000000000293,0.0
18,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,learned_minus_fixed_equal,0.001868874999999992,0.009000000000000008,1000,20260848,0.0003883750000000436,0.003331584375000135,0.0032437499999999763,0.014499999999999957
18,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,learned_minus_fixed_clean_mean,0.0003029999999999422,-0.0010000000000000009,1000,20260848,-0.0010369875000000278,0.0016750124999997645,-0.004750000000000032,0.0027499999999999218
18,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,learned_minus_shuffled,0.00024437499999985235,0.000500000000000056,1000,20260848,-0.001122490625000011,0.0015087937499998398,-0.0022499999999999742,0.0032499999999999777
19,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,learned_minus_fixed_equal,0.002808624999999898,0.016000000000000014,1000,20260849,0.0012139437499998657,0.004303843750000069,0.009000000000000008,0.022249999999999992
19,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,learned_minus_fixed_clean_mean,0.0009317499999998979,-0.0010000000000000009,1000,20260849,0.00026508437500008807,0.0016730531249999291,-0.00275000000000003,0.0007499999999999202
19,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,learned_minus_shuffled,0.0007127499999999287,-0.00024999999999997247,1000,20260849,6.307187499994815e-05,0.0013985374999999185,-0.0022499999999999742,0.0015000000000000568
20,strict_random_six__profile=full_training_range_v1,learned_minus_fixed_equal,0.000875500000000029,0.00649999999999995,1000,20260850,-0.0008724937500001445,0.002626746875000088,0.0010000000000000009,0.012249999999999983
20,strict_random_six__profile=full_training_range_v1,learned_minus_fixed_clean_mean,-1.0250000000100457e-05,0.00024999999999997247,1000,20260850,-0.0008943062499999682,0.0009194000000000535,-0.0022499999999999742,0.0024999999999999467
20,strict_random_six__profile=full_training_range_v1,learned_minus_shuffled,-8.862500000017537e-05,-0.0007500000000000284,1000,20260850,-0.0012430093749999955,0.001010790625000024,-0.0030000000000000027,0.0017499999999999183
