n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.99365234375,0.33043200000000006,0.4046498891657835,0.418,0.39714357926836846,0.232,0.604,0.396,0.0,0.012,0.4836178123950958,0.47466015529632566,151,99,192,58,clean,clean,{}
500,0.99365234375,0.330272,0.40577577493592576,0.416,0.39460284287870495,0.228,0.604,0.396,0.0,0.016,0.48351210355758667,0.4750146368741989,151,99,193,57,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.99365234375,0.320976,0.4036102893435615,0.412,0.39231087226126493,0.232,0.592,0.408,0.0,0.016,0.4848373234272003,0.4754912178516388,148,102,192,58,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.99365234375,0.31568799999999997,0.40164545044129024,0.414,0.3989965498709791,0.256,0.572,0.428,0.0,0.016,0.4859297275543213,0.47234669828414916,143,107,186,64,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.99365234375,0.301416,0.3934609994523743,0.398,0.39007339382616485,0.284,0.512,0.488,0.0,0.016,0.4883549213409424,0.48004005312919623,128,122,179,71,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.99365234375,0.322512,0.40284287024301246,0.41,0.39157945972256025,0.236,0.584,0.416,0.0,0.016,0.48507386445999146,0.47634667813777914,146,104,191,59,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.99365234375,0.29793600000000003,0.3870868523289766,0.378,0.37419258770358865,0.3,0.456,0.544,0.0,0.0,0.49021902680397034,0.47971484827995303,114,136,175,75,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.99365234375,0.313832,0.39120589720161464,0.392,0.3798449612403101,0.252,0.532,0.468,0.0,0.004,0.48770588636398315,0.48038376712799075,133,117,187,63,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.99365234375,0.29070399999999996,0.3860072279631487,0.368,0.3669871794871795,0.328,0.408,0.592,0.0,0.0,0.4914912283420563,0.48752443337440493,102,148,168,82,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.99365234375,0.310312,0.38755359976760695,0.396,0.37083333333333335,0.196,0.596,0.404,0.0,0.004,0.48471859097480774,0.47417870020866404,149,101,201,49,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
500,0.99365234375,0.305336,0.3887771949074824,0.38999999999999996,0.36814017758368517,0.204,0.576,0.424,0.0,0.008,0.48359793424606323,0.47532227957248696,144,106,199,51,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
