n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.9921875,0.6855519999999999,0.6358505341543733,0.5640000000000001,0.5221310325476992,0.268,0.86,0.14,0.02,0.1,0.45315444469451904,0.4653652257919312,215,35,183,67,clean,clean,{}
500,0.9921875,0.6888880000000001,0.6340692197336201,0.562,0.5205590412932208,0.268,0.856,0.144,0.012,0.088,0.4544178247451782,0.4666709212064743,214,36,183,67,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.9921875,0.746976,0.6866068514563961,0.6719999999999999,0.6686868686868687,0.572,0.772,0.228,0.02,0.108,0.4655514061450958,0.47664064693450936,193,57,107,143,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.9921875,0.741352,0.6862675950975949,0.5640000000000001,0.4990808823529412,0.204,0.924,0.076,0.008,0.144,0.4580417275428772,0.46968554461002354,231,19,199,51,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.9921875,0.670952,0.600074912020665,0.544,0.490516455424659,0.22,0.868,0.132,0.004,0.032,0.4609949588775635,0.4710488314628601,217,33,195,55,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.9921875,0.763672,0.7093444758158934,0.54,0.454448851021841,0.144,0.936,0.064,0.04,0.132,0.439445823431015,0.45725292527675626,234,16,214,36,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.9921875,0.75156,0.7084716363814529,0.514,0.36371110913270943,0.028,1.0,0.0,0.06,0.108,0.40157175064086914,0.42316502726078037,250,0,243,7,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.9921875,0.582336,0.5626971170387571,0.5,0.3333333333333333,0.0,1.0,0.0,0.012,0.04,0.4023681879043579,0.3990585891008377,250,0,250,0,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.9921875,0.596488,0.5523210328317756,0.5,0.3333333333333333,0.0,1.0,0.0,0.008,0.064,0.4048979580402374,0.40649999976158147,250,0,250,0,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.9921875,0.5673999999999999,0.5417931118563166,0.5,0.3333333333333333,0.0,1.0,0.0,0.004,0.04,0.39496085047721863,0.3871362366080284,250,0,250,0,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
