n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
500,0.9921875,0.7586,0.7087370335768746,0.596,0.5657333516785911,0.332,0.86,0.14,0.044,0.172,0.4529774785041809,0.46804880499839785,215,35,167,83,clean,clean,{}
500,0.9921875,0.753648,0.6981988420884738,0.596,0.5667095667095667,0.336,0.856,0.144,0.016,0.136,0.45426440238952637,0.46903513967990873,214,36,166,84,jpeg__quality=90,jpeg,"{""quality"":90}"
500,0.9921875,0.729744,0.6648645438379029,0.628,0.6201228677864192,0.484,0.772,0.228,0.016,0.092,0.46554693579673767,0.47652245748043065,193,57,129,121,jpeg__quality=70,jpeg,"{""quality"":70}"
500,0.9921875,0.767944,0.7312156840314924,0.5940000000000001,0.5443833464257659,0.264,0.924,0.076,0.016,0.196,0.45801931619644165,0.47031447434425355,231,19,184,66,jpeg__quality=50,jpeg,"{""quality"":50}"
500,0.9921875,0.7525920000000001,0.7006731708197721,0.616,0.5899608754335309,0.364,0.868,0.132,0.016,0.124,0.4608932137489319,0.4730556890964508,217,33,159,91,jpeg__quality=30,jpeg,"{""quality"":30}"
500,0.9921875,0.826024,0.781482789705508,0.6080000000000001,0.5607429718875502,0.28,0.936,0.064,0.076,0.228,0.43929386138916016,0.4597373123168946,234,16,180,70,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
500,0.9921875,0.72432,0.6848845923300378,0.51,0.3551783129359126,0.02,1.0,0.0,0.052,0.096,0.40170958638191223,0.4211943213939667,250,0,245,5,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
500,0.9921875,0.611072,0.6132078900468614,0.5,0.3333333333333333,0.0,1.0,0.0,0.028,0.116,0.40262570977211,0.40041895794868465,250,0,250,0,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
500,0.9921875,0.7003840000000001,0.6715830228053158,0.504,0.3421611068669892,0.008,1.0,0.0,0.044,0.152,0.4032081663608551,0.41550878524780277,250,0,248,2,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
500,0.9921875,0.6979359999999999,0.6701912664283893,0.5,0.3333333333333333,0.0,1.0,0.0,0.028,0.124,0.3918425738811493,0.4002827313542366,250,0,250,0,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
500,0.9921875,0.720824,0.7189220183655236,0.502,0.33776243490656865,0.004,1.0,0.0,0.104,0.2,0.3374929428100586,0.3364907206296921,250,0,249,1,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
500,0.9921875,0.736224,0.7370739884104631,0.5,0.3333333333333333,0.0,1.0,0.0,0.112,0.184,0.34525105357170105,0.3471215908527374,250,0,250,0,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
500,0.9921875,0.7245440000000001,0.7084364272975812,0.5,0.3333333333333333,0.0,1.0,0.0,0.048,0.172,0.37151768803596497,0.37655763125419617,250,0,250,0,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
500,0.9921875,0.8331040000000001,0.7964241480500314,0.62,0.5801735871736402,0.312,0.928,0.072,0.092,0.256,0.44555336236953735,0.46371679854393005,232,18,172,78,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
500,0.9921875,0.714024,0.6880402258882755,0.524,0.3962455606291223,0.064,0.984,0.016,0.024,0.172,0.4039675295352936,0.4180263644456863,246,4,234,16,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
500,0.9921875,0.771776,0.7600864688385179,0.5,0.3333333333333333,0.0,1.0,0.0,0.084,0.272,0.3655306100845337,0.38332470548152925,250,0,250,0,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
500,0.9921875,0.829944,0.8108973620879775,0.576,0.49132371007371006,0.168,0.984,0.016,0.128,0.308,0.4210818409919739,0.4451025314331054,246,4,208,42,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
500,0.9921875,0.769904,0.7450087629181575,0.602,0.547873186380759,0.256,0.948,0.052,0.06,0.208,0.4556325078010559,0.4685986551046371,237,13,186,64,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.9921875,0.7133120000000001,0.6707778502845521,0.528,0.4172148797882218,0.092,0.964,0.036,0.056,0.132,0.44435203075408936,0.4583339849710464,241,9,227,23,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.9921875,0.7167680000000001,0.6741303297844186,0.522,0.40853003628012413,0.084,0.96,0.04,0.032,0.144,0.4530184268951416,0.4633154442310333,240,10,229,21,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
500,0.9921875,0.620488,0.60400845088191,0.542,0.46564992369760916,0.164,0.92,0.08,0.036,0.096,0.46955737471580505,0.47418166875839224,230,20,209,41,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
