n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
4000,0.99658203125,0.9308195,0.9135536480390549,0.85775,0.8576628095747901,0.8825,0.833,0.167,0.0,0.454,0.3999154567718506,0.43952638410776856,1666,334,235,1765,clean,clean,{}
4000,0.99658203125,0.93212575,0.915069036811574,0.858,0.8579147133066622,0.8825,0.8335,0.1665,0.0,0.4575,0.4004790186882019,0.4399609500467777,1667,333,235,1765,jpeg__quality=90,jpeg,"{""quality"":90}"
4000,0.99658203125,0.92901375,0.9090906777221318,0.84825,0.8478103144866966,0.902,0.7945,0.2055,0.0,0.4645,0.41899511218070984,0.4519900993630289,1589,411,196,1804,jpeg__quality=70,jpeg,"{""quality"":70}"
4000,0.99658203125,0.927023625,0.9076665690418445,0.8494999999999999,0.8490265472521827,0.9055,0.7935,0.2065,0.0,0.4605,0.43071186542510986,0.45962166383862496,1587,413,189,1811,jpeg__quality=50,jpeg,"{""quality"":50}"
4000,0.99658203125,0.92440575,0.9028997757838928,0.84575,0.8453900583928171,0.894,0.7975,0.2025,0.0,0.42,0.4261232912540436,0.4566592972874641,1595,405,212,1788,jpeg__quality=30,jpeg,"{""quality"":30}"
4000,0.99658203125,0.9355253750000001,0.9166672367964342,0.8634999999999999,0.8634277532814859,0.8865,0.8405,0.1595,0.0,0.4395,0.40215978026390076,0.44161625245213504,1681,319,227,1773,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
4000,0.99658203125,0.9341701250000001,0.9144391961091106,0.84975,0.848763855266003,0.9305,0.769,0.231,0.0,0.522,0.44876477122306824,0.4711699101477862,1538,462,139,1861,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
4000,0.99658203125,0.9043771250000001,0.8816580351848958,0.8175,0.8161560547995987,0.903,0.732,0.268,0.0,0.4235,0.4591127336025238,0.4767540705054999,1464,536,194,1806,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
4000,0.99658203125,0.9282954999999999,0.9078667294887589,0.8500000000000001,0.8494580489763148,0.91,0.79,0.21,0.0,0.4585,0.4369978606700897,0.46393934127688413,1580,420,180,1820,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
4000,0.99658203125,0.904922125,0.8830626764037062,0.82525,0.8249148761300927,0.869,0.7815,0.2185,0.0,0.329,0.45227882266044617,0.4726869596242905,1563,437,262,1738,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
