n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
2000,0.9970703125,0.8578344999999999,0.8351892883759889,0.7605,0.7579570361106374,0.863,0.658,0.342,0.0,0.426,0.46184805035591125,0.47704673492908484,658,342,137,863,clean,clean,{},0.5882862440049649,0.4117137604802847
2000,0.9970703125,0.8595695000000001,0.8360374268735942,0.7645,0.7620971214509349,0.865,0.664,0.336,0.0,0.422,0.4620857238769531,0.4772228994071484,664,336,135,865,jpeg__quality=90,jpeg,"{""quality"":90}",0.5882931415438653,0.4117068637013435
2000,0.9970703125,0.8718084999999999,0.847167622306146,0.7455,0.7376012059003128,0.919,0.572,0.428,0.0,0.53,0.47338175773620605,0.48418030071258544,572,428,81,919,jpeg__quality=70,jpeg,"{""quality"":70}",0.5878667274415493,0.41213327732682226
2000,0.9970703125,0.869958,0.8455015503805516,0.7515000000000001,0.7445885009837454,0.916,0.587,0.413,0.0,0.492,0.4741879105567932,0.4849097860455513,587,413,84,916,jpeg__quality=50,jpeg,"{""quality"":50}",0.5874081673026085,0.41259183798730376
2000,0.9970703125,0.866709,0.8436640844039378,0.7645,0.7599617773530817,0.902,0.627,0.373,0.0,0.426,0.4707716107368469,0.4828731555938721,627,373,98,902,jpeg__quality=30,jpeg,"{""quality"":30}",0.586500649780035,0.41349935488402845
2000,0.9970703125,0.8643515,0.8399992325211483,0.772,0.7703011472853223,0.858,0.686,0.314,0.0,0.407,0.45998117327690125,0.4762483907043934,686,314,142,858,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5877755684256554,0.4122244367301464
2000,0.9970703125,0.8747274999999999,0.8487286882585815,0.762,0.7563712002096437,0.914,0.61,0.39,0.0,0.457,0.4786072373390198,0.48783763334155084,610,390,86,914,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.5749350117743015,0.42506498844921586
2000,0.9970703125,0.8670644999999999,0.8380148226992903,0.7424999999999999,0.7340254524730597,0.921,0.564,0.436,0.0,0.395,0.48530063033103943,0.49167453819513324,564,436,79,921,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.5415685841441155,0.4584314170628786
2000,0.9970703125,0.8654195,0.8435391350174001,0.761,0.7573889775417311,0.883,0.639,0.361,0.0,0.415,0.47270312905311584,0.48421750932931895,639,361,117,883,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.5784134831130504,0.4215865189433098
2000,0.9970703125,0.857031,0.8306669950687978,0.762,0.758581269355341,0.881,0.643,0.357,0.0,0.276,0.4810170531272888,0.4890810531377793,643,357,119,881,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.5375371253192425,0.46246287432312966
2000,0.9970703125,0.8697644999999999,0.858919004497958,0.7855,0.7851118582940436,0.828,0.743,0.257,0.0,0.327,0.4563220143318176,0.47360499984025956,743,257,172,828,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",0.5894671037197113,0.41053290252387525
2000,0.9970703125,0.853443,0.8382524056934446,0.7575000000000001,0.7559963887465535,0.836,0.679,0.321,0.0,0.336,0.46660467982292175,0.4799018575847149,679,321,164,836,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",0.588494404643774,0.41150560092926025
2000,0.9970703125,0.830329,0.7948702091014753,0.7424999999999999,0.7374639682040828,0.881,0.604,0.396,0.0,0.357,0.47845759987831116,0.48735326063632967,604,396,119,881,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",0.5865654547512531,0.4134345477968454
2000,0.9970703125,0.8192220000000001,0.7997703636748653,0.74,0.7388624849845928,0.806,0.674,0.326,0.0,0.333,0.4603652358055115,0.4751947239637375,674,326,194,806,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",0.5860982036292552,0.4139018015414476
