n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
4000,0.9970703125,0.93053275,0.9125125056414035,0.8534999999999999,0.853438407490748,0.874,0.833,0.167,0.0,0.453,0.39706841111183167,0.43739198555052283,1666,334,252,1748,clean,clean,{},0.5883101511448622,0.4116898541301489
4000,0.9970703125,0.9317212499999998,0.913651307640887,0.85425,0.8541841550325069,0.8755,0.833,0.167,0.0,0.458,0.3977130651473999,0.43788169189542525,1666,334,249,1751,jpeg__quality=90,jpeg,"{""quality"":90}",0.5883169623315334,0.4116830425336957
4000,0.9970703125,0.928131875,0.9063413623508739,0.85175,0.8514458260441896,0.897,0.8065,0.1935,0.0,0.4595,0.41560399532318115,0.44970566879957913,1613,387,206,1794,jpeg__quality=70,jpeg,"{""quality"":70}",0.5879079115316271,0.41209209386259316
4000,0.9970703125,0.926717125,0.9060813806915474,0.84875,0.8483822416510146,0.898,0.7995,0.2005,0.0,0.448,0.4282902479171753,0.4579366434663534,1599,401,204,1796,jpeg__quality=50,jpeg,"{""quality"":50}",0.5873350452706217,0.4126649585813284
4000,0.9970703125,0.923369625,0.8999662441208061,0.8472500000000001,0.8469570662596375,0.891,0.8035,0.1965,0.0,0.411,0.4248961806297302,0.4557396706044674,1607,393,218,1782,jpeg__quality=30,jpeg,"{""quality"":30}",0.586142201922834,0.4138578019589186
4000,0.9970703125,0.9345157500000001,0.9134413017077015,0.8634999999999999,0.8634426117575911,0.884,0.843,0.157,0.0,0.432,0.39958423376083374,0.4397119926512241,1686,314,232,1768,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5868553595542908,0.41314464569836856
4000,0.9970703125,0.935129125,0.9140355515632911,0.85575,0.8549611244911778,0.9295,0.782,0.218,0.0,0.4885,0.45127832889556885,0.47269741224497563,1564,436,141,1859,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.5708173761814833,0.42918262427300213
4000,0.9970703125,0.90275225,0.8799044620100095,0.826,0.8254816368317996,0.8805,0.7715,0.2285,0.0,0.2915,0.46620333194732666,0.48101796548068515,1543,457,239,1761,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.539275403290987,0.4607245973497629
4000,0.9970703125,0.9290775,0.9074073460449361,0.85275,0.8524274710146194,0.8995,0.806,0.194,0.0,0.427,0.43799927830696106,0.4645789714083076,1612,388,201,1799,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.5749479939043521,0.4250520061776042
4000,0.9970703125,0.903506625,0.882468865285047,0.8255,0.8254956373909348,0.8305,0.8205,0.1795,0.197,0.5265,0.4611625373363495,0.4780184150785208,1641,359,339,1661,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.5357800962999463,0.4642199042439461
4000,0.9970703125,0.9215633750000001,0.9038021664399964,0.8465,0.8464556256758203,0.8295,0.8635,0.1365,0.0,0.6015,0.39378857612609863,0.43464918303489686,1727,273,341,1659,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",0.5901507606953382,0.40984924536198375
4000,0.9970703125,0.9151385,0.8916916301087385,0.8405,0.8404942577932806,0.8465,0.8345,0.1655,0.0,0.3505,0.4142986536026001,0.44848388961702584,1669,331,307,1693,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",0.5890852900147439,0.41091471575945615
4000,0.9970703125,0.89247125,0.8573295974267714,0.81975,0.8193719341689616,0.8655,0.774,0.226,0.0,0.3795,0.44603270292282104,0.4686101486310362,1548,452,269,1731,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",0.5869458662569523,0.4130541353672743
4000,0.9970703125,0.925437625,0.9031115969268596,0.85125,0.8511474312768642,0.8775,0.825,0.175,0.0,0.4,0.4051635265350342,0.4428436938300729,1650,350,245,1755,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",0.5847710040807724,0.41522899923473594
4000,0.9970703125,0.920004125,0.9064361134765946,0.8422499999999999,0.8422497535152399,0.841,0.8435,0.1565,0.0,0.624,0.4156719446182251,0.449037377409637,1687,313,318,1682,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",0.5876143530160188,0.41238565246760844
4000,0.9970703125,0.920915375,0.8977476240669678,0.84375,0.8435770646685576,0.877,0.8105,0.1895,0.0,0.3955,0.4152103364467621,0.4498528932631015,1621,379,246,1754,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",0.586452671289444,0.4135473335236311
4000,0.9970703125,0.9302112500000002,0.9115776066562958,0.857,0.8569536529835666,0.875,0.839,0.161,0.0,0.3975,0.4238274395465851,0.4556333107128739,1678,322,250,1750,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}",0.5755625201314688,0.4244374810531735
4000,0.9970703125,0.916039875,0.8890766556156999,0.83575,0.8348270860198286,0.9105,0.761,0.239,0.0,0.466,0.4429476261138916,0.4673491330891848,1522,478,179,1821,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.5852950867861509,0.4147049168050289
4000,0.9970703125,0.9131898749999999,0.8935391178261548,0.83325,0.8331974467705732,0.851,0.8155,0.1845,0.0,0.33,0.44510114192962646,0.46857407342642543,1631,369,298,1702,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.563060273103416,0.43693972639739515
4000,0.9970703125,0.8887897499999999,0.8662879126809468,0.8049999999999999,0.8049055742979603,0.783,0.827,0.173,0.2315,0.2315,0.44462910294532776,0.46751108209788794,1654,346,434,1566,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.5855809209942817,0.4144190825521946
