atlas_index,tile_id,section,section_group,split,split_index,generator_id,architecture,generator_exposure,sample_id,relative_path,sha256,width,height,format,byte_size,candidate_images_for_generator,generator_selection_rule,selection_rule
1,TR001,Training set,Train exact generators,train,1,ashutosh94/my-pet-character,LatDiff,train_seen,cf_train_aigi_02811bfcf1e5e5f7,train/aigi/cf_train_aigi_02811bfcf1e5e5f7_00000292.png.png,2879d0c39cd7beaab7a8a546eea1c79951cae318fbed3ddbe724b7be73c82bb4,512,512,PNG,590885,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
2,TR002,Training set,Train exact generators,train,2,aviiax/ds8,LatDiff,train_seen,cf_train_aigi_80c1678cd2c0ee94,train/aigi/cf_train_aigi_80c1678cd2c0ee94_00000217.png.png,38c4b52624adc6493e0aaa15668cc8dcfc318a103bf3473dfc2a3127e9888520,512,512,PNG,332673,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
3,TR003,Training set,Train exact generators,train,3,badmonk/lxrab,LatDiff,train_seen,cf_train_aigi_99bfe3b433eda165,train/aigi/cf_train_aigi_99bfe3b433eda165_00000225.png.png,2aaf713bc51ba159c4f2f6a31076068404de3640fffa7804e0df6b2eba4d3ae8,512,512,PNG,457048,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
4,TR004,Training set,Train exact generators,train,4,badmonk/mgitsgi,LatDiff,train_seen,cf_train_aigi_4f0acb2898d25dcf,train/aigi/cf_train_aigi_4f0acb2898d25dcf_00000381.png.png,046a1aa4919c4be5c8b35f793cfb40d27ef6c75ed54a5c1ddecf75a2622d5fd4,512,512,PNG,490145,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
5,TR005,Training set,Train exact generators,train,5,birdhouse5/textual-inversion-naive-artstyle-ac,LatDiff,train_seen,cf_train_aigi_0d2d45e9c57c8e81,train/aigi/cf_train_aigi_0d2d45e9c57c8e81_00000303.png.png,0b4cadfe28102f73fbff717b7d3565a0fe3a961e6b30f74d90302583fbe5f5a7,512,512,PNG,490107,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
6,TR006,Training set,Train exact generators,train,6,briannlongzhao/22,LatDiff,train_seen,cf_train_aigi_09e1b70a086a9041,train/aigi/cf_train_aigi_09e1b70a086a9041_00000271.png.png,1bc028bf1381938fcdd0ada94458b7be1850c1ccfc563937286a53a1feab3aed,512,512,PNG,433942,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
7,TR007,Training set,Train exact generators,train,7,briannlongzhao/27,LatDiff,train_seen,cf_train_aigi_c19af499f8dfc616,train/aigi/cf_train_aigi_c19af499f8dfc616_00000000.png.png,018572711130eb8a47ba601b072b0fb5a8cb06e62c9b3d745f097b155165c296,512,512,PNG,442455,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
8,TR008,Training set,Train exact generators,train,8,briannlongzhao/49,LatDiff,train_seen,cf_train_aigi_4abc37e8f0ed3213,train/aigi/cf_train_aigi_4abc37e8f0ed3213_00000265.png.png,1fca64a2b9878c862ef73fc8477bd8de8e217b11ac2f26b160c882c881eab8c0,512,512,PNG,296051,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
9,TR009,Training set,Train exact generators,train,9,briannlongzhao/50,LatDiff,train_seen,cf_train_aigi_4e28e7a466fb29e0,train/aigi/cf_train_aigi_4e28e7a466fb29e0_00000161.png.png,26755cd4f0caeaf5a03dc15d1f313f2bb52eb51d5caf1f0c7c39653ecdf019f9,512,512,PNG,380051,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
10,TR010,Training set,Train exact generators,train,10,briannlongzhao/58,LatDiff,train_seen,cf_train_aigi_4253ccee831c1253,train/aigi/cf_train_aigi_4253ccee831c1253_00000393.png.png,10b8fa1aa662a3bdee806c268351dd08a2ba59c683b7d5bc1bf69b8d3e416671,512,512,PNG,468149,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
