model,split,split_title,condition_index,condition_group,condition_label,aigc_recall,auroc,average_precision,balanced_accuracy,brier,ece_15,false_positive_rate,fn,fp,macro_f1,mean_forensic_gate_fraction,mean_semantic_gate_fraction,n,real_specificity,threshold,tn,tp,tpr_at_fpr_1pct,tpr_at_fpr_5pct,transform,transform_name,transform_params
b0,exact_seen_generator,Exact-seen generator,0,clean,Clean,0.575,0.6446675000000001,0.626787188440977,0.6134999999999999,0.49501731991767883,0.4959596930742263,0.348,425,348,0.6129262599488092,,,2000,0.652,0.998046875,652,575,0.038,0.038,clean,clean,{}
b0,exact_seen_generator,Exact-seen generator,1,legacy_single_stage,JPEG Q90,0.573,0.6460124999999999,0.6286279816961979,0.6134999999999999,0.4949662387371063,0.4960712719261647,0.346,427,346,0.612865001819234,,,2000,0.654,0.998046875,654,573,0.04,0.04,jpeg__quality=90,jpeg,"{""quality"":90}"
b0,exact_seen_generator,Exact-seen generator,2,legacy_single_stage,JPEG Q70,0.559,0.6500755,0.6325969514401741,0.6100000000000001,0.4945657551288605,0.4956681860387326,0.339,441,339,0.6089829646911618,,,2000,0.661,0.998046875,661,559,0.033,0.033,jpeg__quality=70,jpeg,"{""quality"":70}"
b0,exact_seen_generator,Exact-seen generator,3,legacy_single_stage,JPEG Q50,0.579,0.647454,0.6296098921924279,0.626,0.4945966601371765,0.4956108613312245,0.327,421,327,0.6251720049589543,,,2000,0.673,0.998046875,673,579,0.0,0.038,jpeg__quality=50,jpeg,"{""quality"":50}"
b0,exact_seen_generator,Exact-seen generator,4,legacy_single_stage,JPEG Q30,0.556,0.6486715000000001,0.6339112233557243,0.6075,0.494545042514801,0.49536865693330767,0.341,444,341,0.6064562235188278,,,2000,0.659,0.998046875,659,556,0.043,0.043,jpeg__quality=30,jpeg,"{""quality"":30}"
b0,exact_seen_generator,Exact-seen generator,5,legacy_single_stage,Gaussian blur sigma=0.5,0.544,0.648323,0.6309319886500863,0.6065,0.49453431367874146,0.49568826174736025,0.331,456,331,0.6049568627450981,,,2000,0.669,0.998046875,669,544,0.024,0.024,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
b0,exact_seen_generator,Exact-seen generator,6,legacy_single_stage,Gaussian blur sigma=1.0,0.559,0.631978,0.615172048695863,0.6005,0.4946901202201843,0.49532032459974296,0.358,441,358,0.5998107741057035,,,2000,0.642,0.998046875,642,559,0.031,0.031,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
b0,exact_seen_generator,Exact-seen generator,7,legacy_single_stage,Gaussian blur sigma=2.0,0.613,0.6016830000000001,0.5798793771210872,0.589,0.4957923889160156,0.4962763786315918,0.435,387,435,0.5887631275614754,,,2000,0.565,0.998046875,565,613,0.0,0.038,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
b0,exact_seen_generator,Exact-seen generator,8,legacy_single_stage,Resize 0.5 bicubic,0.586,0.6411074999999999,0.6199271732361874,0.614,0.49488958716392517,0.4958547531664371,0.358,414,358,0.6136971385566283,,,2000,0.642,0.998046875,642,586,0.034,0.034,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
b0,exact_seen_generator,Exact-seen generator,9,legacy_single_stage,Resize 0.25 bilinear,0.599,0.5995055,0.5788091989011724,0.5760000000000001,0.4958720803260803,0.49637866020202637,0.447,401,447,0.5757755852846156,,,2000,0.553,0.998046875,553,599,0.0,0.036,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
b0,exact_seen_generator,Exact-seen generator,10,legacy_single_stage,Gaussian noise sigma=0.02,0.596,0.6466985000000001,0.6265705621124503,0.619,0.49504441022872925,0.49604932805895807,0.358,404,358,0.6187983443241475,,,2000,0.642,0.998046875,642,596,0.037,0.037,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
b0,exact_seen_generator,Exact-seen generator,11,legacy_single_stage,Gaussian noise sigma=0.05,0.649,0.6547229999999999,0.6325968402592206,0.62,0.49558115005493164,0.49644630050659183,0.409,351,409,0.6196801510069969,,,2000,0.591,0.998046875,591,649,0.0,0.046,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
b0,exact_seen_generator,Exact-seen generator,12,legacy_single_stage,Gaussian noise sigma=0.10,0.637,0.4895960000000001,0.49244497907906537,0.491,0.49742594361305237,0.4974663257598877,0.655,363,655,0.47991384348778565,,,2000,0.345,0.998046875,345,637,0.0,0.0,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
b0,exact_seen_generator,Exact-seen generator,13,legacy_single_stage,Color jitter 0.8/0.8/0.8,0.501,0.6528165,0.6373987053133088,0.61,0.4934855103492737,0.4945803440213204,0.281,499,281,0.6053106963837351,,,2000,0.719,0.998046875,719,501,0.028,0.028,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
b0,exact_seen_generator,Exact-seen generator,14,legacy_single_stage,Color jitter 1.2/1.2/1.2,0.628,0.6332955,0.6193837267240943,0.5940000000000001,0.4958009421825409,0.49642576918005943,0.44,372,440,0.5935301208196675,,,2000,0.56,0.998046875,560,628,0.05,0.05,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
b0,exact_seen_generator,Exact-seen generator,15,legacy_single_stage,Center crop ratio=0.8,0.565,0.6298539999999999,0.622664309533046,0.6025,0.4942193329334259,0.4948486304283143,0.36,435,360,0.6019402284462525,,,2000,0.64,0.998046875,640,565,0.051,0.051,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
b0,exact_seen_generator,Exact-seen generator,16,legacy_two_stage,2-stage resize 0.5 + JPEG Q70,0.548,0.6414175000000001,0.6221658761262074,0.6120000000000001,0.4944205582141876,0.49548779904842377,0.324,452,324,0.6104042156673736,,,2000,0.676,0.998046875,676,548,0.027,0.027,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
b0,exact_seen_generator,Exact-seen generator,17,legacy_two_stage,2-stage crop 0.8 + JPEG Q50,0.537,0.6291945000000001,0.6152325085493353,0.6040000000000001,0.49409687519073486,0.49459228307008746,0.329,463,329,0.6022143401730368,,,2000,0.671,0.998046875,671,537,0.04,0.04,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
b0,exact_seen_generator,Exact-seen generator,18,new_four_stage_a,4-stage A platform repost,0.535,0.6122970000000001,0.5914283686414182,0.5920000000000001,0.4946717321872711,0.49499119934439656,0.351,465,351,0.5906700871130302,,,2000,0.649,0.998046875,649,535,0.0,0.035,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
