split,split_order,generator,generator_order,architecture,exposure,aigi_images,share_percent,exact_identity_seen_in_train,architecture_seen_in_train
Train,0,004t/diffusion-4.0,0,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,004t/v3-5,1,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,00nakul/sd-lanakul,2,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,21lco17/my-pet-dog,3,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,22h/vintedois-diffusion-v0-2,4,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,3ee/ornamental-santa,5,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,72ri/ambrodiffusion,6,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,aadithkumar/my-pet-dog-eaak,7,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,abbasali786/my-pet-dog-xzh,8,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,abbiepam/all-babes-in-1,9,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,abhilashvj/openjourney-copy,10,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,abhinandpv/dog,11,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,abhis91/sd-finetune-dreambooth-door-window,12,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,abhis91/sd-finetune-dreambooth-marble,13,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,abhis91/sd-finetune-dreambooth-stone001,14,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,abinjacob/my-pet-cat-esp,15,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,acheong08/sd-v1-5-cloned,16,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,acmyu/ghibli-howl,17,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,acondess/lineart,18,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,adithyanrs/my-pet-dog,19,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,aditya-t/pixar-mode,20,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,aditya190803/xzp,21,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,aditya1911/random-image-qwe,22,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,adrenex/fastgen,23,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,aff1/pichanabooth,24,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,agangal/text-inversion-model-baseball,25,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,ahammedaman/my-cat,26,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,ahmed-naseer/desgngen-21k-to-23k,27,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,aiartchan/expmixline-v2,28,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,aiartchan/roughnesspainter-v1.0,29,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,aipicasso/cool-japan-diffusion-for-learning-2-0,30,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,airbusai/my-pet-dog,31,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,akmalinn/soto-ayam-bu-karti,32,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,akshay000/my-pet-dogxzg,33,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,alea31415/onimai-characters,34,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,alekseycalvin/make-putin-queer-please,35,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,alenmandumpal/my-pet-cat-xzg,36,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,alibaba-pai/pai-diffusion-artist-large-zh,37,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,allenbv/kevin-xd,38,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,alx-ai/noggles-v21-6400-best,39,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,amayprro552/zoyya,40,LatDiff,train_seen,10,0.1111,yes,yes
Train,0,ameenmuzawar/my-pet-dog,41,LatDiff,train_seen,10,0.1111,yes,yes
