n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params
2000,0.79833984375,0.9752835,0.9745970397468537,0.9305,0.9304810734722528,0.947,0.914,0.086,0.627,0.894,0.11577133022993803,0.18957172171398995,914,86,53,947,clean,clean,{}
2000,0.79833984375,0.975535,0.9749930759164728,0.9305,0.9304853845521021,0.945,0.916,0.084,0.615,0.889,0.1152237820662558,0.19089435332268476,916,84,55,945,jpeg__quality=90,jpeg,"{""quality"":90}"
2000,0.79833984375,0.9741765,0.973503144983225,0.9185,0.9184587197268617,0.941,0.896,0.104,0.567,0.875,0.12286216286197305,0.187370852984488,896,104,59,941,jpeg__quality=70,jpeg,"{""quality"":70}"
2000,0.79833984375,0.9708825,0.9689342245427601,0.9065,0.9063463846574343,0.947,0.866,0.134,0.546,0.865,0.13313912309519946,0.18211844816803932,866,134,53,947,jpeg__quality=50,jpeg,"{""quality"":50}"
2000,0.79833984375,0.9638690000000001,0.9613340520671663,0.8879999999999999,0.8874325474718054,0.959,0.817,0.183,0.489,0.796,0.15331502054445445,0.16085884242132306,817,183,41,959,jpeg__quality=30,jpeg,"{""quality"":30}"
2000,0.79833984375,0.9753149999999999,0.9741116308107629,0.9245,0.924461758765375,0.947,0.902,0.098,0.587,0.889,0.12186617461964488,0.19347496368736028,902,98,53,947,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
2000,0.79833984375,0.9678840000000001,0.9651273790028492,0.8915,0.8910325021925316,0.957,0.826,0.174,0.528,0.827,0.14800583830662073,0.16374491351842885,826,174,43,957,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
2000,0.79833984375,0.9415595,0.9351352103532902,0.8220000000000001,0.8178467231341825,0.973,0.671,0.329,0.412,0.643,0.19350892466306685,0.17918724950402976,671,329,27,973,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
2000,0.79833984375,0.9659784999999999,0.9626107524332598,0.8885,0.8879743476326795,0.957,0.82,0.18,0.476,0.815,0.14931144035235047,0.16151680059731005,820,180,43,957,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
2000,0.79833984375,0.9278015,0.9190242481368575,0.7935,0.7858922706332068,0.982,0.605,0.395,0.291,0.611,0.21446199251711368,0.19949768454581499,605,395,18,982,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
2000,0.79833984375,0.972513,0.9741402445956518,0.925,0.9249891984445759,0.913,0.937,0.063,0.626,0.893,0.10532908782549202,0.18386660180985925,937,63,87,913,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
2000,0.79833984375,0.9681425,0.9678340683106159,0.9085000000000001,0.9084999771249943,0.909,0.908,0.092,0.62,0.834,0.11708783497475088,0.17754715380817648,908,92,91,909,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
2000,0.79833984375,0.9566280000000001,0.9540071223991052,0.8785000000000001,0.8778756698934127,0.95,0.807,0.193,0.487,0.757,0.16530241450667382,0.1691776099950075,807,193,50,950,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
2000,0.79833984375,0.973705,0.9736632365852499,0.9135,0.9134735012597608,0.931,0.896,0.104,0.61,0.87,0.12057798351347447,0.18200157374516132,896,104,69,931,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
2000,0.79833984375,0.9645740000000002,0.9631240133237166,0.9055,0.9054176897445001,0.935,0.876,0.124,0.508,0.842,0.12806584613770247,0.16829069669544697,876,124,65,935,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
2000,0.79833984375,0.9658800000000001,0.9654665856550779,0.8935,0.8930688267767706,0.957,0.83,0.17,0.655,0.824,0.15089851337298751,0.16489306484907865,830,170,43,957,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
2000,0.79833984375,0.9672805,0.9653175903472166,0.8919999999999999,0.8915274937628309,0.958,0.826,0.174,0.53,0.817,0.14896823148056865,0.164036139883101,826,174,42,958,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
2000,0.79833984375,0.9603395,0.9589890851727634,0.885,0.8844337252537433,0.955,0.815,0.185,0.51,0.785,0.1586251098997891,0.16179596241936087,815,185,45,955,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
