model,generator,generator_order,condition,condition_order,n_real,n_aigi,threshold,auroc,average_precision,accuracy,balanced_accuracy,aigi_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tn,fp,fn,tp,mean_real_score,mean_aigi_score
M3,dalle2,0,Clean,0,1000,83,0.99707031,0.86820482,0.29855442,0.79870729,0.81918675,0.84337349,0.795,0.205,0.0,0.19277108,795,205,13,70,0.88718896,0.99361705
M3,dalle2,0,4-stage A platform repost,1,1000,83,0.99707031,0.85581325,0.26319776,0.77562327,0.80116265,0.8313253,0.771,0.229,0.0,0.13253012,771,229,14,69,0.94692676,0.99685264
M3,dalle2,0,4-stage B edit repost,2,1000,83,0.99707031,0.8531988,0.25688229,0.8033241,0.77749398,0.74698795,0.808,0.192,0.0,0.03614458,808,192,21,62,0.9322793,0.99540545
M3,dalle3,1,Clean,0,1000,84,0.99707031,0.97522619,0.69773346,0.8099631,0.89154762,0.98809524,0.795,0.205,0.0,0.83333333,795,205,1,83,0.88718896,0.99983724
M3,dalle3,1,4-stage A platform repost,1,1000,84,0.99707031,0.96199405,0.67251534,0.78690037,0.87359524,0.97619048,0.771,0.229,0.0,0.75,771,229,2,82,0.94692676,0.99963379
M3,dalle3,1,4-stage B edit repost,2,1000,84,0.99707031,0.93110119,0.54577923,0.81457565,0.85042857,0.89285714,0.808,0.192,0.0,0.41666667,808,192,9,75,0.9322793,0.99780855
M3,firefly-image2,2,Clean,0,1000,83,0.99707031,0.91395181,0.5044112,0.80055402,0.83123494,0.86746988,0.795,0.205,0.0,0.54216867,795,205,11,72,0.88718896,0.99615258
M3,firefly-image2,2,4-stage A platform repost,1,1000,83,0.99707031,0.90343373,0.47595251,0.77746999,0.81321084,0.85542169,0.771,0.229,0.0,0.45783133,771,229,12,71,0.94692676,0.99649379
M3,firefly-image2,2,4-stage B edit repost,2,1000,83,0.99707031,0.88293976,0.42557135,0.80701754,0.80159036,0.79518072,0.808,0.192,0.0,0.31325301,808,192,17,66,0.9322793,0.99530544
M3,firefly-image3,3,Clean,0,1000,84,0.99707031,0.95829762,0.63228471,0.80811808,0.87964286,0.96428571,0.795,0.205,0.0,0.71428571,795,205,3,81,0.88718896,0.99869792
M3,firefly-image3,3,4-stage A platform repost,1,1000,84,0.99707031,0.94458929,0.56201322,0.78597786,0.86764286,0.96428571,0.771,0.229,0.0,0.54761905,771,229,3,81,0.94692676,0.99912807
M3,firefly-image3,3,4-stage B edit repost,2,1000,84,0.99707031,0.91422024,0.47989713,0.81180812,0.83257143,0.85714286,0.808,0.192,0.0,0.35714286,808,192,12,72,0.9322793,0.99748303
M3,flux-dev,4,Clean,0,1000,83,0.99707031,0.91763855,0.44475042,0.80147738,0.83725904,0.87951807,0.795,0.205,0.0,0.40963855,795,205,10,73,0.88718896,0.99833514
M3,flux-dev,4,4-stage A platform repost,1,1000,83,0.99707031,0.89238554,0.3583181,0.77839335,0.81923494,0.86746988,0.771,0.229,0.0,0.27710843,771,229,11,72,0.94692676,0.99840573
M3,flux-dev,4,4-stage B edit repost,2,1000,83,0.99707031,0.86807229,0.31445425,0.8079409,0.80761446,0.80722892,0.808,0.192,0.0,0.1686747,808,192,16,67,0.9322793,0.99598786
M3,flux-schnell,5,Clean,0,1000,83,0.99707031,0.93933133,0.51795825,0.80609418,0.86737952,0.93975904,0.795,0.205,0.0,0.51807229,795,205,5,78,0.88718896,0.99875871
M3,flux-schnell,5,4-stage A platform repost,1,1000,83,0.99707031,0.91350602,0.40401844,0.7820868,0.84333133,0.91566265,0.771,0.229,0.0,0.30120482,771,229,7,76,0.94692676,0.99881165
M3,flux-schnell,5,4-stage B edit repost,2,1000,83,0.99707031,0.86898795,0.31905936,0.80147738,0.76544578,0.72289157,0.808,0.192,0.0,0.13253012,808,192,23,60,0.9322793,0.99558782
M3,ideogramv1,6,Clean,0,1000,84,0.99707031,0.94904167,0.56716891,0.80811808,0.87964286,0.96428571,0.795,0.205,0.0,0.60714286,795,205,3,81,0.88718896,0.99937221
M3,ideogramv1,6,4-stage A platform repost,1,1000,84,0.99707031,0.93890476,0.51396764,0.78597786,0.86764286,0.96428571,0.771,0.229,0.0,0.46428571,771,229,3,81,0.94692676,0.9992327
M3,ideogramv1,6,4-stage B edit repost,2,1000,84,0.99707031,0.8945119,0.38949222,0.80811808,0.8087619,0.80952381,0.808,0.192,0.0,0.25,808,192,16,68,0.9322793,0.99775623
M3,ideogramv2,7,Clean,0,1000,83,0.99707031,0.9166988,0.39887847,0.80240074,0.84328313,0.89156627,0.795,0.205,0.0,0.30120482,795,205,9,74,0.88718896,0.99839985
M3,ideogramv2,7,4-stage A platform repost,1,1000,83,0.99707031,0.90521084,0.34777315,0.7820868,0.84333133,0.91566265,0.771,0.229,0.0,0.19277108,771,229,7,76,0.94692676,0.99872929
M3,ideogramv2,7,4-stage B edit repost,2,1000,83,0.99707031,0.84691566,0.23587432,0.79778393,0.7413494,0.6746988,0.808,0.192,0.0,0.02409639,808,192,27,56,0.9322793,0.9960761
M3,imagen3,8,Clean,0,1000,83,0.99707031,0.93351807,0.46890899,0.80609418,0.86737952,0.93975904,0.795,0.205,0.0,0.42168675,795,205,5,78,0.88718896,0.99901755
M3,imagen3,8,4-stage A platform repost,1,1000,83,0.99707031,0.91207229,0.38583375,0.7820868,0.84333133,0.91566265,0.771,0.229,0.0,0.25301205,771,229,7,76,0.94692676,0.99874694
