model,model_order,condition_index,condition_group,condition,transform,n,threshold,accuracy,precision,recall,specificity,npv,f1,macro_f1,balanced_accuracy,mcc,predicted_positive_rate,false_positive_rate,false_negative_rate,auroc,average_precision,brier,ece_15,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tn,fp,fn,tp
B0,0,0,clean,Clean,clean,2000,0.99462891,0.7445,0.76375405,0.708,0.781,0.7278658,0.73482097,0.74415916,0.7445,0.49030817,0.4635,0.219,0.292,0.8198965,0.79659154,0.45930832,0.47469019,0.055,0.188,781,219,292,708
B0,0,1,single_stage,JPEG Q90,jpeg__quality=90,2000,0.99462891,0.7435,0.76381365,0.705,0.782,0.72609099,0.73322933,0.74311924,0.7435,0.48845016,0.4615,0.218,0.295,0.8190865,0.79449968,0.45951689,0.4747915,0.056,0.185,782,218,295,705
B0,0,2,single_stage,JPEG Q70,jpeg__quality=70,2000,0.99462891,0.726,0.7545045,0.67,0.782,0.70323741,0.70974576,0.72513803,0.726,0.4548619,0.444,0.218,0.33,0.80102,0.77375741,0.46455056,0.47742041,0.049,0.271,782,218,330,670
B0,0,3,single_stage,JPEG Q50,jpeg__quality=50,2000,0.99462891,0.719,0.75057208,0.656,0.782,0.69449378,0.70010672,0.71788027,0.719,0.4415188,0.437,0.218,0.344,0.790012,0.76160477,0.46642309,0.47840869,0.045,0.247,782,218,344,656
B0,0,4,single_stage,JPEG Q30,jpeg__quality=30,2000,0.99462891,0.685,0.72560976,0.595,0.775,0.65677966,0.65384615,0.68242766,0.685,0.3761437,0.41,0.225,0.405,0.768942,0.73700133,0.46820561,0.47888062,0.037,0.197,775,225,405,595
B0,0,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,2000,0.99462891,0.7225,0.75370582,0.661,0.784,0.69813001,0.7043154,0.72144644,0.7225,0.44840489,0.4385,0.216,0.339,0.8040305,0.77530044,0.46062054,0.47508472,0.043,0.25,784,216,339,661
B0,0,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,2000,0.99462891,0.6705,0.69135802,0.616,0.725,0.65374211,0.65150714,0.66951839,0.6705,0.34304394,0.4455,0.275,0.384,0.7432425,0.71177618,0.47203545,0.48133105,0.035,0.201,725,275,384,616
B0,0,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,2000,0.99462891,0.614,0.63194444,0.546,0.682,0.60035211,0.58583691,0.61220684,0.614,0.23013825,0.432,0.318,0.454,0.6669025,0.6402783,0.48186382,0.4863186,0.014,0.087,682,318,454,546
B0,0,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,2000,0.99462891,0.6825,0.7043673,0.629,0.736,0.66485998,0.66455362,0.68158863,0.6825,0.36710756,0.4465,0.264,0.371,0.7555405,0.72212129,0.47115477,0.48091138,0.029,0.122,736,264,371,629
B0,0,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,2000,0.99462891,0.6145,0.64294632,0.515,0.714,0.59549625,0.5719045,0.61064529,0.6145,0.23367359,0.4005,0.286,0.485,0.6654725,0.63690644,0.48198547,0.48614429,0.007,0.12,714,286,485,515
B0,0,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,2000,0.99462891,0.7245,0.74062165,0.691,0.758,0.710403,0.71495085,0.72419047,0.7245,0.45001119,0.4665,0.242,0.309,0.7991665,0.76380939,0.46161599,0.47595947,0.05,0.167,758,242,309,691
