model,model_order,generator,n,tp,fn,recall,mean_score
B0,0,dalle2,83,60,23,0.72289157,0.9940465
B1,1,dalle2,83,61,22,0.73493976,0.99627024
B2,2,dalle2,83,20,63,0.24096386,0.97564477
M2,3,dalle2,83,61,22,0.73493976,0.99507601
M3,4,dalle2,83,70,13,0.84337349,0.99361705
B0,0,dalle3,84,73,11,0.86904762,0.99739583
B1,1,dalle3,84,70,14,0.83333333,0.99794806
B2,2,dalle3,84,65,19,0.77380952,0.99350121
M2,3,dalle3,84,83,1,0.98809524,0.99970354
M3,4,dalle3,84,83,1,0.98809524,0.99983724
B0,0,firefly-image2,83,57,26,0.68674699,0.99317583
B1,1,firefly-image2,83,52,31,0.62650602,0.99491717
B2,2,firefly-image2,83,58,25,0.69879518,0.99273461
M2,3,firefly-image2,83,67,16,0.80722892,0.99612905
M3,4,firefly-image2,83,72,11,0.86746988,0.99615258
B0,0,firefly-image3,84,73,11,0.86904762,0.99616932
B1,1,firefly-image3,84,71,13,0.8452381,0.99730864
B2,2,firefly-image3,84,54,30,0.64285714,0.99109468
M2,3,firefly-image3,84,79,5,0.94047619,0.99890718
M3,4,firefly-image3,84,81,3,0.96428571,0.99869792
B0,0,flux-dev,83,70,13,0.84337349,0.99212279
B1,1,flux-dev,83,70,13,0.84337349,0.99624082
B2,2,flux-dev,83,53,30,0.63855422,0.98565747
M2,3,flux-dev,83,71,12,0.85542169,0.99812924
M3,4,flux-dev,83,73,10,0.87951807,0.99833514
B0,0,flux-schnell,83,62,21,0.74698795,0.99530544
B1,1,flux-schnell,83,72,11,0.86746988,0.99717032
B2,2,flux-schnell,83,47,36,0.56626506,0.98872247
M2,3,flux-schnell,83,76,7,0.91566265,0.99877047
M3,4,flux-schnell,83,78,5,0.93975904,0.99875871
B0,0,ideogramv1,84,59,25,0.70238095,0.99239095
B1,1,ideogramv1,84,64,20,0.76190476,0.99601237
B2,2,ideogramv1,84,45,39,0.53571429,0.98909505
M2,3,ideogramv1,84,77,7,0.91666667,0.99915713
M3,4,ideogramv1,84,81,3,0.96428571,0.99937221
B0,0,ideogramv2,83,57,26,0.68674699,0.9938053
B1,1,ideogramv2,83,56,27,0.6746988,0.99513484
B2,2,ideogramv2,83,38,45,0.45783133,0.98474562
M2,3,ideogramv2,83,71,12,0.85542169,0.99815277
M3,4,ideogramv2,83,74,9,0.89156627,0.99839985
B0,0,imagen3,83,53,30,0.63855422,0.99212279
B1,1,imagen3,83,67,16,0.80722892,0.99638201
B2,2,imagen3,83,47,36,0.56626506,0.99066383
M2,3,imagen3,83,75,8,0.90361446,0.99883518
M3,4,imagen3,83,78,5,0.93975904,0.99901755
B0,0,midjourneyv5-2,84,50,34,0.5952381,0.9892055
B1,1,midjourneyv5-2,84,60,24,0.71428571,0.99511719
B2,2,midjourneyv5-2,84,48,36,0.57142857,0.98935082
M2,3,midjourneyv5-2,84,77,7,0.91666667,0.99884324
M3,4,midjourneyv5-2,84,79,5,0.94047619,0.99912226
B0,0,midjourneyv6-1,83,51,32,0.61445783,0.99078737
B1,1,midjourneyv6-1,83,55,28,0.6626506,0.99404062
B2,2,midjourneyv6-1,83,50,33,0.60240964,0.99092268
M2,3,midjourneyv6-1,83,79,4,0.95180723,0.99933523
M3,4,midjourneyv6-1,83,81,2,0.97590361,0.99957643
B0,0,stable-cascade,83,43,40,0.51807229,0.990052
B1,1,stable-cascade,83,44,39,0.53012048,0.99365234
B2,2,stable-cascade,83,31,52,0.37349398,0.98686935
M2,3,stable-cascade,83,53,30,0.63855422,0.9950113
M3,4,stable-cascade,83,60,23,0.72289157,0.9946995
