model,model_order,real_source,n,tn,fp,specificity,false_positive_rate,mean_score
B0,0,COCO,250,183,67,0.732,0.268,0.9814043
B1,1,COCO,250,173,77,0.692,0.308,0.98611523
B2,2,COCO,250,198,52,0.792,0.208,0.9729668
M2,3,COCO,250,216,34,0.864,0.136,0.96229102
M3,4,COCO,250,215,35,0.86,0.14,0.92896387
B0,0,FFHQ,250,248,2,0.992,0.008,0.88483398
B1,1,FFHQ,250,250,0,1.0,0.0,0.85834766
B2,2,FFHQ,250,181,69,0.724,0.276,0.98608008
M2,3,FFHQ,250,241,9,0.964,0.036,0.92735937
M3,4,FFHQ,250,237,13,0.948,0.052,0.86201758
B0,0,LAION,250,124,126,0.496,0.504,0.98880078
B1,1,LAION,250,102,148,0.408,0.592,0.99264258
B2,2,LAION,250,228,22,0.912,0.088,0.92598437
M2,3,LAION,250,113,137,0.452,0.548,0.99186328
M3,4,LAION,250,102,148,0.408,0.592,0.9880918
B0,0,RAISE,250,226,24,0.904,0.096,0.97027734
B1,1,RAISE,250,229,21,0.916,0.084,0.97789844
B2,2,RAISE,250,219,31,0.876,0.124,0.97559375
M2,3,RAISE,250,241,9,0.964,0.036,0.84804687
M3,4,RAISE,250,241,9,0.964,0.036,0.76968262
