model,model_order,split,split_order,v1_clean_auroc,v2_clean_auroc,delta_clean_auroc,v1_perturbation_mean_auroc,v2_perturbation_mean_auroc,delta_perturbation_mean_auroc,v1_clean_balanced_accuracy,v2_clean_balanced_accuracy,delta_clean_balanced_accuracy
B0,0,Exact-seen generator,0,0.6446675,0.804215,0.1595475,0.6274364,0.75826452,0.13082813,0.6135,0.7245,0.111
B1,1,Exact-seen generator,0,0.6419815,0.7048535,0.062872,0.62823442,0.69258805,0.06435363,0.609,0.6375,0.0285
B2,2,Exact-seen generator,0,0.7832385,0.794748,0.0115095,0.77201537,0.78303263,0.01101725,0.7195,0.7255,0.006
M2,3,Exact-seen generator,0,0.7249565,0.825772,0.1008155,0.72885175,0.81923618,0.09038442,0.675,0.747,0.072
M3,4,Exact-seen generator,0,0.7299155,0.825408,0.0954925,0.72711522,0.82218975,0.09507453,0.6625,0.746,0.0835
B0,0,Hard Hourglass,1,0.239432,0.30144,0.062008,0.258148,0.3294232,0.0712752,0.386,0.434,0.048
B1,1,Hard Hourglass,1,0.255176,0.274872,0.019696,0.2867996,0.3057092,0.0189096,0.36,0.396,0.036
B2,2,Hard Hourglass,1,0.727064,0.731536,0.004472,0.708852,0.7103364,0.0014844,0.562,0.552,-0.01
M2,3,Hard Hourglass,1,0.363264,0.441496,0.078232,0.3495116,0.4242408,0.0747292,0.43,0.466,0.036
M3,4,Hard Hourglass,1,0.370592,0.432848,0.062256,0.3512392,0.412166,0.0609268,0.44,0.448,0.008
B0,0,Hard DFGAN,2,0.446528,0.43872,-0.007808,0.4753464,0.4650596,-0.0102868,0.438,0.434,-0.004
B1,1,Hard DFGAN,2,0.42548,0.446808,0.021328,0.4602904,0.4950052,0.0347148,0.446,0.434,-0.012
B2,2,Hard DFGAN,2,0.686392,0.687272,0.00088,0.6864868,0.6846812,-0.0018056,0.554,0.558,0.004
M2,3,Hard DFGAN,2,0.405328,0.434952,0.029624,0.4339552,0.437738,0.0037828,0.404,0.418,0.014
M3,4,Hard DFGAN,2,0.393024,0.431608,0.038584,0.4093032,0.4262264,0.0169232,0.386,0.392,0.006
B0,0,Hard GALIP,3,0.417992,0.440504,0.022512,0.4392532,0.4541512,0.014898,0.428,0.446,0.018
B1,1,Hard GALIP,3,0.406016,0.437608,0.031592,0.4299392,0.4607008,0.0307616,0.43,0.42,-0.01
B2,2,Hard GALIP,3,0.748808,0.751104,0.002296,0.7406968,0.7370932,-0.0036036,0.568,0.564,-0.004
M2,3,Hard GALIP,3,0.40004,0.484272,0.084232,0.4131492,0.4802064,0.0670572,0.416,0.452,0.036
M3,4,Hard GALIP,3,0.408256,0.5004,0.092144,0.41846,0.489108,0.070648,0.412,0.442,0.03
B0,0,Strict unseen-generator,4,0.79104,0.8198965,0.0288565,0.72481423,0.74804593,0.0232317,0.712,0.7445,0.0325
B1,1,Strict unseen-generator,4,0.7594545,0.820364,0.0609095,0.69293142,0.76566733,0.0727359,0.704,0.748,0.044
B2,2,Strict unseen-generator,4,0.722783,0.763233,0.04045,0.72803448,0.76353022,0.03549575,0.652,0.691,0.039
M2,3,Strict unseen-generator,4,0.856435,0.919127,0.062692,0.8374359,0.89944125,0.06200535,0.7885,0.84,0.0515
M3,4,Strict unseen-generator,4,0.863066,0.9278605,0.0647945,0.84209337,0.90820382,0.06611045,0.793,0.8525,0.0595
