model,model_order,condition_index,condition_group,condition,transform,v2_accuracy,v3_accuracy,delta_accuracy,v2_precision,v3_precision,delta_precision,v2_recall,v3_recall,delta_recall,v2_specificity,v3_specificity,delta_specificity,v2_f1,v3_f1,delta_f1,v2_balanced_accuracy,v3_balanced_accuracy,delta_balanced_accuracy,v2_mcc,v3_mcc,delta_mcc,v2_auroc,v3_auroc,delta_auroc,v2_average_precision,v3_average_precision,delta_average_precision,v2_brier,v3_brier,delta_brier,v2_ece_15,v3_ece_15,delta_ece_15,v2_tpr_at_fpr_1pct,v3_tpr_at_fpr_1pct,delta_tpr_at_fpr_1pct,v2_tpr_at_fpr_5pct,v3_tpr_at_fpr_5pct,delta_tpr_at_fpr_5pct
B0,0,0,clean,Clean,clean,0.7445,0.7465,0.002,0.76375405,0.73453853,-0.02921552,0.708,0.772,0.064,0.781,0.721,-0.06,0.73482097,0.75280351,0.01798254,0.7445,0.7465,0.002,0.49030817,0.4936424,0.00333423,0.8198965,0.819851,-4.55e-05,0.79659154,0.79765351,0.00106197,0.45930832,0.46960487,0.01029655,0.47469019,0.48095728,0.00626709,0.055,0.099,0.044,0.188,0.282,0.094
B0,0,1,single_stage,JPEG Q90,jpeg__quality=90,0.7435,0.747,0.0035,0.76381365,0.7352381,-0.02857555,0.705,0.772,0.067,0.782,0.722,-0.06,0.73322933,0.75317073,0.0199414,0.7435,0.747,0.0035,0.48845016,0.49461866,0.0061685,0.8190865,0.8206885,0.001602,0.79449968,0.79929565,0.00479597,0.45951689,0.46938212,0.00986523,0.4747915,0.48082007,0.00602857,0.056,0.098,0.042,0.185,0.277,0.092
B0,0,2,single_stage,JPEG Q70,jpeg__quality=70,0.726,0.735,0.009,0.7545045,0.72466539,-0.02983911,0.67,0.758,0.088,0.782,0.712,-0.07,0.70974576,0.74095797,0.03121221,0.726,0.735,0.009,0.4548619,0.47049805,0.01563615,0.80102,0.8115025,0.0104825,0.77375741,0.78645279,0.01269538,0.46455056,0.47141077,0.00686021,0.47742041,0.48191357,0.00449316,0.049,0.084,0.035,0.271,0.263,-0.008
B0,0,3,single_stage,JPEG Q50,jpeg__quality=50,0.719,0.7235,0.0045,0.75057208,0.70713624,-0.04343584,0.656,0.763,0.107,0.782,0.684,-0.098,0.70010672,0.73400673,0.03390001,0.719,0.7235,0.0045,0.4415188,0.44840143,0.00688263,0.790012,0.8019845,0.0119725,0.76160477,0.77706895,0.01546418,0.46642309,0.47422173,0.00779864,0.47840869,0.48362158,0.00521289,0.045,0.0,-0.045,0.247,0.269,0.022
B0,0,4,single_stage,JPEG Q30,jpeg__quality=30,0.685,0.712,0.027,0.72560976,0.68962433,-0.03598543,0.595,0.771,0.176,0.775,0.653,-0.122,0.65384615,0.72804533,0.07419918,0.685,0.712,0.027,0.3761437,0.42698308,0.05083938,0.768942,0.7887575,0.0198155,0.73700133,0.75725114,0.02024981,0.46820561,0.47749681,0.0092912,0.47888062,0.48558325,0.00670263,0.037,0.0,-0.037,0.197,0.269,0.072
B0,0,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,0.7225,0.7395,0.017,0.75370582,0.72787821,-0.02582761,0.661,0.765,0.104,0.784,0.714,-0.07,0.7043154,0.74597757,0.04166217,0.7225,0.7395,0.017,0.44840489,0.47962416,0.03121927,0.8040305,0.8115125,0.007482,0.77530044,0.78408634,0.0087859,0.46062054,0.47139856,0.01077802,0.47508472,0.48202026,0.00693554,0.043,0.0,-0.043,0.25,0.268,0.018
B0,0,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,0.6705,0.702,0.0315,0.69135802,0.6697479,-0.02161012,0.616,0.797,0.181,0.725,0.607,-0.118,0.65150714,0.72785388,0.07634674,0.6705,0.702,0.0315,0.34304394,0.41149577,0.06845183,0.7432425,0.7723865,0.029144,0.71177618,0.73591666,0.02414048,0.47203545,0.48107756,0.00904211,0.48133105,0.48770728,0.00637623,0.035,0.0,-0.035,0.201,0.077,-0.124
B0,0,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,0.614,0.657,0.043,0.63194444,0.66320166,0.03125722,0.546,0.638,0.092,0.682,0.676,-0.006,0.58583691,0.65035678,0.06451987,0.614,0.657,0.043,0.23013825,0.31422695,0.0840887,0.6669025,0.69683,0.0299275,0.6402783,0.65439253,0.01411423,0.48186382,0.48169996,-0.00016386,0.4863186,0.48644922,0.00013062,0.014,0.0,-0.014,0.087,0.021,-0.066
B0,0,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,0.6825,0.7035,0.021,0.7043673,0.6618934,-0.0424739,0.629,0.832,0.203,0.736,0.575,-0.161,0.66455362,0.73726185,0.07270823,0.6825,0.7035,0.021,0.36710756,0.42114569,0.05403813,0.7555405,0.7805015,0.024961,0.72212129,0.74487614,0.02275485,0.47115477,0.48212037,0.0109656,0.48091138,0.48853247,0.00762109,0.029,0.0,-0.029,0.122,0.102,-0.02
B0,0,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,0.6145,0.6305,0.016,0.64294632,0.6692607,0.02631438,0.515,0.516,0.001,0.714,0.745,0.031,0.5719045,0.58272163,0.01081713,0.6145,0.6305,0.016,0.23367359,0.26812504,0.03445145,0.6654725,0.684353,0.0188805,0.63690644,0.64434337,0.00743693,0.48198547,0.47627117,-0.0057143,0.48614429,0.4816355,-0.00450879,0.007,0.0,-0.007,0.12,0.076,-0.044
