model,model_order,generator,n,v2_tp,v2_fn,v2_recall,v2_mean_score,v3_tp,v3_fn,v3_recall,v3_mean_score,delta_recall
B0,0,dalle2,83,60,23,0.72289157,0.9940465,69,14,0.8313253,0.99554076,0.10843373
B0,0,dalle3,84,73,11,0.86904762,0.99739583,72,12,0.85714286,0.99621582,-0.01190476
B0,0,firefly-image2,83,57,26,0.68674699,0.99317583,59,24,0.71084337,0.99354645,0.02409638
B0,0,firefly-image3,84,73,11,0.86904762,0.99616932,74,10,0.88095238,0.99620419,0.01190476
B0,0,flux-dev,83,70,13,0.84337349,0.99212279,72,11,0.86746988,0.99621141,0.02409639
B0,0,flux-schnell,83,62,21,0.74698795,0.99530544,68,15,0.81927711,0.99442889,0.07228916
B0,0,ideogramv1,84,59,25,0.70238095,0.99239095,67,17,0.79761905,0.99506487,0.0952381
B0,0,ideogramv2,83,57,26,0.68674699,0.9938053,63,20,0.75903614,0.994423,0.07228915
B0,0,imagen3,83,53,30,0.63855422,0.99212279,65,18,0.78313253,0.99411121,0.14457831
B0,0,midjourneyv5-2,84,50,34,0.5952381,0.9892055,59,25,0.70238095,0.99172828,0.10714285
B0,0,midjourneyv6-1,83,51,32,0.61445783,0.99078737,55,28,0.6626506,0.98922252,0.04819277
B0,0,stable-cascade,83,43,40,0.51807229,0.990052,49,34,0.59036145,0.98635754,0.07228916
B1,1,dalle2,83,61,22,0.73493976,0.99627024,74,9,0.89156627,0.99608198,0.15662651
B1,1,dalle3,84,70,14,0.83333333,0.99794806,79,5,0.94047619,0.99740165,0.10714286
B1,1,firefly-image2,83,52,31,0.62650602,0.99491717,60,23,0.72289157,0.9930464,0.09638555
B1,1,firefly-image3,84,71,13,0.8452381,0.99730864,75,9,0.89285714,0.99548921,0.04761904
B1,1,flux-dev,83,70,13,0.84337349,0.99624082,74,9,0.89156627,0.99588785,0.04819278
B1,1,flux-schnell,83,72,11,0.86746988,0.99717032,68,15,0.81927711,0.99465832,-0.04819277
B1,1,ideogramv1,84,64,20,0.76190476,0.99601237,65,19,0.77380952,0.994129,0.01190476
B1,1,ideogramv2,83,56,27,0.6746988,0.99513484,66,17,0.79518072,0.9953878,0.12048192
B1,1,imagen3,83,67,16,0.80722892,0.99638201,67,16,0.80722892,0.9951466,0.0
B1,1,midjourneyv5-2,84,60,24,0.71428571,0.99511719,60,24,0.71428571,0.99261765,0.0
B1,1,midjourneyv6-1,83,55,28,0.6626506,0.99404062,57,26,0.68674699,0.99071677,0.02409639
B1,1,stable-cascade,83,44,39,0.53012048,0.99365234,45,38,0.54216867,0.98519272,0.01204819
B2,2,dalle2,83,20,63,0.24096386,0.97564477,23,60,0.27710843,0.97692136,0.03614457
B2,2,dalle3,84,65,19,0.77380952,0.99350121,68,16,0.80952381,0.99401855,0.03571429
B2,2,firefly-image2,83,58,25,0.69879518,0.99273461,62,21,0.74698795,0.9935641,0.04819277
B2,2,firefly-image3,84,54,30,0.64285714,0.99109468,59,25,0.70238095,0.99249558,0.05952381
B2,2,flux-dev,83,53,30,0.63855422,0.98565747,59,24,0.71084337,0.98745764,0.07228915
B2,2,flux-schnell,83,47,36,0.56626506,0.98872247,49,34,0.59036145,0.98969315,0.02409639
B2,2,ideogramv1,84,45,39,0.53571429,0.98909505,45,39,0.53571429,0.98994373,0.0
B2,2,ideogramv2,83,38,45,0.45783133,0.98474562,43,40,0.51807229,0.98448678,0.06024096
B2,2,imagen3,83,47,36,0.56626506,0.99066383,50,33,0.60240964,0.99066971,0.03614458
B2,2,midjourneyv5-2,84,48,36,0.57142857,0.98935082,56,28,0.66666667,0.9896124,0.0952381
B2,2,midjourneyv6-1,83,50,33,0.60240964,0.99092268,50,33,0.60240964,0.99123447,0.0
B2,2,stable-cascade,83,31,52,0.37349398,0.98686935,38,45,0.45783133,0.98938724,0.08433735
M2,3,dalle2,83,61,22,0.73493976,0.99507601,60,23,0.72289157,0.9903285,-0.01204819
M2,3,dalle3,84,83,1,0.98809524,0.99970354,83,1,0.98809524,0.99958147,0.0
M2,3,firefly-image2,83,67,16,0.80722892,0.99612905,74,9,0.89156627,0.99306994,0.08433735
M2,3,firefly-image3,84,79,5,0.94047619,0.99890718,79,5,0.94047619,0.9990525,0.0
M2,3,flux-dev,83,71,12,0.85542169,0.99812924,71,12,0.85542169,0.99554076,0.0
M2,3,flux-schnell,83,76,7,0.91566265,0.99877047,78,5,0.93975904,0.99635848,0.02409639
M2,3,ideogramv1,84,77,7,0.91666667,0.99915713,79,5,0.94047619,0.99920364,0.02380952
M2,3,ideogramv2,83,71,12,0.85542169,0.99815277,75,8,0.90361446,0.99759977,0.04819277
M2,3,imagen3,83,75,8,0.90361446,0.99883518,74,9,0.89156627,0.99799981,-0.01204819
M2,3,midjourneyv5-2,84,77,7,0.91666667,0.99884324,78,6,0.92857143,0.99862235,0.01190476
M2,3,midjourneyv6-1,83,79,4,0.95180723,0.99933523,79,4,0.95180723,0.99909403,0.0
M2,3,stable-cascade,83,53,30,0.63855422,0.9950113,48,35,0.57831325,0.98956372,-0.06024097
M3,4,dalle2,83,70,13,0.84337349,0.99361705,59,24,0.71084337,0.99103445,-0.13253012
M3,4,dalle3,84,83,1,0.98809524,0.99983724,83,1,0.98809524,0.99975586,0.0
M3,4,firefly-image2,83,72,11,0.86746988,0.99615258,74,9,0.89156627,0.99305817,0.02409639
M3,4,firefly-image3,84,81,3,0.96428571,0.99869792,78,6,0.92857143,0.99925595,-0.03571428
M3,4,flux-dev,83,73,10,0.87951807,0.99833514,71,12,0.85542169,0.99641143,-0.02409638
M3,4,flux-schnell,83,78,5,0.93975904,0.99875871,76,7,0.91566265,0.9969703,-0.02409639
M3,4,ideogramv1,84,81,3,0.96428571,0.99937221,79,5,0.94047619,0.999099,-0.02380952
M3,4,ideogramv2,83,74,9,0.89156627,0.99839985,72,11,0.86746988,0.99756448,-0.02409639
M3,4,imagen3,83,78,5,0.93975904,0.99901755,73,10,0.87951807,0.99792333,-0.06024097
M3,4,midjourneyv5-2,84,79,5,0.94047619,0.99912226,78,6,0.92857143,0.99869792,-0.01190476
