protocol,protocol_order,model,model_order,architecture,threshold,checkpoint_sha256,train_manifest_sha256,test_manifest_sha256,matrix_sha256,evaluation_job,prediction_rows
train-v2,0,B0,0,EfficientNet-B0 clean baseline,0.99462891,7c8f1899f958cf2618e51d28ff91fe5a75c0a1ffe3903f1b633b8e0e5a44adac,493749f51f552aa0a5235253f8c072b018a0f8250f02c94082aecdd98005ecd7,70434fc7b38ed2015cac67bc87897139fb202ffa13e736a5ce2f7c759833e42a,69531f3f7111651808c99f14f89723bf631345878b1cbd0cbe0eee8531dde83c,32745,42000
train-v2,0,B1,1,EfficientNet-B0 robust-augmentation baseline,0.99560547,9d3248fcfe5e90bc0e062abcc547575d8e336569ef50958684f1d4f1d3bf6fbf,493749f51f552aa0a5235253f8c072b018a0f8250f02c94082aecdd98005ecd7,70434fc7b38ed2015cac67bc87897139fb202ffa13e736a5ce2f7c759833e42a,69531f3f7111651808c99f14f89723bf631345878b1cbd0cbe0eee8531dde83c,32745,42000
train-v2,0,B2,2,Frozen OpenCLIP ViT-B/32 + linear head,0.9921875,5ff3b45ef72d51910e7ee24e583e53495d7f5fb23ddfe7e09f197575b4543f7f,493749f51f552aa0a5235253f8c072b018a0f8250f02c94082aecdd98005ecd7,70434fc7b38ed2015cac67bc87897139fb202ffa13e736a5ce2f7c759833e42a,69531f3f7111651808c99f14f89723bf631345878b1cbd0cbe0eee8531dde83c,32745,42000
train-v2,0,M2,3,Frozen CLIP semantic + forensic branch,0.99755859,58f3afcef096c55c5b7d741519efb7d24759a14cf3a260a1a7e7d1464e02aab7,493749f51f552aa0a5235253f8c072b018a0f8250f02c94082aecdd98005ecd7,70434fc7b38ed2015cac67bc87897139fb202ffa13e736a5ce2f7c759833e42a,69531f3f7111651808c99f14f89723bf631345878b1cbd0cbe0eee8531dde83c,32745,42000
train-v2,0,M3,4,M2 + quality-aware branch gate,0.99707031,d717385db20a3fe888f331ab164b66e2c6c72a616bedeb83eb9c19c302aa5f53,493749f51f552aa0a5235253f8c072b018a0f8250f02c94082aecdd98005ecd7,70434fc7b38ed2015cac67bc87897139fb202ffa13e736a5ce2f7c759833e42a,69531f3f7111651808c99f14f89723bf631345878b1cbd0cbe0eee8531dde83c,32745,42000
train-v3,1,B0,0,EfficientNet-B0 clean baseline,0.99365234,615e38be5624f56e64d4df25a5df66a0002bad30c7065b64837acd29df52cc47,fc0a7ab732faeb604ed1e77281fada715d7cffb353974a4985820548d871d9d6,59ca2e4ca966dac9fa4fb55281153f93e5becdd3e25da83bc2dff3fad36126cd,69531f3f7111651808c99f14f89723bf631345878b1cbd0cbe0eee8531dde83c,32885,84000
train-v3,1,B1,1,EfficientNet-B0 robust-augmentation baseline,0.99316406,b91660476dbb28abebc25067817806c0ecf11525d8c3c654ca3e2328c3346be4,fc0a7ab732faeb604ed1e77281fada715d7cffb353974a4985820548d871d9d6,59ca2e4ca966dac9fa4fb55281153f93e5becdd3e25da83bc2dff3fad36126cd,69531f3f7111651808c99f14f89723bf631345878b1cbd0cbe0eee8531dde83c,32885,84000
train-v3,1,B2,2,Frozen OpenCLIP ViT-B/32 + linear head,0.9921875,aee3f4209bf8e941537c7f463be029fcde4ebb88b879e0f5a18360c359ac704d,fc0a7ab732faeb604ed1e77281fada715d7cffb353974a4985820548d871d9d6,59ca2e4ca966dac9fa4fb55281153f93e5becdd3e25da83bc2dff3fad36126cd,69531f3f7111651808c99f14f89723bf631345878b1cbd0cbe0eee8531dde83c,32885,84000
train-v3,1,M2,3,Frozen CLIP semantic + forensic branch,0.99658203,468d3a58603fdf8dfe1b234a24fd8e52a99c6e4881e921bef6bb0cea64bbac34,fc0a7ab732faeb604ed1e77281fada715d7cffb353974a4985820548d871d9d6,59ca2e4ca966dac9fa4fb55281153f93e5becdd3e25da83bc2dff3fad36126cd,69531f3f7111651808c99f14f89723bf631345878b1cbd0cbe0eee8531dde83c,32885,84000
train-v3,1,M3,4,M2 + quality-aware branch gate,0.99707031,c83f70641a9c8d7f6808e794cfc8c28c0e478feeca7506e489c772a512115b2f,fc0a7ab732faeb604ed1e77281fada715d7cffb353974a4985820548d871d9d6,59ca2e4ca966dac9fa4fb55281153f93e5becdd3e25da83bc2dff3fad36126cd,69531f3f7111651808c99f14f89723bf631345878b1cbd0cbe0eee8531dde83c,32885,84000
