model,model_order,condition_index,condition_group,condition,transform,v2_accuracy,v3_accuracy,delta_accuracy,v2_precision,v3_precision,delta_precision,v2_recall,v3_recall,delta_recall,v2_specificity,v3_specificity,delta_specificity,v2_f1,v3_f1,delta_f1,v2_balanced_accuracy,v3_balanced_accuracy,delta_balanced_accuracy,v2_mcc,v3_mcc,delta_mcc,v2_auroc,v3_auroc,delta_auroc,v2_average_precision,v3_average_precision,delta_average_precision,v2_brier,v3_brier,delta_brier,v2_ece_15,v3_ece_15,delta_ece_15,v2_tpr_at_fpr_1pct,v3_tpr_at_fpr_1pct,delta_tpr_at_fpr_1pct,v2_tpr_at_fpr_5pct,v3_tpr_at_fpr_5pct,delta_tpr_at_fpr_5pct
B0,0,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,0.656,0.6665,0.0105,0.68483412,0.65488372,-0.0299504,0.578,0.704,0.126,0.734,0.629,-0.105,0.62689805,0.67855422,0.05165617,0.656,0.6665,0.0105,0.31586714,0.33394053,0.01807339,0.7317495,0.7378945,0.006145,0.68813759,0.70598807,0.01785048,0.47641631,0.47658387,0.00016756,0.48367798,0.48453052,0.00085254,0.016,0.049,0.033,0.089,0.195,0.106
B0,0,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,0.6575,0.6525,-0.005,0.64227642,0.63090129,-0.01137513,0.711,0.735,0.024,0.604,0.57,-0.034,0.67489321,0.67898383,0.00409062,0.6575,0.6525,-0.005,0.31681885,0.30923856,-0.00758029,0.71052,0.715851,0.005331,0.6693958,0.68698949,0.01759369,0.48398068,0.48483819,0.00085751,0.48913086,0.48903076,-0.0001001,0.028,0.0,-0.028,0.028,0.06,0.032
B0,0,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,0.619,0.6105,-0.0085,0.59444444,0.63692689,0.04248245,0.749,0.514,-0.235,0.489,0.707,0.218,0.66283186,0.56889873,-0.09393313,0.619,0.6105,-0.0085,0.24647667,0.22523469,-0.02124198,0.6682515,0.650744,-0.0175075,0.63699829,0.63628884,-0.00070945,0.48846825,0.47907474,-0.00939351,0.4916626,0.48331323,-0.00834937,0.029,0.031,0.002,0.029,0.11,0.081
B1,1,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,0.6785,0.717,0.0385,0.66855524,0.69944853,0.03089329,0.708,0.761,0.053,0.649,0.673,0.024,0.68771248,0.7289272,0.04121472,0.6785,0.717,0.0385,0.35762299,0.43569027,0.07806728,0.749359,0.7841815,0.0348225,0.70580324,0.75304328,0.04724004,0.47844067,0.4748187,-0.00362197,0.48627979,0.48389307,-0.00238672,0.0,0.0,0.0,0.048,0.102,0.054
B1,1,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,0.636,0.7105,0.0745,0.64376321,0.67703953,0.03327632,0.609,0.805,0.196,0.663,0.616,-0.047,0.62589928,0.73549566,0.10959638,0.636,0.7105,0.0745,0.27239745,0.42872691,0.15632946,0.6992695,0.7809295,0.08166,0.66227572,0.74408029,0.08180457,0.48143679,0.47998295,-0.00145384,0.48752979,0.48735962,-0.00017017,0.025,0.0,-0.025,0.107,0.112,0.005
B1,1,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,0.6105,0.666,0.0555,0.60759494,0.67473684,0.0671419,0.624,0.641,0.017,0.597,0.691,0.094,0.61568821,0.6574359,0.04174769,0.6105,0.666,0.0555,0.2210806,0.33241578,0.11133518,0.6551275,0.7342405,0.079113,0.62413006,0.70510718,0.08097712,0.48969467,0.47671087,-0.0129838,0.49208301,0.48414697,-0.00793604,0.015,0.054,0.039,0.077,0.151,0.074
B2,2,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,0.6235,0.6405,0.017,0.85590778,0.85933504,0.00342726,0.297,0.336,0.039,0.95,0.945,-0.005,0.44097996,0.48310568,0.04212572,0.6235,0.6405,0.017,0.32613378,0.35427452,0.02814074,0.7733675,0.7717695,-0.001598,0.77981167,0.78061889,0.00080722,0.46128625,0.46041788,-0.00086837,0.47079883,0.46952649,-0.00127234,0.113,0.151,0.038,0.297,0.311,0.014
B2,2,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,0.5415,0.5655,0.024,0.84297521,0.81642512,-0.02655009,0.102,0.169,0.067,0.981,0.962,-0.019,0.18198037,0.28003314,0.09805277,0.5415,0.5655,0.024,0.17406923,0.21502848,0.04095925,0.6802195,0.681321,0.0011015,0.68187761,0.68953907,0.00766146,0.46209466,0.4644273,0.00233264,0.46797339,0.47020679,0.0022334,0.064,0.067,0.003,0.173,0.219,0.046
B2,2,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,0.5575,0.58,0.0225,0.73279352,0.72727273,-0.00552079,0.181,0.256,0.075,0.934,0.904,-0.03,0.29029671,0.37869822,0.08840151,0.5575,0.58,0.0225,0.17476659,0.21007291,0.03530632,0.654255,0.661995,0.00774,0.64761828,0.65781429,0.01019601,0.4720953,0.47330446,0.00120916,0.47555005,0.47701343,0.00146338,0.041,0.043,0.002,0.139,0.143,0.004
M2,3,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,0.8185,0.8295,0.011,0.82335025,0.81291548,-0.01043477,0.811,0.856,0.045,0.826,0.803,-0.023,0.81712846,0.83390161,0.01677315,0.8185,0.8295,0.011,0.63707167,0.65992752,0.02285585,0.896791,0.9094125,0.0126215,0.86537459,0.89136244,0.02598785,0.46032498,0.43719698,-0.023128,0.47777588,0.46350037,-0.01427551,0.167,0.0,-0.167,0.167,0.375,0.208
