model,model_order,real_source,n,v2_tn,v2_fp,v2_specificity,v2_fpr,v3_tn,v3_fp,v3_specificity,v3_fpr,delta_specificity
B0,0,COCO,250,183,67,0.732,0.268,168,82,0.672,0.328,-0.06
B0,0,FFHQ,250,248,2,0.992,0.008,247,3,0.988,0.012,-0.004
B0,0,LAION,250,124,126,0.496,0.504,101,149,0.404,0.596,-0.092
B0,0,RAISE,250,226,24,0.904,0.096,205,45,0.82,0.18,-0.084
B1,1,COCO,250,173,77,0.692,0.308,147,103,0.588,0.412,-0.104
B1,1,FFHQ,250,250,0,1.0,0.0,248,2,0.992,0.008,-0.008
B1,1,LAION,250,102,148,0.408,0.592,91,159,0.364,0.636,-0.044
B1,1,RAISE,250,229,21,0.916,0.084,221,29,0.884,0.116,-0.032
B2,2,COCO,250,198,52,0.792,0.208,195,55,0.78,0.22,-0.012
B2,2,FFHQ,250,181,69,0.724,0.276,162,88,0.648,0.352,-0.076
B2,2,LAION,250,228,22,0.912,0.088,226,24,0.904,0.096,-0.008
B2,2,RAISE,250,219,31,0.876,0.124,206,44,0.824,0.176,-0.052
M2,3,COCO,250,216,34,0.864,0.136,227,23,0.908,0.092,0.044
M2,3,FFHQ,250,241,9,0.964,0.036,241,9,0.964,0.036,0.0
M2,3,LAION,250,113,137,0.452,0.548,123,127,0.492,0.508,0.04
M2,3,RAISE,250,241,9,0.964,0.036,242,8,0.968,0.032,0.004
M3,4,COCO,250,215,35,0.86,0.14,230,20,0.92,0.08,0.06
M3,4,FFHQ,250,237,13,0.948,0.052,243,7,0.972,0.028,0.024
M3,4,LAION,250,102,148,0.408,0.592,117,133,0.468,0.532,0.06
M3,4,RAISE,250,241,9,0.964,0.036,244,6,0.976,0.024,0.012
