model,model_order,condition_index,condition_group,condition,transform,n,threshold,accuracy,precision,recall,specificity,npv,f1,macro_f1,balanced_accuracy,mcc,predicted_positive_rate,false_positive_rate,false_negative_rate,auroc,average_precision,brier,ece_15,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tn,fp,fn,tp
B0,0,0,clean,Clean,clean,2000,0.99804688,0.712,0.73451327,0.664,0.76,0.69343066,0.69747899,0.71133492,0.712,0.4259674,0.452,0.24,0.336,0.79104,0.74783446,0.47233356,0.4837417,0.068,0.068,760,240,336,664
B0,0,1,single_stage,JPEG Q90,jpeg__quality=90,2000,0.99804688,0.7145,0.73754153,0.666,0.763,0.69553327,0.69994745,0.71382685,0.7145,0.43103259,0.4515,0.237,0.334,0.7914705,0.74963333,0.47239884,0.48376733,0.066,0.066,763,237,334,666
B0,0,2,single_stage,JPEG Q70,jpeg__quality=70,2000,0.99804688,0.6905,0.72385429,0.616,0.765,0.66579634,0.66558617,0.68877261,0.6905,0.38530104,0.4255,0.235,0.384,0.7735135,0.72634684,0.47387802,0.48450635,0.0,0.06,765,235,384,616
B0,0,3,single_stage,JPEG Q50,jpeg__quality=50,2000,0.99804688,0.675,0.70883055,0.594,0.756,0.65060241,0.64635473,0.67285359,0.675,0.35468512,0.419,0.244,0.406,0.765508,0.71885678,0.47517872,0.4852002,0.058,0.058,756,244,406,594
B0,0,4,single_stage,JPEG Q30,jpeg__quality=30,2000,0.99804688,0.669,0.71125,0.569,0.769,0.64083333,0.63222222,0.66565657,0.669,0.34496981,0.4,0.231,0.431,0.751785,0.69882365,0.47648904,0.48586938,0.0,0.053,769,231,431,569
B0,0,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,2000,0.99804688,0.69,0.72619048,0.61,0.77,0.6637931,0.66304348,0.68800322,0.69,0.38495943,0.42,0.23,0.39,0.7789985,0.7338554,0.47182452,0.48327319,0.057,0.057,770,230,390,610
B0,0,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,2000,0.99804688,0.656,0.68795181,0.571,0.741,0.63333333,0.62404372,0.65349651,0.656,0.31660853,0.415,0.259,0.429,0.729741,0.68036673,0.47919399,0.48730884,0.0,0.04,741,259,429,571
B0,0,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,2000,0.99804688,0.5955,0.61117579,0.525,0.666,0.58369851,0.5648198,0.59347949,0.5955,0.19292742,0.4295,0.334,0.475,0.647521,0.5978036,0.4888888,0.49239331,0.0,0.031,666,334,475,525
B0,0,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,2000,0.99804688,0.6655,0.6940211,0.592,0.739,0.64428945,0.63896384,0.66368313,0.6655,0.33463531,0.4265,0.261,0.408,0.7375905,0.6877214,0.47978246,0.48774146,0.0,0.047,739,261,408,592
B0,0,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,2000,0.99804688,0.581,0.59665871,0.5,0.662,0.5697074,0.54406964,0.57823279,0.581,0.16416854,0.419,0.338,0.5,0.6322795,0.58341682,0.49028354,0.49307373,0.0,0.024,662,338,500,500
B0,0,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,2000,0.99804688,0.699,0.71820175,0.655,0.743,0.68290441,0.68514644,0.69841613,0.699,0.39955006,0.456,0.257,0.345,0.775938,0.73002365,0.47490589,0.485229,0.0,0.072,743,257,345,655
B0,0,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,2000,0.99804688,0.6775,0.69147789,0.641,0.714,0.66542404,0.66528282,0.67706978,0.6775,0.35594969,0.4635,0.286,0.359,0.7424515,0.68905954,0.48035597,0.48828394,0.0,0.053,714,286,359,641
B0,0,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,2000,0.99804688,0.51,0.50778816,0.652,0.368,0.51396648,0.5709282,0.49991631,0.51,0.02085888,0.642,0.632,0.348,0.5024675,0.49892406,0.49748706,0.49748389,0.0,0.0,368,632,348,652
