slice_type,model,model_order,slice_name,n,correct,errors,metric,metric_value,mean_aigc_score
exact_generator,B0,0,dalle2,83,60,23,recall,0.72289157,0.99759389
exact_generator,B1,1,dalle2,83,68,15,recall,0.81927711,0.99757036
exact_generator,B2,2,dalle2,83,17,66,recall,0.20481928,0.97540357
exact_generator,M2,3,dalle2,83,62,21,recall,0.74698795,0.99779979
exact_generator,M3,4,dalle2,83,66,17,recall,0.79518072,0.99818806
exact_generator,B0,0,dalle3,84,71,13,recall,0.8452381,0.99888393
exact_generator,B1,1,dalle3,84,73,11,recall,0.86904762,0.99840727
exact_generator,B2,2,dalle3,84,57,27,recall,0.67857143,0.99267578
exact_generator,M2,3,dalle3,84,84,0,recall,1.0,0.99983724
exact_generator,M3,4,dalle3,84,84,0,recall,1.0,0.99987212
exact_generator,B0,0,firefly-image2,83,53,30,recall,0.63855422,0.99627024
exact_generator,B1,1,firefly-image2,83,58,25,recall,0.69879518,0.9971762
exact_generator,B2,2,firefly-image2,83,56,27,recall,0.6746988,0.99234634
exact_generator,M2,3,firefly-image2,83,63,20,recall,0.75903614,0.99802334
exact_generator,M3,4,firefly-image2,83,63,20,recall,0.75903614,0.99779979
exact_generator,B0,0,firefly-image3,84,63,21,recall,0.75,0.9978783
exact_generator,B1,1,firefly-image3,84,66,18,recall,0.78571429,0.99729701
exact_generator,B2,2,firefly-image3,84,48,36,recall,0.57142857,0.99037388
exact_generator,M2,3,firefly-image3,84,77,7,recall,0.91666667,0.99946522
exact_generator,M3,4,firefly-image3,84,78,6,recall,0.92857143,0.99957566
exact_generator,B0,0,flux-dev,83,62,21,recall,0.74698795,0.99720562
exact_generator,B1,1,flux-dev,83,65,18,recall,0.78313253,0.99693501
exact_generator,B2,2,flux-dev,83,49,34,recall,0.59036145,0.9857163
exact_generator,M2,3,flux-dev,83,64,19,recall,0.77108434,0.99900579
exact_generator,M3,4,flux-dev,83,70,13,recall,0.84337349,0.99924111
exact_generator,B0,0,flux-schnell,83,65,18,recall,0.78313253,0.99828219
exact_generator,B1,1,flux-schnell,83,73,10,recall,0.87951807,0.99844691
exact_generator,B2,2,flux-schnell,83,44,39,recall,0.53012048,0.98758707
exact_generator,M2,3,flux-schnell,83,74,9,recall,0.89156627,0.99925875
exact_generator,M3,4,flux-schnell,83,75,8,recall,0.90361446,0.99942348
exact_generator,B0,0,ideogramv1,84,61,23,recall,0.72619048,0.99734352
exact_generator,B1,1,ideogramv1,84,63,21,recall,0.75,0.99648903
exact_generator,B2,2,ideogramv1,84,35,49,recall,0.41666667,0.98804874
exact_generator,M2,3,ideogramv1,84,70,14,recall,0.83333333,0.99941871
exact_generator,M3,4,ideogramv1,84,75,9,recall,0.89285714,0.99958147
exact_generator,B0,0,ideogramv2,83,48,35,recall,0.57831325,0.99717032
exact_generator,B1,1,ideogramv2,83,62,21,recall,0.74698795,0.99725268
exact_generator,B2,2,ideogramv2,83,31,52,recall,0.37349398,0.98382201
exact_generator,M2,3,ideogramv2,83,64,19,recall,0.77108434,0.99848809
exact_generator,M3,4,ideogramv2,83,64,19,recall,0.77108434,0.9985528
exact_generator,B0,0,imagen3,83,56,27,recall,0.6746988,0.99711738
exact_generator,B1,1,imagen3,83,70,13,recall,0.84337349,0.99731739
exact_generator,B2,2,imagen3,83,35,48,recall,0.42168675,0.98966373
exact_generator,M2,3,imagen3,83,64,19,recall,0.77108434,0.99885872
exact_generator,M3,4,imagen3,83,68,15,recall,0.81927711,0.99914698
exact_generator,B0,0,midjourneyv5-2,84,44,40,recall,0.52380952,0.99687849
exact_generator,B1,1,midjourneyv5-2,84,58,26,recall,0.69047619,0.99694243
exact_generator,B2,2,midjourneyv5-2,84,38,46,recall,0.45238095,0.98833357
exact_generator,M2,3,midjourneyv5-2,84,71,13,recall,0.8452381,0.99910482
exact_generator,M3,4,midjourneyv5-2,84,71,13,recall,0.8452381,0.99932571
exact_generator,B0,0,midjourneyv6-1,83,45,38,recall,0.54216867,0.99553487
exact_generator,B1,1,midjourneyv6-1,83,57,26,recall,0.68674699,0.99515248
exact_generator,B2,2,midjourneyv6-1,83,42,41,recall,0.5060241,0.98979904
exact_generator,M2,3,midjourneyv6-1,83,77,6,recall,0.92771084,0.99935288
exact_generator,M3,4,midjourneyv6-1,83,79,4,recall,0.95180723,0.99961173
exact_generator,B0,0,stable-cascade,83,36,47,recall,0.43373494,0.99524661
exact_generator,B1,1,stable-cascade,83,47,36,recall,0.56626506,0.99472303
exact_generator,B2,2,stable-cascade,83,31,52,recall,0.37349398,0.98663992
exact_generator,M2,3,stable-cascade,83,35,48,recall,0.42168675,0.99563488
exact_generator,M3,4,stable-cascade,83,41,42,recall,0.4939759,0.99637025
real_source,B0,0,COCO,250,187,63,specificity,0.748,0.99414453
real_source,B1,1,COCO,250,139,111,specificity,0.556,0.99420703
real_source,B2,2,COCO,250,203,47,specificity,0.812,0.97376758
real_source,M2,3,COCO,250,187,63,specificity,0.748,0.99502344
real_source,M3,4,COCO,250,185,65,specificity,0.74,0.99423047
real_source,B0,0,FFHQ,250,249,1,specificity,0.996,0.9010625
real_source,B1,1,FFHQ,250,244,6,specificity,0.976,0.93194336
real_source,B2,2,FFHQ,250,177,73,specificity,0.708,0.98703516
real_source,M2,3,FFHQ,250,248,2,specificity,0.992,0.96256641
real_source,M3,4,FFHQ,250,248,2,specificity,0.992,0.95118164
real_source,B0,0,LAION,250,108,142,specificity,0.432,0.99621094
real_source,B1,1,LAION,250,78,172,specificity,0.312,0.99681055
real_source,B2,2,LAION,250,231,19,specificity,0.924,0.92572559
real_source,M2,3,LAION,250,99,151,specificity,0.396,0.99774023
real_source,M3,4,LAION,250,88,162,specificity,0.352,0.99752734
real_source,B0,0,RAISE,250,216,34,specificity,0.864,0.99003711
real_source,B1,1,RAISE,250,187,63,specificity,0.748,0.99164453
real_source,B2,2,RAISE,250,210,40,specificity,0.84,0.97878516
real_source,M2,3,RAISE,250,238,12,specificity,0.952,0.97402148
real_source,M3,4,RAISE,250,231,19,specificity,0.924,0.97129883
