scope,threshold_policy,n,real,aigi,threshold,auroc,average_precision,balanced_accuracy,aigc_recall,real_specificity,brier,ece_15,tn,fp,fn,tp
overall,frozen_threshold,1500,750,750,0.060516357421875,0.654344,0.6766108388143512,0.578,0.7413333333333333,0.4146666666666667,0.31599782944857724,0.2920341567993164,311,439,194,556
overall,diagnostic_fixed1500_threshold,1500,750,750,0.927734375,0.654344,0.6766108388143512,0.6433333333333333,0.4826666666666667,0.804,0.31599782944857724,0.2920341567993164,603,147,388,362
sd14_exact_seen,frozen_threshold,1000,750,250,0.060516357421875,0.911288,0.7171233644612368,0.7053333333333334,0.996,0.4146666666666667,0.22485383452376118,0.2572769088745117,311,439,1,249
sd14_exact_seen,diagnostic_fixed1500_threshold,1000,750,250,0.927734375,0.911288,0.7171233644612368,0.8540000000000001,0.904,0.804,0.22485383452376118,0.2572769088745117,603,147,24,226
dfgan_hard,frozen_threshold,875,750,125,0.060516357421875,0.6399733333333334,0.2180850504894078,0.5913333333333334,0.768,0.4146666666666667,0.3032267141281627,0.3036888689313616,311,439,29,96
dfgan_hard,diagnostic_fixed1500_threshold,875,750,125,0.927734375,0.6399733333333334,0.2180850504894078,0.5660000000000001,0.328,0.804,0.3032267141281627,0.3036888689313616,603,147,84,41
galip_hard,frozen_threshold,875,750,125,0.060516357421875,0.6281226666666666,0.21362880588315983,0.5873333333333334,0.76,0.4146666666666667,0.3022298930826863,0.30476912144252233,311,439,30,95
galip_hard,diagnostic_fixed1500_threshold,875,750,125,0.927734375,0.6281226666666666,0.21362880588315983,0.5820000000000001,0.36,0.804,0.3022298930826863,0.30476912144252233,603,147,80,45
hourglass_hard,frozen_threshold,1000,750,250,0.060516357421875,0.41769599999999996,0.23042815421298435,0.43933333333333335,0.464,0.4146666666666667,0.37014588346621896,0.36732751083374027,311,439,134,116
hourglass_hard,diagnostic_fixed1500_threshold,1000,750,250,0.927734375,0.41769599999999996,0.23042815421298435,0.502,0.2,0.804,0.37014588346621896,0.36732751083374027,603,147,200,50
